biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
P34932,C,canonical,  1.000,  1.000,20,  1.150,11,5,5q31.1,132387654,132442141,+,,,Q9UQM7,783,67,,,,HSP74_HUMAN Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4 CONCAT=1,Homo sapiens
Q13554,C,canonical,  1.000,  1.000,51,  4.398,15,7,7p14.1-p14.3,0,0, ,,,Q9UQM7,783,67,,,,KCC2B_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Homo sapiens GN=CAMK2B PE=1 SV=3 CONCAT=3,Homo sapiens
Q13555,C,canonical,  1.000,  1.000,28,  3.040,13,10,10q22,0,0, ,,,Q9UQM7,783,67,,,,KCC2G_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Homo sapiens GN=CAMK2G PE=1 SV=3 CONCAT=4,Homo sapiens
Q13557,C,canonical,  1.000,  1.000,44,  4.961,13,4,4q26,114372188,114683083,-,,,Q9UQM7,783,67,,,,KCC2D_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Homo sapiens GN=CAMK2D PE=1 SV=3 CONCAT=5,Homo sapiens
Q9UQM7,C,canonical,  1.000,  1.000,72,  8.444,14,5,5q32,149599054,149669854,-,,,Q9UQM7,783,67,,,,KCC2A_HUMAN Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Homo sapiens GN=CAMK2A PE=1 SV=2 CONCAT=1,Homo sapiens
Q9NRB3,C,canonical,  1.000,  1.000,11,  1.612,8,7,7p22.3,2443223,2474242,+,,,Q9NRB3,784,2,,,,CHSTC_HUMAN Carbohydrate sulfotransferase 12 OS=Homo sapiens GN=CHST12 PE=1 SV=2 CONCAT=6,Homo sapiens
Q14956,C,canonical,  1.000,  1.000,26,  3.176,6,7,7p15.3,23286182,23314727,+,,,Q14956,785,10,,,,GPNMB_HUMAN Transmembrane glycoprotein NMB OS=Homo sapiens GN=GPNMB PE=1 SV=2 CONCAT=13,Homo sapiens
P60953,C,canonical,  1.000,  1.000,4,  1.173,4,1,1p36.12,22379182,22417297,+,,,P63000,786,25,,,,CDC42_HUMAN Cell division control protein 42 homolog OS=Homo sapiens GN=CDC42 PE=1 SV=2 CONCAT=4,Homo sapiens
P63000,C,canonical,  1.000,  1.000,11,  4.031,7,7,7p22.1,6414154,6443608,+,,,P63000,786,25,,,,RAC1_HUMAN Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens GN=RAC1 PE=1 SV=1 CONCAT=18,Homo sapiens
O15335,C,canonical,  0.053,  1.000,30,  5.174,11,17,17q21.33,48541860,48546267,-,,,O15335,787,2,,,,CHAD_HUMAN Chondroadherin OS=Homo sapiens GN=CHAD PE=2 SV=2 CONCAT=8,Homo sapiens
O00499,C,canonical,  1.000,  1.000,7,  0.684,3,2,2q14,0,0, ,,,O00499,788,12,,,,BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens GN=BIN1 PE=1 SV=1 CONCAT=5,Homo sapiens
O14657,C,canonical,  1.000,  1.000,4,  0.690,4,9,9q34.11,132565432,132573560,+,,,O14657,789,5,,,,TOR1B_HUMAN Torsin-1B OS=Homo sapiens GN=TOR1B PE=1 SV=2 CONCAT=7,Homo sapiens
O75367,C,canonical,  1.000,  1.000,4,  0.652,4,5,5q31.1,134670073,134735577,-,,,P04908,790,36,,,,H2AY_HUMAN Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4 CONCAT=1,Homo sapiens
P04908,C,canonical,  1.000,  1.000,65, 38.113,5,6,6p22.2,26033320,26033796,-,,,P04908,790,36,,,,H2A1B_HUMAN Histone H2A type 1-B/E OS=Homo sapiens GN=HIST1H2AB PE=1 SV=2 CONCAT=2,Homo sapiens
P0C0S5,C,canonical,  0.664,  1.000,46, 26.972,3,4,4q23,100869245,100871545,-,,,P04908,790,36,,,,H2AZ_HUMAN Histone H2A.Z OS=Homo sapiens GN=H2AFZ PE=1 SV=2 CONCAT=2,Homo sapiens
Q08345,C,canonical,  1.000,  1.000,61,  4.258,18,6,6p21.3,0,0, ,,,Q08345,791,48,,,,DDR1_HUMAN Epithelial discoidin domain-containing receptor 1 OS=Homo sapiens GN=DDR1 PE=1 SV=1 CONCAT=14,Homo sapiens
Q9BYJ0,C,canonical,  0.015,  1.000,6,  1.466,3,4,4p15.32,15961866,15964859,-,,,Q9BYJ0,792,2,,,,FGFP2_HUMAN Fibroblast growth factor-binding protein 2 OS=Homo sapiens GN=FGFBP2 PE=1 SV=1 CONCAT=10,Homo sapiens
O95998,C,canonical,  1.000,  1.000,6,  1.759,4,11,11q13.4,71710663,71713572,+,,,O95998,793,4,,,,I18BP_HUMAN Interleukin-18-binding protein OS=Homo sapiens GN=IL18BP PE=1 SV=2 CONCAT=8,Homo sapiens
O00560,C,canonical,  1.000,  1.000,30,  7.996,13,8,8q12.1,59465728,59495419,+,,,O00560,794,10,,,,SDCB1_HUMAN Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1 CONCAT=5,Homo sapiens
Q9H0Q3,C,canonical,  1.000,  1.000,3,  1.759,3,11,11q23.3,117707696,117747448,-,,,Q9H0Q3,795,6,,,,FXYD6_HUMAN FXYD domain-containing ion transport regulator 6 OS=Homo sapiens GN=FXYD6 PE=2 SV=1 CONCAT=6,Homo sapiens
P07996,C,canonical,  0.163,  1.000,140,  6.219,39,15,15q14,39873294,39891667,+,,,P07996,796,3,,,,TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2 CONCAT=10,Homo sapiens
Q96TC7,C,canonical,  1.000,  1.000,10,  1.275,5,15,15q15.1,41028082,41048049,-,,,Q96TC7,797,5,,,,RMD3_HUMAN Regulator of microtubule dynamics protein 3 OS=Homo sapiens GN=RMDN3 PE=1 SV=2 CONCAT=3,Homo sapiens
O14672,C,canonical,  1.000,  1.000,80,  5.584,33,15,15q21.3,58887403,59042177,-,,,O14672,798,8,,,,ADA10_HUMAN Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens GN=ADAM10 PE=1 SV=1 CONCAT=14,Homo sapiens
P30047,C,canonical,  1.000,  1.000,12,  8.795,3,15,15q15.1,41056218,41059906,+,,,P30047,799,4,,,,GFRP_HUMAN GTP cyclohydrolase 1 feedback regulatory protein OS=Homo sapiens GN=GCHFR PE=1 SV=3 CONCAT=2,Homo sapiens
Q9UG01,C,canonical,  1.000,  1.000,16,  0.443,14,2,2p23.3,27667238,27712624,-,,,Q9UG01,800,9,,,,IF172_HUMAN Intraflagellar transport protein 172 homolog OS=Homo sapiens GN=IFT172 PE=1 SV=2 CONCAT=2,Homo sapiens
Q99674,C,canonical,  1.000,  1.000,137, 26.777,20,2,2p23.3,27324142,27341995,-,,,Q99674,801,5,,,,CGRE1_HUMAN Cell growth regulator with EF hand domain protein 1 OS=Homo sapiens GN=CGREF1 PE=2 SV=2 CONCAT=10,Homo sapiens
Q15303,C,canonical,  1.000,  1.000,32,  1.421,16,2,2q34,212240446,213403565,-,,,Q15303,802,6,,,,ERBB4_HUMAN Receptor tyrosine-protein kinase erbB-4 OS=Homo sapiens GN=ERBB4 PE=1 SV=1 CONCAT=12,Homo sapiens
O75874,C,canonical,  1.000,  1.000,43,  4.849,18,2,2q34,209100951,209119857,-,,,O75874,803,6,,,,IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2 CONCAT=8,Homo sapiens
Q9UKU6,C,canonical,  1.000,  1.000,44,  2.389,21,12,12q21.1,72666463,73059422,+,,,Q9UKU6,804,6,,,,TRHDE_HUMAN Thyrotropin-releasing hormone-degrading ectoenzyme OS=Homo sapiens GN=TRHDE PE=2 SV=1 CONCAT=1,Homo sapiens
P21579,C,canonical,  1.000,  1.000,26,  3.465,13,12,12q21.2,79258449,79845786,+,,,P21579,805,8,,,,SYT1_HUMAN Synaptotagmin-1 OS=Homo sapiens GN=SYT1 PE=1 SV=1 CONCAT=1,Homo sapiens
Q8N9I0,C,canonical,  1.000,  1.000,8,  1.020,7,1,1q32.1,202559724,202612581,-,,,P21579,805,8,,,,SYT2_HUMAN Synaptotagmin-2 OS=Homo sapiens GN=SYT2 PE=1 SV=2 CONCAT=1,Homo sapiens
P54803,C,canonical,  0.023,  1.000,6,  0.517,5,14,14q31.3,88400067,88459182,-,,,P54803,806,14,,,,GALC_HUMAN Galactocerebrosidase OS=Homo sapiens GN=GALC PE=1 SV=2 CONCAT=58,Homo sapiens
P30086,C,canonical,  0.142,  1.000,285, 75.960,31,12,12q24.23,118573663,118583389,+,,,P30086,807,3,,,,PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens GN=PEBP1 PE=1 SV=3 CONCAT=6,Homo sapiens
Q9H741,C,canonical,  1.000,  1.000,26,  7.623,9,12,12q24.22,117153593,117175866,-,,,Q9H741,808,5,,,,CL049_HUMAN UPF0454 protein C12orf49 OS=Homo sapiens GN=C12orf49 PE=2 SV=1 CONCAT=7,Homo sapiens
P20700,C,canonical,  1.000,  1.000,2,  0.163,2,5,5q23.2,126112840,126172712,+,,,P20700,809,3,,,,LMNB1_HUMAN Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2 CONCAT=6,Homo sapiens
P60900,C,canonical,  1.000,  1.000,12,  2.345,6,14,14q13.2,35761563,35786680,+,,,P60900,810,10,,,,PSA6_HUMAN Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1 CONCAT=2,Homo sapiens
Q14126,C,canonical,  1.000,  1.000,68,  3.692,23,18,18q12.1,29078006,29128971,+,,,Q14126,811,2,,,,DSG2_HUMAN Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2 CONCAT=24,Homo sapiens
Q9H9S4,C,canonical,  1.000,  1.000,3,  0.419,3,13,13q14.2,49882789,50018221,-,,,Q9H9S4,812,7,,,,CB39L_HUMAN Calcium-binding protein 39-like OS=Homo sapiens GN=CAB39L PE=1 SV=3 CONCAT=1,Homo sapiens
Q13867,C,canonical,  1.000,  1.000,55,  6.202,14,17,17q11.2,28575218,28619012,-,,,Q13867,813,8,,,,BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens GN=BLMH PE=1 SV=1 CONCAT=2,Homo sapiens
P16930,C,canonical,  1.000,  1.000,35,  4.664,18,15,15q25.1,80445136,80478685,+,,,P16930,814,5,,,,FAAA_HUMAN Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2 CONCAT=26,Homo sapiens
P49588,C,canonical,  1.000,  1.000,9,  0.507,5,16,16q22.1,70286198,70323446,-,,,P49588,815,3,,,,"SYAC_HUMAN Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2 CONCAT=4",Homo sapiens
P52848,C,canonical,  1.000,  1.000,40,  2.213,22,5,5q33.1,149887674,149937773,+,,,P52848,816,6,,,,NDST1_HUMAN Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 OS=Homo sapiens GN=NDST1 PE=1 SV=1 CONCAT=1,Homo sapiens
P09619,C,canonical,  1.000,  1.000,37,  2.086,10,5,5q32,149493400,149535423,-,,,P09619,817,6,,,,PGFRB_HUMAN Platelet-derived growth factor receptor beta OS=Homo sapiens GN=PDGFRB PE=1 SV=1 CONCAT=18,Homo sapiens
Q6ZMP0,C,canonical,  1.000,  1.000,13,  0.681,11,15,15q23,71433788,72075722,+,,,Q6ZMP0,818,5,,,,THSD4_HUMAN Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens GN=THSD4 PE=2 SV=2 CONCAT=6,Homo sapiens
Q92859,C,canonical,  1.000,  1.000,790, 34.060,86,15,15q24.1,73344825,73597547,+,,,Q92859,819,5,,,,NEO1_HUMAN Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2 CONCAT=7,Homo sapiens
O75326,C,canonical,  1.000,  1.000,634, 50.236,62,15,15q24.1,74701630,74726808,-,,,O75326,820,4,,,,SEM7A_HUMAN Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1 CONCAT=15,Homo sapiens
Q14767,C,canonical,  1.000,  1.000,182,  7.309,60,14,14q24.3,74964873,75079034,-,,,Q14767,821,10,,,,LTBP2_HUMAN Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2 PE=1 SV=3 CONCAT=9,Homo sapiens
P06576,C,canonical,  1.000,  1.000,15,  1.466,12,12,12q13.3,57031959,57039798,-,,,P06576,822,8,,,,"ATPB_HUMAN ATP synthase subunit beta, mitochondrial OS=Homo sapiens GN=ATP5B PE=1 SV=3 CONCAT=4",Homo sapiens
P33991,C,canonical,  1.000,  1.000,5,  0.312,3,8,8q11.21,48873496,48890720,+,,,P33991,823,5,,,,MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens GN=MCM4 PE=1 SV=5 CONCAT=4,Homo sapiens
Q9GZX9,C,canonical,  1.000,  1.000,20,  5.864,5,18,18p11.22,9334765,9402418,+,,,Q9GZX9,824,4,,,,TWSG1_HUMAN Twisted gastrulation protein homolog 1 OS=Homo sapiens GN=TWSG1 PE=2 SV=1 CONCAT=6,Homo sapiens
P20618,C,canonical,  1.000,  1.000,8,  1.675,5,6,6q27,170844205,170862429,-,,,P20618,825,2,,,,PSB1_HUMAN Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2 CONCAT=9,Homo sapiens
Q9HB40,C,canonical,  1.000,  1.000,5,  0.698,4,17,17q22,55055466,55084124,+,,,Q9HB40,826,5,,,,RISC_HUMAN Retinoid-inducible serine carboxypeptidase OS=Homo sapiens GN=SCPEP1 PE=1 SV=1 CONCAT=9,Homo sapiens
P98161,C,canonical,  1.000,  1.000,17,  0.278,15,16,16p13.3,2138711,2185899,-,,,P98161,827,16,,,,PKD1_HUMAN Polycystin-1 OS=Homo sapiens GN=PKD1 PE=1 SV=3 CONCAT=194,Homo sapiens
P63010,C,canonical,  1.000,  1.000,57,  3.556,21,17,17q12,33913918,34053436,+,,,P63010,828,12,,,,AP2B1_HUMAN AP-2 complex subunit beta OS=Homo sapiens GN=AP2B1 PE=1 SV=1 CONCAT=2,Homo sapiens
Q10567,C,canonical,  1.000,  1.000,20,  1.248,11,22,22q12.2,29723854,29784572,-,,,P63010,828,12,,,,AP1B1_HUMAN AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2 CONCAT=3,Homo sapiens
Q14019,C,canonical,  1.000,  1.000,22,  7.167,13,16,16q24.1,84599200,84651683,-,,,Q14019,829,2,,,,COTL1_HUMAN Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3 CONCAT=2,Homo sapiens
P55011,C,canonical,  1.000,  1.000,27,  1.414,18,5,5q23.3,127419458,127525380,+,,,P55011,830,9,,,,S12A2_HUMAN Solute carrier family 12 member 2 OS=Homo sapiens GN=SLC12A2 PE=1 SV=1 CONCAT=1,Homo sapiens
P16519-3,C,canonical,  1.000,  1.000,37,  4.172,16,20,20p11.2,0,0, ,,,P16519-3,831,4,,,,NEC2_HUMAN Isoform 3 of Neuroendocrine convertase 2 OS=Homo sapiens GN=PCSK2,Homo sapiens
P20774,C,canonical,  1.000,  1.000,779,134.344,52,9,9q22.31,95146249,95166841,-,,,P20774,832,20,,,,MIME_HUMAN Mimecan OS=Homo sapiens GN=OGN PE=1 SV=1 CONCAT=6,Homo sapiens
O14745,C,canonical,  1.000,  1.000,11,  1.466,8,17,17q25.1,72744791,72765492,+,,,O14745,833,4,,,,NHRF1_HUMAN Na(+)/H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens GN=SLC9A3R1 PE=1 SV=4 CONCAT=6,Homo sapiens
Q9NX62,C,canonical,  1.000,  1.000,132, 22.764,28,8,8q12.1,57870492,57906403,-,,,Q9NX62,834,7,,,,IMPA3_HUMAN Inositol monophosphatase 3 OS=Homo sapiens GN=IMPAD1 PE=1 SV=1 CONCAT=3,Homo sapiens
Q06830,C,canonical,  1.000,  1.000,112, 23.454,23,1,1p34.1,45976708,45987609,-,,,Q06830,835,6,,,,PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens GN=PRDX1 PE=1 SV=1 CONCAT=3,Homo sapiens
Q13162,C,canonical,  1.000,  1.000,5,  0.977,3,X,Xp22.11,23685563,23704516,+,,,Q06830,835,6,,,,PRDX4_HUMAN Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1 CONCAT=6,Homo sapiens
Q8WVV4,C,canonical,  1.000,  1.000,3,  0.303,3,X,Xq21.1,84532402,84634748,-,,,Q8WVV4,836,3,,,,POF1B_HUMAN Protein POF1B OS=Homo sapiens GN=POF1B PE=1 SV=3 CONCAT=9,Homo sapiens
P16035,C,canonical,  0.167,  1.000,257, 75.347,37,17,17q25.3,76849059,76921469,-,,,P16035,837,6,,,,TIMP2_HUMAN Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2 CONCAT=6,Homo sapiens
Q08380,C,canonical,  0.193,  1.000,510, 49.840,44,17,17q25.3,76967320,76976191,-,,,Q08380,838,14,,,,LG3BP_HUMAN Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1 CONCAT=6,Homo sapiens
Q9UK28,C,canonical,  1.000,  1.000,23,  5.187,12,19,19p13.11,18723682,18731841,+,,,Q9UK28,839,2,,,,TM59L_HUMAN Transmembrane protein 59-like OS=Homo sapiens GN=TMEM59L PE=2 SV=1 CONCAT=6,Homo sapiens
O75882-2,C,canonical,  1.000,  1.000,440, 19.846,51,20,20p13,0,0, ,,,O75882-2,840,4,,,,ATRN_HUMAN Isoform 2 of Attractin OS=Homo sapiens GN=ATRN,Homo sapiens
Q8N129,C,canonical,  0.020,  1.000,5,  1.222,4,7,7q22.1,99717236,99723134,+,,,Q8N129,841,2,,,,CNPY4_HUMAN Protein canopy homolog 4 OS=Homo sapiens GN=CNPY4 PE=2 SV=1 CONCAT=7,Homo sapiens
Q969H8,C,canonical,  0.043,  1.000,26, 10.889,9,19,19p13.3,4657557,4670382,-,,,Q969H8,842,4,,,,CS010_HUMAN UPF0556 protein C19orf10 OS=Homo sapiens GN=C19orf10 PE=1 SV=1 CONCAT=8,Homo sapiens
Q5JPE7-2,C,canonical,  1.000,  1.000,18,  0.788,17,16,16p12.3,18511182,18573533,-,,,Q5JPE7-2,843,17,,,,NOMO2_HUMAN Isoform 2 of Nodal modulator 2 OS=Homo sapiens GN=NOMO2,Homo sapiens
P54108-2,C,canonical,  1.000,  1.000,11,  2.932,4,6,6p12.3,49695097,49712127,-,,,P54108-2,844,7,,,,CRIS3_HUMAN Isoform 2 of Cysteine-rich secretory protein 3 OS=Homo sapiens GN=CRISP3,Homo sapiens
Q8WY21,C,canonical,  1.000,  1.000,81,  4.166,31,10,10q23.3,0,0, ,,,Q8WY21,845,8,,,,SORC1_HUMAN VPS10 domain-containing receptor SorCS1 OS=Homo sapiens GN=SORCS1 PE=1 SV=3 CONCAT=6,Homo sapiens
P47755,C,canonical,  1.000,  1.000,7,  1.579,3,7,7q31.2,116502527,116562103,+,,,P52907,846,6,,,,CAZA2_HUMAN F-actin-capping protein subunit alpha-2 OS=Homo sapiens GN=CAPZA2 PE=1 SV=3 CONCAT=2,Homo sapiens
P52907,C,canonical,  1.000,  1.000,9,  2.030,5,1,1p13.2,113161795,113214241,+,,,P52907,846,6,,,,CAZA1_HUMAN F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3 CONCAT=2,Homo sapiens
P98153,C,canonical,  1.000,  1.000,23,  3.065,9,22,22q11.21,19023799,19109967,-,,,P98153,847,7,,,,IDD_HUMAN Integral membrane protein DGCR2/IDD OS=Homo sapiens GN=DGCR2 PE=2 SV=1 CONCAT=7,Homo sapiens
P61158,C,canonical,  1.000,  1.000,5,  0.637,4,2,2q14.1,114647537,114720173,+,,,P61158,848,14,,,,ARP3_HUMAN Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3 CONCAT=2,Homo sapiens
Q02818,C,canonical,  1.000,  1.000,211, 22.093,44,19,19q13.33,49404041,49426522,+,,,Q02818,849,7,,,,NUCB1_HUMAN Nucleobindin-1 OS=Homo sapiens GN=NUCB1 PE=1 SV=4 CONCAT=10,Homo sapiens
P30043,C,canonical,  1.000,  1.000,9,  2.639,7,19,19q13.2,40953696,40971747,-,,,P30043,850,3,,,,BLVRB_HUMAN Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3 CONCAT=3,Homo sapiens
Q16674,C,canonical,  1.000,  1.000,32, 15.636,7,19,19q13.2,41281282,41283395,+,,,Q16674,851,4,,,,MIA_HUMAN Melanoma-derived growth regulatory protein OS=Homo sapiens GN=MIA PE=1 SV=1 CONCAT=6,Homo sapiens
Q9UM47,C,canonical,  0.146,  1.000,77,  2.257,32,19,19p13.12,15270444,15311792,-,,,Q9UM47,852,5,,,,NOTC3_HUMAN Neurogenic locus notch homolog protein 3 OS=Homo sapiens GN=NOTCH3 PE=1 SV=2 CONCAT=130,Homo sapiens
P02748,C,canonical,  0.311,  1.000,1108,116.014,75,5,5p13.1,39284364,39364662,-,,,P02748,853,7,,,,CO9_HUMAN Complement component C9 OS=Homo sapiens GN=C9 PE=1 SV=2 CONCAT=15,Homo sapiens
P42702,C,canonical,  1.000,  1.000,4,  0.183,4,5,5p13.1,38475065,38595506,-,,,P42702,854,3,,,,LIFR_HUMAN Leukemia inhibitory factor receptor OS=Homo sapiens GN=LIFR PE=1 SV=1 CONCAT=12,Homo sapiens
Q06481-3,C,canonical,  0.324,  1.000,869, 65.326,86,11,11q24,0,0, ,,,Q06481-3,855,16,,,,APLP2_HUMAN Isoform 3 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2,Homo sapiens
Q9P232,C,canonical,  0.196,  1.000,103,  5.206,45,3,3p12.3,74311719,74570291,-,,,Q9P232,856,2,,,,CNTN3_HUMAN Contactin-3 OS=Homo sapiens GN=CNTN3 PE=1 SV=3 CONCAT=12,Homo sapiens
Q9UBS9,C,canonical,  0.020,  1.000,4,  0.206,4,1,1q24.3,172502357,172580971,+,,,Q9UBS9,857,5,,,,SUCO_HUMAN SUN domain-containing ossification factor OS=Homo sapiens GN=SUCO PE=1 SV=1 CONCAT=6,Homo sapiens
O75063,C,canonical,  1.000,  1.000,50,  7.715,15,1,1q25.2,178995031,179045697,+,,,O75063,858,2,,,,XYLK_HUMAN Glycosaminoglycan xylosylkinase OS=Homo sapiens GN=FAM20B PE=1 SV=1 CONCAT=1,Homo sapiens
P16422,C,canonical,  0.011,  1.000,2,  0.366,2,2,2p21,47596287,47614173,+,,,P16422,859,4,,,,EPCAM_HUMAN Epithelial cell adhesion molecule OS=Homo sapiens GN=EPCAM PE=1 SV=2 CONCAT=8,Homo sapiens
P98164,C,canonical,  1.000,  1.000,10,  0.125,8,2,2q31.1,169983619,170219195,-,,,P98164,860,2,,,,LRP2_HUMAN Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens GN=LRP2 PE=1 SV=3 CONCAT=24,Homo sapiens
P35968-2,C,canonical,  0.992,  1.000,11,  0.872,7,4,4q12,55944644,55991756,-,,,P35968-2,861,4,,,,VGFR2_HUMAN Isoform 2 of Vascular endothelial growth factor receptor 2 OS=Homo sapiens GN=KDR,Homo sapiens
P28908,C,canonical,  1.000,  1.000,10,  1.011,7,1,1p36.22,12185956,12204264,+,,,P28908,862,3,,,,TNR8_HUMAN Tumor necrosis factor receptor superfamily member 8 OS=Homo sapiens GN=TNFRSF8 PE=1 SV=1 CONCAT=12,Homo sapiens
P04180,C,canonical,  0.120,  1.000,156, 24.071,26,16,16q22.1,67973653,67978034,-,,,P04180,863,7,,,,LCAT_HUMAN Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens GN=LCAT PE=1 SV=1 CONCAT=57,Homo sapiens
Q15223,C,canonical,  1.000,  1.000,108, 13.193,17,11,11q23.3,119531702,119599794,-,,,Q15223,864,3,,,,PVRL1_HUMAN Nectin-1 OS=Homo sapiens GN=PVRL1 PE=1 SV=3 CONCAT=6,Homo sapiens
P43121-2,C,canonical,  1.000,  1.000,424, 49.723,25,11,11q23.3,119179241,119187826,-,,,P43121-2,865,3,,,,MUC18_HUMAN Isoform 2 of Cell surface glycoprotein MUC18 OS=Homo sapiens GN=MCAM,Homo sapiens
P35052,C,canonical,  1.000,  1.000,98, 10.261,24,2,2q37.3,241375088,241407493,+,,,P35052,866,7,,,,GPC1_HUMAN Glypican-1 OS=Homo sapiens GN=GPC1 PE=1 SV=2 CONCAT=12,Homo sapiens
P58215,C,canonical,  1.000,  1.000,12,  0.926,10,2,2p13.1,74759565,74781062,-,,,P58215,867,8,,,,LOXL3_HUMAN Lysyl oxidase homolog 3 OS=Homo sapiens GN=LOXL3 PE=2 SV=1 CONCAT=7,Homo sapiens
P47756,C,canonical,  1.000,  1.000,7,  1.207,4,1,1p36.13,19669256,19811981,-,,,P47756,868,8,,,,CAPZB_HUMAN F-actin-capping protein subunit beta OS=Homo sapiens GN=CAPZB PE=1 SV=4 CONCAT=2,Homo sapiens
O43529,C,canonical,  1.000,  1.000,24,  3.909,13,2,2q11.2,101008327,101034118,-,,,O43529,869,9,,,,CHSTA_HUMAN Carbohydrate sulfotransferase 10 OS=Homo sapiens GN=CHST10 PE=1 SV=1 CONCAT=4,Homo sapiens
P27348,C,canonical,  1.000,  1.000,55, 11.518,17,2,2p25.1,9724101,9771143,-,,,P62258,870,44,,,,1433T_HUMAN 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1 CONCAT=1,Homo sapiens
P31946,C,canonical,  1.000,  1.000,62, 12.984,18,20,20q13.12,43514317,43537173,+,,,P62258,870,44,,,,1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3 CONCAT=3,Homo sapiens
P61981,C,canonical,  1.000,  1.000,54,  9.895,16,7,7q11.23,75956116,75988348,-,,,P62258,870,44,,,,1433G_HUMAN 14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2 CONCAT=2,Homo sapiens
P62258,C,canonical,  1.000,  1.000,98, 16.901,23,17,17p13.3,0,0, ,,,P62258,870,44,,,,1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1 CONCAT=1,Homo sapiens
P63104,C,canonical,  1.000,  1.000,88, 18.428,20,8,8q23.1,0,0, ,,,P62258,870,44,,,,1433Z_HUMAN 14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1 CONCAT=1,Homo sapiens
Q04917,C,canonical,  1.000,  1.000,43,  7.879,13,22,22q12.3,32340447,32353590,+,,,P62258,870,44,,,,1433F_HUMAN 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4 CONCAT=2,Homo sapiens
Q9P2E7-2,C,canonical,  1.000,  1.000,72,  5.555,26,4,4q28.3,134070470,134115765,+,,,Q9P2E7-2,871,4,,,,PCD10_HUMAN Isoform 2 of Protocadherin-10 OS=Homo sapiens GN=PCDH10,Homo sapiens
