"CSF-PR / CSF GEL BOUND FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
1354.00,"SINGLE PROTEIN","O95947",""," T-box transcription factor TBX6 (TBX6_HUMAN)","16","TBX6",0.00,"false",0.00,0.00,0.00,1263.00,47.02,0.00,,,,,"false"
1355.00,"SINGLE PROTEIN","Q96RN5",""," Mediator of RNA polymerase II transcription subunit 15 (MED15_HUMAN)","22","MED15",0.00,"false",0.00,0.00,0.00,1263.00,86.70,0.00,,,,,"false"
1356.00,"SINGLE PROTEIN","Q8WY54",""," Protein phosphatase 1E (PPM1E_HUMAN)","17","PPM1E",0.00,"false",0.00,0.00,0.00,1263.00,84.95,0.00,,,,,"false"
1357.00,"SINGLE PROTEIN","Q9BV19",""," Uncharacterized protein C1orf50 (CA050_HUMAN)","1","C1ORF50",0.00,"false",0.00,0.00,0.00,1263.00,21.86,0.00,,,,,"false"
1358.00,"SINGLE PROTEIN","Q13753",""," Laminin subunit gamma-2 (LAMC2_HUMAN)","1","LAMC2",0.00,"false",0.00,0.00,0.00,1263.00,130.89,0.00,,,,,"false"
1359.00,"SINGLE PROTEIN","Q96RE7",""," Nucleus accumbens-associated protein 1 (NACC1_HUMAN)","19","NACC1",0.00,"false",0.00,0.00,0.00,1263.00,57.22,0.00,,,,,"false"
1360.00,"SINGLE PROTEIN","Q13751",""," Laminin subunit beta-3 (LAMB3_HUMAN)","1","LAMB3",0.00,"false",0.00,0.00,0.00,1263.00,129.49,0.00,,,,,"false"
1361.00,"SINGLE PROTEIN","Q8WXK3",""," Ankyrin repeat and SOCS box protein 13 (ASB13_HUMAN)","10","ASB13",0.00,"false",0.00,0.00,0.00,1263.00,29.99,0.00,,,,,"false"
1362.00,"SINGLE PROTEIN","O95954",""," Formimidoyltransferase-cyclodeaminase (FTCD_HUMAN)","21","FTCD",0.00,"false",0.00,0.00,0.00,1263.00,58.89,0.00,,,,,"false"
1363.00,"SINGLE PROTEIN","Q8WXK4",""," Ankyrin repeat and SOCS box protein 12 (ASB12_HUMAN)","X","ASB12",0.00,"false",0.00,0.00,0.00,1263.00,33.92,0.00,,,,,"false"
1364.00,"RELATED AND UNRELATED PROTEINS","A3QJZ6","A6NGN4,O60809,Q5SWL8,Q5TYW8,Q5VWM3"," PRAME family member 22 (PRA22_HUMAN)","1","PRAMEF22",0.00,"false",0.00,0.00,0.00,1263.00,55.45,0.00,,,,,"false"
1365.00,"SINGLE PROTEIN","Q86XM0",""," Cation channel sperm-associated protein subunit delta (CTSRD_HUMAN)","19","CATSPERD",0.00,"false",0.00,0.00,0.00,1263.00,90.41,0.00,,,,,"false"
1366.00,"SINGLE PROTEIN","A8MVJ9",""," Putative UPF0609 protein C4orf27-like (YI028_HUMAN)","","",0.00,"false",0.00,0.00,0.00,1263.00,39.70,0.00,,,,,"false"
1367.00,"SINGLE PROTEIN","Q96RE9",""," Zinc finger protein 300 (ZN300_HUMAN)","5","ZNF300",0.00,"false",0.00,0.00,0.00,1263.00,68.70,0.00,,,,,"false"
1368.00,"RELATED PROTEINS","Q06730","Q8NDW4"," Zinc finger protein 33A (ZN33A_HUMAN)","10","ZNF33A",0.00,"false",0.00,0.00,0.00,1263.00,94.32,0.00,,,,,"false"
1369.00,"SINGLE PROTEIN","Q9BUG6",""," Zinc finger and SCAN domain-containing protein 5A (ZSA5A_HUMAN)","19","ZSCAN5A",0.00,"false",0.00,0.00,0.00,1263.00,55.83,0.00,,,,,"false"
1370.00,"SINGLE PROTEIN","Q9Y6G9",""," Cytoplasmic dynein 1 light intermediate chain 1 (DC1L1_HUMAN)","3","DYNC1LI1",0.00,"false",0.00,0.00,0.00,1263.00,56.54,0.00,,,,,"false"
1371.00,"SINGLE PROTEIN","Q9Y6G3",""," 39S ribosomal protein L42, mitochondrial (RM42_HUMAN)","12","MRPL42",0.00,"false",0.00,0.00,0.00,1263.00,16.65,0.00,,,,,"false"
1372.00,"SINGLE PROTEIN","Q9Y6G5",""," COMM domain-containing protein 10 (COMDA_HUMAN)","5","COMMD10",0.00,"false",0.00,0.00,0.00,1263.00,22.95,0.00,,,,,"false"
1373.00,"SINGLE PROTEIN","Q8WXK1",""," Ankyrin repeat and SOCS box protein 15 (ASB15_HUMAN)","7","ASB15",0.00,"false",0.00,0.00,0.00,1263.00,65.76,0.00,,,,,"false"
1374.00,"RELATED PROTEINS","Q5VT97","Q6ZW31"," Rho GTPase-activating protein SYDE2 (SYDE2_HUMAN)","1","SYDE2",0.00,"false",0.00,0.00,0.00,1263.00,133.15,0.00,,,,,"false"
1375.00,"SINGLE PROTEIN","Q13761",""," Runt-related transcription factor 3 (RUNX3_HUMAN)","1","RUNX3",0.00,"false",0.00,0.00,0.00,1263.00,44.33,0.00,,,,,"false"
1376.00,"SINGLE PROTEIN","Q9NXK8",""," F-box/LRR-repeat protein 12 (FXL12_HUMAN)","19","FBXL12",0.00,"false",0.00,0.00,0.00,1263.00,37.00,0.00,,,,,"false"
1377.00,"SINGLE PROTEIN","Q8WXJ9",""," Ankyrin repeat and SOCS box protein 17 (ASB17_HUMAN)","1","ASB17",0.00,"false",0.00,0.00,0.00,1263.00,34.26,0.00,,,,,"false"
1378.00,"SINGLE PROTEIN","Q96RD7",""," Pannexin-1 (PANX1_HUMAN)","11","PANX1",0.00,"false",0.00,0.00,0.00,1263.00,48.02,0.00,,,,,"false"
1379.00,"SINGLE PROTEIN","Q96RD6",""," Pannexin-2 (PANX2_HUMAN)","22","PANX2",0.00,"false",0.00,0.00,0.00,1263.00,74.40,0.00,,,,,"false"
1380.00,"SINGLE PROTEIN","Q13769",""," THO complex subunit 5 homolog (THOC5_HUMAN)","22","THOC5",0.00,"false",0.00,0.00,0.00,1263.00,78.46,0.00,,,,,"false"
1381.00,"SINGLE PROTEIN","O95967",""," EGF-containing fibulin-like extracellular matrix protein 2 (FBLN4_HUMAN)","11","EFEMP2",0.00,"false",0.00,0.00,0.00,1263.00,49.37,0.00,,,,,"false"
1382.00,"SINGLE PROTEIN","Q96RD0",""," Olfactory receptor 8B2 (OR8B2_HUMAN)","11","OR8B2",0.00,"false",0.00,0.00,0.00,1263.00,35.25,0.00,,,,,"false"
1383.00,"SINGLE PROTEIN","Q96RD3",""," Olfactory receptor 52E6 (O52E6_HUMAN)","11","OR52E6",0.00,"false",0.00,0.00,0.00,1263.00,35.50,0.00,,,,,"false"
1384.00,"SINGLE PROTEIN","O95965",""," Integrin beta-like protein 1 (ITGBL_HUMAN)","13","ITGBL1",0.00,"false",0.00,0.00,0.00,1263.00,53.88,0.00,,,,,"false"
1385.00,"SINGLE PROTEIN","Q6WBX8",""," Cell cycle checkpoint control protein RAD9B (RAD9B_HUMAN)","12","RAD9B",0.00,"false",0.00,0.00,0.00,1263.00,47.80,0.00,,,,,"false"
1386.00,"SINGLE PROTEIN","Q9Y6H1",""," Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 (CHCH2_HUMAN)","7","CHCHD2",0.00,"false",0.00,0.00,0.00,1263.00,15.50,0.00,,,,,"false"
1387.00,"SINGLE PROTEIN","Q96RD9",""," Fc receptor-like protein 5 (FCRL5_HUMAN)","1","FCRL5",0.00,"false",0.00,0.00,0.00,1263.00,106.37,0.00,,,,,"false"
1388.00,"SINGLE PROTEIN","E9PB15",""," Putative protein PTGES3L (PTG3L_HUMAN)","17","PTGES3L",0.00,"false",0.00,0.00,0.00,1263.00,19.06,0.00,,,,,"false"
1389.00,"SINGLE PROTEIN","Q9Y6H8",""," Gap junction alpha-3 protein (CXA3_HUMAN)","13","GJA3",0.00,"false",0.00,0.00,0.00,1263.00,47.38,0.00,,,,,"false"
1390.00,"SINGLE PROTEIN","Q9BUF5",""," Tubulin beta-6 chain (TBB6_HUMAN)","18","TUBB6",0.00,"false",0.00,0.00,0.00,1263.00,49.82,0.00,,,,,"false"
1391.00,"SINGLE PROTEIN","Q9Y6H3",""," Mitochondrial inner membrane protease ATP23 homolog (ATP23_HUMAN)","12","XRCC6BP1",0.00,"false",0.00,0.00,0.00,1263.00,28.06,0.00,,,,,"false"
1392.00,"SINGLE PROTEIN","Q86XL3",""," Ankyrin repeat and LEM domain-containing protein 2 (ANKL2_HUMAN)","12","ANKLE2",0.00,"false",0.00,0.00,0.00,1263.00,104.05,0.00,,,,,"false"
1393.00,"SINGLE PROTEIN","Q9Y6H5",""," Synphilin-1 (SNCAP_HUMAN)","5","SNCAIP",0.00,"false",0.00,0.00,0.00,1263.00,100.35,0.00,,,,,"false"
1394.00,"SINGLE PROTEIN","Q9NXL2",""," Rho guanine nucleotide exchange factor 38 (ARH38_HUMAN)","4","ARHGEF38",0.00,"false",0.00,0.00,0.00,1263.00,25.49,0.00,,,,,"false"
1395.00,"SINGLE PROTEIN","A4D1Z8",""," Grifin (GRIFN_HUMAN)","7","GRIFIN",0.00,"false",0.00,0.00,0.00,1263.00,16.31,0.00,,,,,"false"
1396.00,"SINGLE PROTEIN","Q05D32",""," CTD small phosphatase-like protein 2 (CTSL2_HUMAN)","15","CTDSPL2",0.00,"false",0.00,0.00,0.00,1263.00,52.97,0.00,,,,,"false"
1397.00,"SINGLE PROTEIN","Q13772",""," Nuclear receptor coactivator 4 (NCOA4_HUMAN)","10","NCOA4",0.00,"false",0.00,0.00,0.00,1263.00,69.68,0.00,,,,,"false"
1398.00,"SINGLE PROTEIN","Q9NXL6",""," SID1 transmembrane family member 1 (SIDT1_HUMAN)","3","SIDT1",0.00,"false",0.00,0.00,0.00,1263.00,93.78,0.00,,,,,"false"
1399.00,"SINGLE PROTEIN","Q9NXL9",""," DNA helicase MCM9 (MCM9_HUMAN)","6","MCM9",0.00,"false",0.00,0.00,0.00,1263.00,127.23,0.00,,,,,"false"
1400.00,"SINGLE PROTEIN","P52179",""," Myomesin-1 (MYOM1_HUMAN)","18","MYOM1",0.00,"false",0.00,1.00,0.00,1157.00,187.51,0.00,,,,,"false"
1401.00,"SINGLE PROTEIN","Q5XLA6",""," Caspase recruitment domain-containing protein 17 (CAR17_HUMAN)","11","CARD17",0.00,"false",0.00,0.00,0.00,1263.00,11.86,0.00,,,,,"false"
1402.00,"SINGLE PROTEIN","Q5D0E6",""," DALR anticodon-binding domain-containing protein 3 (DALD3_HUMAN)","3","DALRD3",0.00,"false",0.00,1.00,0.00,607.00,59.32,0.00,,,,,"false"
1403.00,"SINGLE PROTEIN","O95972",""," Bone morphogenetic protein 15 (BMP15_HUMAN)","X","BMP15",0.00,"false",0.00,0.00,0.00,1263.00,45.03,0.00,,,,,"false"
1404.00,"SINGLE PROTEIN","Q8WXI3",""," Ankyrin repeat and SOCS box protein 10 (ASB10_HUMAN)","7","ASB10",0.00,"false",0.00,0.00,0.00,1263.00,50.86,0.00,,,,,"false"
1405.00,"SINGLE PROTEIN","Q8WXI4",""," Acyl-coenzyme A thioesterase 11 (ACO11_HUMAN)","1","ACOT11",0.00,"false",0.00,0.00,0.00,1263.00,68.45,0.00,,,,,"false"
1406.00,"SINGLE PROTEIN","O95977",""," Sphingosine 1-phosphate receptor 4 (S1PR4_HUMAN)","19","S1PR4",0.00,"false",0.00,0.00,0.00,1263.00,41.60,0.00,,,,,"false"
1407.00,"SINGLE PROTEIN","Q6Q0C1",""," Solute carrier family 25 member 47 (S2547_HUMAN)","14","SLC25A47",0.00,"false",0.00,0.00,0.00,1263.00,33.41,0.00,,,,,"false"
1408.00,"SINGLE PROTEIN","O95976",""," Immunoglobulin superfamily member 6 (IGSF6_HUMAN)","16","IGSF6",0.00,"false",0.00,0.00,0.00,1263.00,27.00,0.00,,,,,"false"
1409.00,"SINGLE PROTEIN","Q6Q0C0",""," E3 ubiquitin-protein ligase TRAF7 (TRAF7_HUMAN)","16","TRAF7",0.00,"false",0.00,0.00,0.00,1263.00,74.56,0.00,,,,,"false"
1410.00,"SINGLE PROTEIN","Q8WXI2",""," Connector enhancer of kinase suppressor of ras 2 (CNKR2_HUMAN)","X","CNKSR2",0.00,"false",0.00,0.00,0.00,1263.00,117.46,0.00,,,,,"false"
1411.00,"SINGLE PROTEIN","Q9Y6I0",""," Endogenous retrovirus group K member 6 Pro protein (VPK6_HUMAN)","","ERVK6",0.00,"false",0.00,0.00,0.00,1263.00,16.96,0.00,,,,,"false"
1412.00,"SINGLE PROTEIN","Q2I0M5",""," R-spondin-4 (RSPO4_HUMAN)","20","RSPO4",0.00,"false",0.00,0.00,0.00,1263.00,26.15,0.00,,,,,"false"
1413.00,"SINGLE PROTEIN","O95970",""," Leucine-rich glioma-inactivated protein 1 (LGI1_HUMAN)","10","LGI1",0.00,"false",0.00,0.00,0.00,1263.00,63.78,0.00,,,,,"false"
1414.00,"SINGLE PROTEIN","Q8WXI9",""," Transcriptional repressor p66-beta (P66B_HUMAN)","1","GATAD2B",0.00,"false",0.00,0.00,0.00,1263.00,65.22,0.00,,,,,"false"
1415.00,"SINGLE PROTEIN","Q6RUI8",""," Uncharacterized protein C19orf48 (CS048_HUMAN)","19","C19ORF48",0.00,"false",0.00,0.00,0.00,1263.00,13.08,0.00,,,,,"false"
1416.00,"SINGLE PROTEIN","Q9Y6I9",""," Testis-expressed sequence 264 protein (TX264_HUMAN)","3","TEX264",0.00,"false",0.00,0.00,0.00,1263.00,34.17,0.00,,,,,"false"
1417.00,"SINGLE PROTEIN","P40145",""," Adenylate cyclase type 8 (ADCY8_HUMAN)","8","ADCY8",0.00,"false",0.00,0.00,0.00,1263.00,140.03,0.00,,,,,"false"
1418.00,"SINGLE PROTEIN","Q9Y6I8",""," Peroxisomal membrane protein 4 (PXMP4_HUMAN)","20","PXMP4",0.00,"false",0.00,0.00,0.00,1263.00,24.25,0.00,,,,,"false"
1419.00,"SINGLE PROTEIN","Q86XK7",""," V-set and immunoglobulin domain-containing protein 1 (VSIG1_HUMAN)","X","VSIG1",0.00,"false",0.00,0.00,0.00,1263.00,41.79,0.00,,,,,"false"
1420.00,"SINGLE PROTEIN","Q2I0M4",""," Leucine-rich repeat-containing protein 26 (LRC26_HUMAN)","9","LRRC26",0.00,"false",0.00,0.00,0.00,1263.00,34.83,0.00,,,,,"false"
1421.00,"SINGLE PROTEIN","Q9Y6I4",""," Ubiquitin carboxyl-terminal hydrolase 3 (UBP3_HUMAN)","15","USP3",0.00,"false",0.00,0.00,0.00,1263.00,58.86,0.00,,,,,"false"
1422.00,"SINGLE PROTEIN","Q86XK3",""," Swi5-dependent recombination DNA repair protein 1 homolog (SFR1_HUMAN)","10","SFR1",0.00,"false",0.00,0.00,0.00,1263.00,28.24,0.00,,,,,"false"
1423.00,"SINGLE PROTEIN","Q9Y6I7",""," WD repeat and SOCS box-containing protein 1 (WSB1_HUMAN)","17","WSB1",0.00,"false",0.00,0.00,0.00,1263.00,47.40,0.00,,,,,"false"
1424.00,"SINGLE PROTEIN","Q9BUE6",""," Iron-sulfur cluster assembly 1 homolog, mitochondrial (ISCA1_HUMAN)","9","ISCA1",0.00,"false",0.00,0.00,0.00,1263.00,14.17,0.00,,,,,"false"
1425.00,"SINGLE PROTEIN","O95985",""," DNA topoisomerase 3-beta-1 (TOP3B_HUMAN)","22","TOP3B",0.00,"false",0.00,0.00,0.00,1263.00,96.60,0.00,,,,,"false"
1426.00,"SINGLE PROTEIN","O95983",""," Methyl-CpG-binding domain protein 3 (MBD3_HUMAN)","19","MBD3",0.00,"false",0.00,0.00,0.00,1263.00,32.82,0.00,,,,,"false"
1427.00,"SINGLE PROTEIN","Q11128",""," Alpha-(1,3)-fucosyltransferase 5 (FUT5_HUMAN)","19","FUT5",0.00,"false",0.00,0.00,0.00,1263.00,42.98,0.00,,,,,"false"
1428.00,"SINGLE PROTEIN","Q8WXH2",""," Junctophilin-3 (JPH3_HUMAN)","16","JPH3",0.00,"false",0.00,0.00,0.00,1263.00,81.42,0.00,,,,,"false"
1429.00,"SINGLE PROTEIN","O95989",""," Diphosphoinositol polyphosphate phosphohydrolase 1 (NUDT3_HUMAN)","6","NUDT3",0.00,"false",0.00,0.00,0.00,1263.00,19.46,0.00,,,,,"false"
1430.00,"SINGLE PROTEIN","Q8WXH0",""," Nesprin-2 (SYNE2_HUMAN)","14","SYNE2",0.00,"false",0.00,1.00,0.00,1256.00,795.94,0.00,,,,,"false"
1431.00,"SINGLE PROTEIN","Q2VY69",""," Zinc finger protein 284 (ZN284_HUMAN)","19","ZNF284",0.00,"false",0.00,0.00,0.00,1263.00,68.97,0.00,,,,,"false"
1432.00,"SINGLE PROTEIN","Q86XJ0",""," Calcium homeostasis modulator protein 3 (CAHM3_HUMAN)","10","CALHM3",0.00,"false",0.00,0.00,0.00,1263.00,39.06,0.00,,,,,"false"
1433.00,"SINGLE PROTEIN","A3KN83",""," Protein strawberry notch homolog 1 (SBNO1_HUMAN)","12","SBNO1",0.00,"false",0.00,0.00,0.00,1263.00,154.22,0.00,,,,,"false"
1434.00,"SINGLE PROTEIN","Q9ULA0",""," Aspartyl aminopeptidase (DNPEP_HUMAN)","2","DNPEP",0.00,"false",0.00,0.00,0.00,1263.00,52.39,0.00,,,,,"false"
1435.00,"SINGLE PROTEIN","O95980",""," Reversion-inducing cysteine-rich protein with Kazal motifs (RECK_HUMAN)","9","RECK",0.00,"false",0.00,0.00,0.00,1263.00,106.39,0.00,,,,,"false"
1436.00,"SINGLE PROTEIN","Q9Y6J0",""," Calcineurin-binding protein cabin-1 (CABIN_HUMAN)","22","CABIN1",0.00,"false",0.00,0.00,0.00,1263.00,246.20,0.00,,,,,"false"
1437.00,"SINGLE PROTEIN","Q9Y6J9",""," TAF6-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 6L (TAF6L_HUMAN)","11","TAF6L",0.00,"false",0.00,0.00,0.00,1263.00,67.77,0.00,,,,,"false"
1438.00,"SINGLE PROTEIN","Q9Y6J8",""," Serine/threonine/tyrosine-interacting-like protein 1 (STYL1_HUMAN)","7","STYXL1",0.00,"false",0.00,0.00,0.00,1263.00,35.80,0.00,,,,,"false"
1439.00,"SINGLE PROTEIN","Q9BUD6",""," Spondin-2 (SPON2_HUMAN)","4","SPON2",0.00,"false",0.00,0.00,0.00,1263.00,35.82,0.00,,,,,"false"
1440.00,"SINGLE PROTEIN","Q86XJ1",""," GAS2-like protein 3 (GA2L3_HUMAN)","12","GAS2L3",0.00,"false",0.00,0.00,0.00,1263.00,75.17,0.00,,,,,"false"
1441.00,"SINGLE PROTEIN","Q9NXN4",""," Ganglioside-induced differentiation-associated protein 2 (GDAP2_HUMAN)","1","GDAP2",0.00,"false",0.00,0.00,0.00,1263.00,56.19,0.00,,,,,"false"
1442.00,"RELATED AND UNRELATED PROTEINS","P07900","P08238,Q58FF7"," Heat shock protein HSP 90-alpha (HS90A_HUMAN)","14","HSP90AA1",0.00,"false",0.00,0.00,0.00,1263.00,84.61,0.00,,,,,"false"
1443.00,"SINGLE PROTEIN","Q11130",""," Alpha-(1,3)-fucosyltransferase 7 (FUT7_HUMAN)","9","FUT7",0.00,"false",0.00,0.00,0.00,1263.00,39.21,0.00,,,,,"false"
1444.00,"SINGLE PROTEIN","O95996",""," Adenomatous polyposis coli protein 2 (APC2_HUMAN)","19","APC2",0.00,"false",0.00,0.00,0.00,1263.00,243.80,0.00,,,,,"false"
1445.00,"SINGLE PROTEIN","Q13797",""," Integrin alpha-9 (ITA9_HUMAN)","3","ITGA9",0.00,"false",0.00,0.00,0.00,1263.00,114.42,0.00,,,,,"false"
1446.00,"SINGLE PROTEIN","O95995",""," Growth arrest-specific protein 8 (GAS8_HUMAN)","16","GAS8",0.00,"false",0.00,0.00,0.00,1263.00,56.32,0.00,,,,,"false"
1447.00,"SINGLE PROTEIN","Q13796",""," Protein Shroom2 (SHRM2_HUMAN)","X","SHROOM2",0.00,"false",0.00,0.00,0.00,1263.00,176.30,0.00,,,,,"false"
1448.00,"SINGLE PROTEIN","Q13795",""," ADP-ribosylation factor-related protein 1 (ARFRP_HUMAN)","20","ARFRP1",0.00,"false",0.00,0.00,0.00,1263.00,22.60,0.00,,,,,"false"
1449.00,"SINGLE PROTEIN","Q9NXF8",""," Palmitoyltransferase ZDHHC7 (ZDHC7_HUMAN)","16","ZDHHC7",0.00,"false",0.00,0.00,0.00,1263.00,35.12,0.00,,,,,"false"
1450.00,"SINGLE PROTEIN","O95999",""," B-cell lymphoma/leukemia 10 (BCL10_HUMAN)","1","BCL10",0.00,"false",0.00,0.00,0.00,1263.00,26.24,0.00,,,,,"false"
1451.00,"SINGLE PROTEIN","Q96RI8",""," Trace amine-associated receptor 6 (TAAR6_HUMAN)","6","TAAR6",0.00,"false",0.00,0.00,0.00,1263.00,38.43,0.00,,,,,"false"
1452.00,"SINGLE PROTEIN","O95997",""," Securin (PTTG1_HUMAN)","5","PTTG1",0.00,"false",0.00,0.00,0.00,1263.00,22.01,0.00,,,,,"false"
1453.00,"SINGLE PROTEIN","Q86Y26",""," NUT family member 1 (NUTM1_HUMAN)","","NUT",0.00,"false",0.00,0.00,0.00,1263.00,120.24,0.00,,,,,"false"
1454.00,"SINGLE PROTEIN","Q86Y25",""," Zinc finger protein 354C (Z354C_HUMAN)","5","ZNF354C",0.00,"false",0.00,0.00,0.00,1263.00,64.80,0.00,,,,,"false"
1455.00,"SINGLE PROTEIN","Q86XQ3",""," Cation channel sperm-associated protein 3 (CTSR3_HUMAN)","5","CATSPER3",0.00,"false",0.00,0.00,0.00,1263.00,46.39,0.00,,,,,"false"
1456.00,"SINGLE PROTEIN","Q86Y22",""," Collagen alpha-1(XXIII) chain (CONA1_HUMAN)","5","COL23A1",0.00,"false",0.00,1.00,0.00,806.00,51.91,0.00,,,,,"false"
1457.00,"SINGLE PROTEIN","O95990",""," Protein FAM107A (F107A_HUMAN)","3","FAM107A",0.00,"false",0.00,0.00,0.00,1263.00,17.44,0.00,,,,,"false"
1458.00,"SINGLE PROTEIN","Q9Y6C2",""," EMILIN-1 (EMIL1_HUMAN)","2","EMILIN1",0.00,"false",0.00,0.00,0.00,1263.00,106.60,0.00,,,,,"false"
1459.00,"SINGLE PROTEIN","Q9Y6C5",""," Protein patched homolog 2 (PTC2_HUMAN)","1","PTCH2",0.00,"false",0.00,0.00,0.00,1263.00,130.46,0.00,,,,,"false"
1460.00,"SINGLE PROTEIN","Q9UKY1",""," Zinc fingers and homeoboxes protein 1 (ZHX1_HUMAN)","8","ZHX1",0.00,"false",0.00,0.00,0.00,1263.00,98.04,0.00,,,,,"false"
1461.00,"SINGLE PROTEIN","Q96RI1",""," Bile acid receptor (NR1H4_HUMAN)","12","NR1H4",0.00,"false",0.00,0.00,0.00,1263.00,55.88,0.00,,,,,"false"
1462.00,"SINGLE PROTEIN","Q9UKY4",""," Protein O-mannosyl-transferase 2 (POMT2_HUMAN)","14","POMT2",0.00,"false",0.00,0.00,0.00,1263.00,84.16,0.00,,,,,"false"
1463.00,"SINGLE PROTEIN","Q9NXG0",""," Centlein (CNTLN_HUMAN)","9","CNTLN",0.00,"false",0.00,0.00,0.00,1263.00,161.50,0.00,,,,,"false"
1464.00,"SINGLE PROTEIN","Q9BUK0",""," Coiled-coil-helix-coiled-coil-helix domain-containing protein 7 (CHCH7_HUMAN)","8","CHCHD7",0.00,"false",0.00,0.00,0.00,1263.00,10.09,0.00,,,,,"false"
1465.00,"SINGLE PROTEIN","Q9NXG2",""," THUMP domain-containing protein 1 (THUM1_HUMAN)","16","THUMPD1",0.00,"false",0.00,0.00,0.00,1263.00,39.29,0.00,,,,,"false"
1466.00,"SINGLE PROTEIN","Q96RI0",""," Proteinase-activated receptor 4 (PAR4_HUMAN)","19","F2RL3",0.00,"false",0.00,0.00,0.00,1263.00,41.11,0.00,,,,,"false"
1467.00,"SINGLE PROTEIN","Q9Y6C9",""," Mitochondrial carrier homolog 2 (MTCH2_HUMAN)","11","MTCH2",0.00,"false",0.00,0.00,0.00,1263.00,33.31,0.00,,,,,"false"
1468.00,"SINGLE PROTEIN","Q9UKY7",""," Protein CDV3 homolog (CDV3_HUMAN)","3","CDV3",0.00,"false",0.00,0.00,0.00,1263.00,27.32,0.00,,,,,"false"
1469.00,"SINGLE PROTEIN","Q9NXG6",""," Transmembrane prolyl 4-hydroxylase (P4HTM_HUMAN)","3","P4HTM",0.00,"false",0.00,0.00,0.00,1263.00,56.63,0.00,,,,,"false"
1470.00,"RELATED PROTEINS","P86790","P86791"," Vacuolar fusion protein CCZ1 homolog B (CCZ1B_HUMAN)","7","CCZ1B",0.00,"false",0.00,0.00,0.00,1263.00,55.83,0.00,,,,,"false"
1471.00,"SINGLE PROTEIN","Q86XP6",""," Gastrokine-2 (GKN2_HUMAN)","2","GKN2",0.00,"false",0.00,0.00,0.00,1263.00,20.47,0.00,,,,,"false"
1472.00,"SINGLE PROTEIN","Q86Y13",""," E3 ubiquitin-protein ligase DZIP3 (DZIP3_HUMAN)","3","DZIP3",0.00,"false",0.00,0.00,0.00,1263.00,138.52,0.00,,,,,"false"
1473.00,"SINGLE PROTEIN","Q86XP3",""," ATP-dependent RNA helicase DDX42 (DDX42_HUMAN)","17","DDX42",0.00,"false",0.00,0.00,0.00,1263.00,102.91,0.00,,,,,"false"
1474.00,"SINGLE PROTEIN","Q86XP1",""," Diacylglycerol kinase eta (DGKH_HUMAN)","13","DGKH",0.00,"false",0.00,0.00,0.00,1263.00,134.78,0.00,,,,,"false"
1475.00,"SINGLE PROTEIN","Q86XP0",""," Cytosolic phospholipase A2 delta (PA24D_HUMAN)","15","PLA2G4D",0.00,"false",0.00,0.00,0.00,1263.00,91.89,0.00,,,,,"false"
1476.00,"SINGLE PROTEIN","A8MVM7",""," Putative uncharacterized protein ENSP00000382790 (YD021_HUMAN)","","",0.00,"false",0.00,0.00,0.00,1263.00,73.41,0.00,,,,,"false"
1477.00,"UNRELATED PROTEINS","Q96KK3","Q8TDG4,Q9NP62,Q9UIG0"," Potassium voltage-gated channel subfamily S member 1 (KCNS1_HUMAN)","20","KCNS1",0.00,"false",0.00,0.00,0.00,1263.00,58.33,0.00,,,,,"false"
1478.00,"SINGLE PROTEIN","P40199",""," Carcinoembryonic antigen-related cell adhesion molecule 6 (CEAM6_HUMAN)","19","CEACAM6",0.00,"false",0.00,0.00,0.00,1263.00,37.17,0.00,,,,,"false"
1479.00,"SINGLE PROTEIN","Q9Y6D6",""," Brefeldin A-inhibited guanine nucleotide-exchange protein 1 (BIG1_HUMAN)","8","ARFGEF1",0.00,"false",0.00,0.00,0.00,1263.00,208.63,0.00,,,,,"false"
1480.00,"SINGLE PROTEIN","Q9Y6D5",""," Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (BIG2_HUMAN)","20","ARFGEF2",0.00,"false",0.00,0.00,0.00,1263.00,201.91,0.00,,,,,"false"
1481.00,"SINGLE PROTEIN","P40197",""," Platelet glycoprotein V (GPV_HUMAN)","3","GP5",0.00,"false",0.00,0.00,0.00,1263.00,60.92,0.00,,,,,"false"
1482.00,"SINGLE PROTEIN","Q9Y6D0",""," Selenoprotein K (SELK_HUMAN)","","SELK",0.00,"false",0.00,0.00,0.00,1263.00,10.64,0.00,,,,,"false"
1483.00,"SINGLE PROTEIN","Q9UKZ1",""," CCR4-NOT transcription complex subunit 11 (CNO11_HUMAN)","2","C2ORF29",0.00,"false",0.00,0.00,0.00,1263.00,55.18,0.00,,,,,"false"
1484.00,"SINGLE PROTEIN","Q9BUJ2",""," Heterogeneous nuclear ribonucleoprotein U-like protein 1 (HNRL1_HUMAN)","19","HNRNPUL1",0.00,"false",0.00,0.00,0.00,1263.00,95.68,0.00,,,,,"false"
