Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
P08758;Annexin A5 OS=Homo sapiens GN=ANXA5 PE=1 SV=2;36 kDa;;12;7;;Yes
P08833;Insulin-like growth factor-binding protein 1 OS=Homo sapiens GN=IGFBP1 PE=1 SV=1;28 kDa;;3;5;;
P08865;40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4;33 kDa;;3;;1;
P08887;Interleukin-6 receptor subunit alpha OS=Homo sapiens GN=IL6R PE=1 SV=1;52 kDa;;3;3;;
P08949;Neuromedin-B OS=Homo sapiens GN=NMB PE=1 SV=4;13 kDa;;2;;;
P09104;Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 SV=3;47 kDa;TRUE;21;17;5;Yes
P09172;Dopamine beta-hydroxylase OS=Homo sapiens GN=DBH PE=1 SV=3;69 kDa;;13;5;;
P09211;Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2;23 kDa;;12;10;3;Yes
P09228;Cystatin-SA OS=Homo sapiens GN=CST2 PE=1 SV=1;16 kDa;TRUE;4;1;;
P09326;CD48 antigen OS=Homo sapiens GN=CD48 PE=1 SV=2;28 kDa;;4;1;;
P09327;Villin-1 OS=Homo sapiens GN=VIL1 PE=1 SV=4;93 kDa;;;2;0;
P09382;Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2;15 kDa;;8;8;5;Yes
P09417;Dihydropteridine reductase OS=Homo sapiens GN=QDPR PE=1 SV=2;26 kDa;;10;11;5;Yes
P09429;Cluster of High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3 (P09429);25 kDa;TRUE;4;;7;
P09455;Retinol-binding protein 1 OS=Homo sapiens GN=RBP1 PE=1 SV=2;16 kDa;;6;1;;
P09467;Fructose-1,6-bisphosphatase 1 OS=Homo sapiens GN=FBP1 PE=1 SV=5;37 kDa;;3;;;
P09471;Cluster of Guanine nucleotide-binding protein G(o) subunit alpha OS=Homo sapiens GN=GNAO1 PE=1 SV=4 (P09471);40 kDa;TRUE;5;2;4;
P09486;SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1;35 kDa;TRUE;17;15;5;Yes
P09493;Cluster of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1 PE=1 SV=2 (P09493);33 kDa;TRUE;6;5;1;
P09497;Clathrin light chain B OS=Homo sapiens GN=CLTB PE=1 SV=1;25 kDa;;2;;;
P09525;Annexin A4 OS=Homo sapiens GN=ANXA4 PE=1 SV=4;36 kDa;TRUE;3;;;
P09529;Inhibin beta B chain OS=Homo sapiens GN=INHBB PE=1 SV=2;45 kDa;;4;;;
P09543;2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2;48 kDa;;2;1;;
P09603;Macrophage colony-stimulating factor 1 OS=Homo sapiens GN=CSF1 PE=1 SV=2;60 kDa;;11;9;1;Yes
P09619;Platelet-derived growth factor receptor beta OS=Homo sapiens GN=PDGFRB PE=1 SV=1;124 kDa;TRUE;11;8;0;Yes
P09622;Dihydrolipoyl dehydrogenase, mitochondrial OS=Homo sapiens GN=DLD PE=1 SV=2;54 kDa;;11;4;2;Yes
P09651;Cluster of Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens GN=HNRNPA1 PE=1 SV=5 (P09651);39 kDa;TRUE;7;0;9;
P09668;Pro-cathepsin H OS=Homo sapiens GN=CTSH PE=1 SV=4;37 kDa;;11;10;7;Yes
P09871;Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1;77 kDa;TRUE;26;36;24;Yes
P09936;Ubiquitin carboxyl-terminal hydrolase isozyme L1 OS=Homo sapiens GN=UCHL1 PE=1 SV=2;25 kDa;;7;7;6;
P09958;Furin OS=Homo sapiens GN=FURIN PE=1 SV=2;87 kDa;;3;2;;
P09960;Leukotriene A-4 hydrolase OS=Homo sapiens GN=LTA4H PE=1 SV=2;69 kDa;;17;7;;
P09972;Fructose-bisphosphate aldolase C OS=Homo sapiens GN=ALDOC PE=1 SV=2;39 kDa;TRUE;27;28;7;Yes
P0C0L5;Cluster of Complement C4-B OS=Homo sapiens GN=C4B PE=1 SV=1 (P0C0L5);193 kDa;TRUE;110;117;61;Yes
P0C6S8;Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3 OS=Homo sapiens GN=LINGO3 PE=2 SV=1;65 kDa;;10;8;2;Yes
P0C7U0;Protein phosphatase 1 regulatory subunit 28 OS=Homo sapiens GN=ELFN1 PE=1 SV=1;88 kDa;;2;1;;
P0CG47;Cluster of Polyubiquitin-B OS=Homo sapiens GN=UBB PE=1 SV=1 (P0CG47);26 kDa;TRUE;13;9;2;
P0DJI9;Cluster of Serum amyloid A-2 protein OS=Homo sapiens GN=SAA2 PE=1 SV=1 (P0DJI9);14 kDa;TRUE;;2;1;
P10092;Calcitonin gene-related peptide 2 OS=Homo sapiens GN=CALCB PE=1 SV=1;14 kDa;TRUE;2;;;Yes
P10114;Cluster of Ras-related protein Rap-2a OS=Homo sapiens GN=RAP2A PE=1 SV=1 (P10114);21 kDa;TRUE;3;;1;
P10153;Non-secretory ribonuclease OS=Homo sapiens GN=RNASE2 PE=1 SV=2;18 kDa;;3;5;;Yes
P10253;Lysosomal alpha-glucosidase OS=Homo sapiens GN=GAA PE=1 SV=4;105 kDa;TRUE;17;13;3;Yes
P10451;Osteopontin OS=Homo sapiens GN=SPP1 PE=1 SV=1;35 kDa;;13;17;5;Yes
P10586;Receptor-type tyrosine-protein phosphatase F OS=Homo sapiens GN=PTPRF PE=1 SV=2;213 kDa;TRUE;48;29;1;Yes
P10599;Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3;12 kDa;;6;7;3;Yes
P10619;Lysosomal protective protein OS=Homo sapiens GN=CTSA PE=1 SV=2;54 kDa;;8;5;7;Yes
P10636;Microtubule-associated protein tau OS=Homo sapiens GN=MAPT PE=1 SV=5;79 kDa;;7;1;4;
P10643;Complement component C7 OS=Homo sapiens GN=C7 PE=1 SV=2;94 kDa;TRUE;43;50;12;Yes
P10644;cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Homo sapiens GN=PRKAR1A PE=1 SV=1;43 kDa;TRUE;8;6;;
P10645;Chromogranin-A OS=Homo sapiens GN=CHGA PE=1 SV=7;51 kDa;;25;28;6;Yes
P10646;Tissue factor pathway inhibitor OS=Homo sapiens GN=TFPI PE=1 SV=1;35 kDa;;3;2;;Yes
P10720;Cluster of Platelet factor 4 variant OS=Homo sapiens GN=PF4V1 PE=1 SV=1 (P10720);12 kDa;TRUE;3;;0;
P10721;Mast/stem cell growth factor receptor Kit OS=Homo sapiens GN=KIT PE=1 SV=1;110 kDa;TRUE;16;11;;Yes
P10745;Retinol-binding protein 3 OS=Homo sapiens GN=RBP3 PE=1 SV=2;135 kDa;;22;12;2;Yes
P10768;S-formylglutathione hydrolase OS=Homo sapiens GN=ESD PE=1 SV=2;31 kDa;;5;4;3;Yes
P10809;60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2;61 kDa;;7;5;3;
P10909;Clusterin OS=Homo sapiens GN=CLU PE=1 SV=1;52 kDa;;31;34;18;Yes
P10912;Growth hormone receptor OS=Homo sapiens GN=GHR PE=1 SV=1;72 kDa;;2;;0;
P10915;Hyaluronan and proteoglycan link protein 1 OS=Homo sapiens GN=HAPLN1 PE=2 SV=2;40 kDa;;2;;;
P11021;78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2;72 kDa;TRUE;30;32;11;Yes
P11047;Laminin subunit gamma-1 OS=Homo sapiens GN=LAMC1 PE=1 SV=3;178 kDa;TRUE;43;42;6;Yes
P11117;Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3;48 kDa;;9;5;0;
P11137;Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4;200 kDa;;6;0;6;
P11142;Cluster of Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1 (P11142);71 kDa;TRUE;27;19;12;
P11215;Integrin alpha-M OS=Homo sapiens GN=ITGAM PE=1 SV=2;127 kDa;TRUE;15;2;;
P11216;Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5;97 kDa;TRUE;2;0;0;
P11226;Mannose-binding protein C OS=Homo sapiens GN=MBL2 PE=1 SV=2;26 kDa;;6;;2;
P11279;Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3;45 kDa;;5;6;;Yes
P11362;Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1 PE=1 SV=3;92 kDa;TRUE;12;7;3;Yes
P11413;Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4;59 kDa;;3;;;
P11597;Cholesteryl ester transfer protein OS=Homo sapiens GN=CETP PE=1 SV=2;55 kDa;;5;3;3;
P11684;Uteroglobin OS=Homo sapiens GN=SCGB1A1 PE=1 SV=1;10 kDa;;2;0;;
P11717;Cation-independent mannose-6-phosphate receptor OS=Homo sapiens GN=IGF2R PE=1 SV=3;274 kDa;;44;28;2;Yes
P11766;Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4;40 kDa;;6;3;;
P12035;Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3 PE=1 SV=3;64 kDa;TRUE;3;5;4;
P12036;Neurofilament heavy polypeptide OS=Homo sapiens GN=NEFH PE=1 SV=4;112 kDa;TRUE;2;1;1;
P12107;Collagen alpha-1(XI) chain OS=Homo sapiens GN=COL11A1 PE=1 SV=4;181 kDa;TRUE;9;7;0;Yes
P12109;Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3;109 kDa;;44;36;15;Yes
P12110;Collagen alpha-2(VI) chain OS=Homo sapiens GN=COL6A2 PE=1 SV=4;109 kDa;;13;15;2;Yes
P12111;Collagen alpha-3(VI) chain OS=Homo sapiens GN=COL6A3 PE=1 SV=5;344 kDa;;100;79;14;
P12235;Cluster of ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4 (P12235);33 kDa;TRUE;1;0;2;
P12259;Coagulation factor V OS=Homo sapiens GN=F5 PE=1 SV=4;252 kDa;;66;64;23;Yes
P12273;Prolactin-inducible protein OS=Homo sapiens GN=PIP PE=1 SV=1;17 kDa;;3;;1;
P12277;Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1;43 kDa;TRUE;5;4;1;Yes
P12318;Cluster of Low affinity immunoglobulin gamma Fc region receptor II-a OS=Homo sapiens GN=FCGR2A PE=1 SV=4 (P12318);35 kDa;TRUE;4;3;;
P12429;Annexin A3 OS=Homo sapiens GN=ANXA3 PE=1 SV=3;36 kDa;;4;0;;
P12532;Cluster of Creatine kinase U-type, mitochondrial OS=Homo sapiens GN=CKMT1A PE=1 SV=1 (P12532);47 kDa;TRUE;4;1;0;
P12643;Bone morphogenetic protein 2 OS=Homo sapiens GN=BMP2 PE=1 SV=1;45 kDa;;2;;;
P12724;Eosinophil cationic protein OS=Homo sapiens GN=RNASE3 PE=1 SV=2;18 kDa;;2;1;;
P12821;Angiotensin-converting enzyme OS=Homo sapiens GN=ACE PE=1 SV=1;150 kDa;;18;7;;Yes
P12830;Cadherin-1 OS=Homo sapiens GN=CDH1 PE=1 SV=3;97 kDa;TRUE;10;6;1;
P12883;Cluster of Myosin-7 OS=Homo sapiens GN=MYH7 PE=1 SV=5 (P12883);223 kDa;TRUE;0;5;;
P12955;Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3;55 kDa;;10;6;;Yes
P13284;Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3;28 kDa;;3;3;2;Yes
P13473;Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens GN=LAMP2 PE=1 SV=2;45 kDa;;5;3;2;Yes
P13489;Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2;50 kDa;;12;12;6;
P13497;Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2;111 kDa;TRUE;3;3;2;Yes
P13521;Secretogranin-2 OS=Homo sapiens GN=SCG2 PE=1 SV=2;71 kDa;;37;33;5;Yes
P13591;Neural cell adhesion molecule 1 OS=Homo sapiens GN=NCAM1 PE=1 SV=3;95 kDa;;38;42;9;Yes
P13598;Intercellular adhesion molecule 2 OS=Homo sapiens GN=ICAM2 PE=1 SV=2;31 kDa;;3;3;;Yes
P13611;Versican core protein OS=Homo sapiens GN=VCAN PE=1 SV=3;373 kDa;;27;19;1;Yes
P13639;Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4;95 kDa;TRUE;11;5;2;
P13645;Cluster of Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6 (P13645);59 kDa;TRUE;41;49;40;Yes
P13647;Keratin, type II cytoskeletal 5 OS=Homo sapiens GN=KRT5 PE=1 SV=3;62 kDa;TRUE;18;15;17;Yes
P13667;Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2;73 kDa;;23;11;;Yes
P13671;Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3;105 kDa;;35;28;2;Yes
P13686;Tartrate-resistant acid phosphatase type 5 OS=Homo sapiens GN=ACP5 PE=1 SV=3;37 kDa;;1;2;;
P13693;Cluster of Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1 (P13693);20 kDa;TRUE;2;2;;
P13716;Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1;36 kDa;;4;1;1;
P13726;Tissue factor OS=Homo sapiens GN=F3 PE=1 SV=1;33 kDa;;2;1;0;
P13727;Bone marrow proteoglycan OS=Homo sapiens GN=PRG2 PE=1 SV=2;25 kDa;;4;2;;
P13796;Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6;70 kDa;TRUE;32;12;7;Yes
P13797;Plastin-3 OS=Homo sapiens GN=PLS3 PE=1 SV=4;71 kDa;TRUE;18;6;2;Yes
P13861;Cluster of cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Homo sapiens GN=PRKAR2A PE=1 SV=2 (P13861);46 kDa;TRUE;2;0;0;
P13929;Beta-enolase OS=Homo sapiens GN=ENO3 PE=1 SV=4;47 kDa;TRUE;8;5;4;Yes
P13987;CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1;14 kDa;;7;8;3;Yes
P14136;Glial fibrillary acidic protein OS=Homo sapiens GN=GFAP PE=1 SV=1;50 kDa;TRUE;12;5;1;
P14138;Endothelin-3 OS=Homo sapiens GN=EDN3 PE=1 SV=1;25 kDa;;5;2;;
P14151;L-selectin OS=Homo sapiens GN=SELL PE=1 SV=2;42 kDa;;8;7;1;Yes
P14174;Macrophage migration inhibitory factor OS=Homo sapiens GN=MIF PE=1 SV=4;12 kDa;;3;1;2;Yes
P14207;Cluster of Folate receptor beta OS=Homo sapiens GN=FOLR2 PE=1 SV=4 (P14207);29 kDa;TRUE;8;13;4;
P14314;Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2;59 kDa;;18;15;1;Yes
P14324;Farnesyl pyrophosphate synthase OS=Homo sapiens GN=FDPS PE=1 SV=4;48 kDa;;4;1;;
P14384;Carboxypeptidase M OS=Homo sapiens GN=CPM PE=1 SV=2;51 kDa;;8;6;1;Yes
P14415;Sodium/potassium-transporting ATPase subunit beta-2 OS=Homo sapiens GN=ATP1B2 PE=1 SV=3;33 kDa;;4;2;;Yes
P14543;Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3;136 kDa;TRUE;42;33;5;Yes
P14550;Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3;37 kDa;;8;4;;
P14618;Cluster of Pyruvate kinase isozymes M1/M2 OS=Homo sapiens GN=PKM PE=1 SV=4 (P14618);58 kDa;TRUE;36;36;12;Yes
P14621;Acylphosphatase-2 OS=Homo sapiens GN=ACYP2 PE=1 SV=2;11 kDa;;8;6;1;Yes
P14625;Cluster of Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1 (P14625);92 kDa;TRUE;28;24;10;Yes
P14678;Cluster of Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2 (P14678);25 kDa;TRUE;;;3;
P14778;Interleukin-1 receptor type 1 OS=Homo sapiens GN=IL1R1 PE=1 SV=1;65 kDa;;2;0;0;
P14780;Matrix metalloproteinase-9 OS=Homo sapiens GN=MMP9 PE=1 SV=3;78 kDa;;2;0;;
P14923;Cluster of Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3 (P14923);82 kDa;TRUE;5;2;3;
P15085;Carboxypeptidase A1 OS=Homo sapiens GN=CPA1 PE=1 SV=2;47 kDa;;5;;;
P15086;Carboxypeptidase B OS=Homo sapiens GN=CPB1 PE=1 SV=4;47 kDa;;15;6;;Yes
P15090;Fatty acid-binding protein, adipocyte OS=Homo sapiens GN=FABP4 PE=1 SV=3;15 kDa;;2;1;;
P15104;Glutamine synthetase OS=Homo sapiens GN=GLUL PE=1 SV=4;42 kDa;;4;2;1;
P15121;Cluster of Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3 (P15121);36 kDa;TRUE;8;7;2;Yes
P15144;Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4;110 kDa;;27;19;;Yes
P15151;Poliovirus receptor OS=Homo sapiens GN=PVR PE=1 SV=2;45 kDa;;7;6;0;Yes
P15169;Carboxypeptidase N catalytic chain OS=Homo sapiens GN=CPN1 PE=1 SV=1;52 kDa;;8;7;;Yes
P15260;Interferon gamma receptor 1 OS=Homo sapiens GN=IFNGR1 PE=1 SV=1;54 kDa;;2;2;;
P15289;Arylsulfatase A OS=Homo sapiens GN=ARSA PE=1 SV=3;54 kDa;;8;6;;Yes
P15291;Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5;44 kDa;;4;6;1;Yes
P15309;Prostatic acid phosphatase OS=Homo sapiens GN=ACPP PE=1 SV=3;45 kDa;;3;1;5;
P15311;Ezrin OS=Homo sapiens GN=EZR PE=1 SV=4;69 kDa;TRUE;18;8;3;
P15328;Folate receptor alpha OS=Homo sapiens GN=FOLR1 PE=1 SV=3;30 kDa;;6;5;1;Yes
P15374;Ubiquitin carboxyl-terminal hydrolase isozyme L3 OS=Homo sapiens GN=UCHL3 PE=1 SV=1;26 kDa;;2;1;;
P15502;Elastin OS=Homo sapiens GN=ELN PE=1 SV=3;68 kDa;;2;1;;Yes
P15509;Granulocyte-macrophage colony-stimulating factor receptor subunit alpha OS=Homo sapiens GN=CSF2RA PE=1 SV=1;46 kDa;;7;4;0;Yes
P15529;Membrane cofactor protein OS=Homo sapiens GN=CD46 PE=1 SV=3;44 kDa;;5;2;;
P15586;N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS PE=1 SV=3;62 kDa;;11;9;1;Yes
P15692;Vascular endothelial growth factor A OS=Homo sapiens GN=VEGFA PE=1 SV=2;27 kDa;;2;2;1;
P15814;Immunoglobulin lambda-like polypeptide 1 OS=Homo sapiens GN=IGLL1 PE=1 SV=1;23 kDa;TRUE;0;2;4;
P15848;Arylsulfatase B OS=Homo sapiens GN=ARSB PE=1 SV=1;60 kDa;;8;2;;Yes
P15907;Beta-galactoside alpha-2,6-sialyltransferase 1 OS=Homo sapiens GN=ST6GAL1 PE=1 SV=1;47 kDa;;8;5;;
P15924;Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3;332 kDa;;6;10;7;
P16035;Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2;24 kDa;;16;16;2;Yes
P16070;CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3;82 kDa;;5;5;;Yes
P16083;Ribosyldihydronicotinamide dehydrogenase [quinone] OS=Homo sapiens GN=NQO2 PE=1 SV=5;26 kDa;;5;2;;Yes
P16112;Aggrecan core protein OS=Homo sapiens GN=ACAN PE=1 SV=2;250 kDa;;14;6;;Yes
P16144;Integrin beta-4 OS=Homo sapiens GN=ITGB4 PE=1 SV=5;202 kDa;;11;2;0;
P16152;Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3;30 kDa;TRUE;15;12;3;Yes
P16234;Platelet-derived growth factor receptor alpha OS=Homo sapiens GN=PDGFRA PE=1 SV=1;123 kDa;TRUE;9;4;;Yes
P16278;Cluster of Beta-galactosidase OS=Homo sapiens GN=GLB1 PE=1 SV=2 (P16278);76 kDa;TRUE;12;4;2;Yes
P16284;Platelet endothelial cell adhesion molecule OS=Homo sapiens GN=PECAM1 PE=1 SV=1;83 kDa;;8;1;0;
P16519;Neuroendocrine convertase 2 OS=Homo sapiens GN=PCSK2 PE=2 SV=2;71 kDa;;14;12;2;Yes
P16870;Carboxypeptidase E OS=Homo sapiens GN=CPE PE=1 SV=1;53 kDa;;28;29;11;Yes
P16930;Fumarylacetoacetase OS=Homo sapiens GN=FAH PE=1 SV=2;46 kDa;;11;4;;Yes
P16949;Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3;17 kDa;TRUE;5;2;1;
P17050;Alpha-N-acetylgalactosaminidase OS=Homo sapiens GN=NAGA PE=1 SV=2;47 kDa;;8;7;;Yes
P17174;Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3;46 kDa;;21;24;8;Yes
P17181;Interferon alpha/beta receptor 1 OS=Homo sapiens GN=IFNAR1 PE=1 SV=3;64 kDa;;7;2;;
P17301;Integrin alpha-2 OS=Homo sapiens GN=ITGA2 PE=1 SV=1;129 kDa;TRUE;4;1;;
P17405;Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=1 SV=4;70 kDa;;7;2;1;
P17655;Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6;80 kDa;;2;0;;
P17677;Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1;25 kDa;TRUE;11;5;1;Yes
P17813;Endoglin OS=Homo sapiens GN=ENG PE=1 SV=2;71 kDa;;5;1;;Yes
P17900;Ganglioside GM2 activator OS=Homo sapiens GN=GM2A PE=1 SV=4;21 kDa;;10;10;4;Yes
P17927;Complement receptor type 1 OS=Homo sapiens GN=CR1 PE=1 SV=3;224 kDa;TRUE;5;1;;
P17931;Galectin-3 OS=Homo sapiens GN=LGALS3 PE=1 SV=5;26 kDa;;4;3;;
P17936;Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2;32 kDa;;10;6;1;Yes
P17948;Vascular endothelial growth factor receptor 1 OS=Homo sapiens GN=FLT1 PE=1 SV=2;151 kDa;TRUE;3;1;0;
P18065;Insulin-like growth factor-binding protein 2 OS=Homo sapiens GN=IGFBP2 PE=1 SV=2;35 kDa;;16;17;2;
P18075;Bone morphogenetic protein 7 OS=Homo sapiens GN=BMP7 PE=1 SV=1;49 kDa;TRUE;3;2;;Yes
P18206;Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4;124 kDa;;23;11;1;Yes
P18428;Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3;53 kDa;TRUE;6;5;4;Yes
P18669;Cluster of Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2 (P18669);29 kDa;TRUE;17;11;2;
P18850;Cyclic AMP-dependent transcription factor ATF-6 alpha OS=Homo sapiens GN=ATF6 PE=1 SV=3;75 kDa;;3;2;;Yes
P19013;Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4;57 kDa;TRUE;2;3;3;
P19021;Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM PE=1 SV=2;108 kDa;;37;40;7;Yes
P19022;Cadherin-2 OS=Homo sapiens GN=CDH2 PE=1 SV=4;100 kDa;;26;27;2;Yes
P19256;Lymphocyte function-associated antigen 3 OS=Homo sapiens GN=CD58 PE=1 SV=1;28 kDa;;3;2;;
P19320;Vascular cell adhesion protein 1 OS=Homo sapiens GN=VCAM1 PE=1 SV=1;81 kDa;TRUE;30;21;6;Yes
P19367;Cluster of Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3 (P19367);102 kDa;TRUE;22;8;3;Yes
P19404;NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial OS=Homo sapiens GN=NDUFV2 PE=1 SV=2;27 kDa;;2;;;
P19438;Tumor necrosis factor receptor superfamily member 1A OS=Homo sapiens GN=TNFRSF1A PE=1 SV=1;50 kDa;;3;2;;
P19526;Galactoside 2-alpha-L-fucosyltransferase 1 OS=Homo sapiens GN=FUT1 PE=2 SV=1;41 kDa;;3;;;
P19652;Alpha-1-acid glycoprotein 2 OS=Homo sapiens GN=ORM2 PE=1 SV=2;24 kDa;TRUE;5;12;10;Yes
P19823;Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2;106 kDa;;41;27;7;Yes
P19827;Inter-alpha-trypsin inhibitor heavy chain H1 OS=Homo sapiens GN=ITIH1 PE=1 SV=3;101 kDa;;26;20;4;Yes
P19835;Bile salt-activated lipase OS=Homo sapiens GN=CEL PE=1 SV=3;79 kDa;;14;8;;
P19961;Cluster of Alpha-amylase 2B OS=Homo sapiens GN=AMY2B PE=1 SV=1 (P19961);58 kDa;TRUE;14;7;0;Yes
P20023;Complement receptor type 2 OS=Homo sapiens GN=CR2 PE=1 SV=2;113 kDa;;2;;;
P20036;HLA class II histocompatibility antigen, DP alpha 1 chain OS=Homo sapiens GN=HLA-DPA1 PE=1 SV=1;29 kDa;;2;;;
P20062;Transcobalamin-2 OS=Homo sapiens GN=TCN2 PE=1 SV=3;48 kDa;;18;10;7;Yes
P20073;Annexin A7 OS=Homo sapiens GN=ANXA7 PE=1 SV=3;53 kDa;TRUE;3;;;
P20138;Myeloid cell surface antigen CD33 OS=Homo sapiens GN=CD33 PE=1 SV=2;40 kDa;;4;;;
P20333;Tumor necrosis factor receptor superfamily member 1B OS=Homo sapiens GN=TNFRSF1B PE=1 SV=3;48 kDa;;;2;;
P20339;Cluster of Ras-related protein Rab-5A OS=Homo sapiens GN=RAB5A PE=1 SV=2 (P20339);24 kDa;TRUE;3;;;
P20382;Pro-MCH OS=Homo sapiens GN=PMCH PE=1 SV=3;19 kDa;;3;1;;Yes
P20396;Prothyroliberin OS=Homo sapiens GN=TRH PE=1 SV=1;27 kDa;;;2;1;
P20472;Parvalbumin alpha OS=Homo sapiens GN=PVALB PE=1 SV=2;12 kDa;;6;1;;
P20594;Atrial natriuretic peptide receptor 2 OS=Homo sapiens GN=NPR2 PE=1 SV=1;117 kDa;;2;;;
P20618;Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2;26 kDa;;3;2;1;
P20648;Potassium-transporting ATPase alpha chain 1 OS=Homo sapiens GN=ATP4A PE=2 SV=5;114 kDa;TRUE;3;1;1;
P20700;Lamin-B1 OS=Homo sapiens GN=LMNB1 PE=1 SV=2;66 kDa;;1;;2;
P20702;Integrin alpha-X OS=Homo sapiens GN=ITGAX PE=1 SV=3;128 kDa;TRUE;2;;;
