"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
4159.00,"SINGLE PROTEIN","O75437",""," Zinc finger protein 254 (ZN254_HUMAN)","19","ZNF254",0.00,"false",0.00,0.00,0.00,3066.00,77.11,12.71,,,,,"false"
4160.00,"SINGLE PROTEIN","O00408",""," cGMP-dependent 3',5'-cyclic phosphodiesterase (PDE2A_HUMAN)","11","PDE2A",0.00,"false",0.00,0.00,0.00,3066.00,105.65,12.71,,,,,"false"
4161.00,"SINGLE PROTEIN","Q7Z692",""," Carcinoembryonic antigen-related cell adhesion molecule 19 (CEA19_HUMAN)","19","CEACAM19",0.00,"false",0.00,0.00,0.00,3066.00,32.62,12.71,,,,,"false"
4162.00,"SINGLE PROTEIN","P19623",""," Spermidine synthase (SPEE_HUMAN)","1","SRM",0.00,"false",0.00,0.00,0.00,3066.00,33.80,12.71,,,,,"false"
4163.00,"SINGLE PROTEIN","Q16825",""," Tyrosine-protein phosphatase non-receptor type 21 (PTN21_HUMAN)","14","PTPN21",0.00,"false",0.00,0.00,0.00,3066.00,133.20,12.71,,,,,"false"
4164.00,"SINGLE PROTEIN","Q5TFQ8",""," Signal-regulatory protein beta-1 isoform 3 (SIRBL_HUMAN)","20","SIRPB1",33.17,"true",17.00,198.00,0.03,555.00,43.33,12.70,,,,,"false"
4165.00,"SINGLE PROTEIN","Q96T83",""," Sodium/hydrogen exchanger 7 (SL9A7_HUMAN)","X","SLC9A7",0.00,"false",0.00,0.00,0.00,3066.00,80.08,12.70,,,,,"false"
4166.00,"SINGLE PROTEIN","Q01860",""," POU domain, class 5, transcription factor 1 (PO5F1_HUMAN)","6","POU5F1",0.00,"false",0.00,0.00,0.00,3066.00,38.55,12.70,,,,,"false"
4167.00,"SINGLE PROTEIN","Q9GZZ9",""," Ubiquitin-like modifier-activating enzyme 5 (UBA5_HUMAN)","3","UBA5",0.00,"false",0.00,0.00,0.00,3066.00,44.83,12.70,,,,,"false"
4168.00,"SINGLE PROTEIN","Q96GL9",""," Protein FAM163A (F163A_HUMAN)","1","FAM163A",0.00,"false",0.00,0.00,0.00,3066.00,17.63,12.70,,,,,"false"
4169.00,"SINGLE PROTEIN","Q9H6T0",""," Epithelial splicing regulatory protein 2 (ESRP2_HUMAN)","16","ESRP2",0.00,"false",0.00,0.00,0.00,3066.00,78.35,12.68,,,,,"false"
4170.00,"SINGLE PROTEIN","Q9NR46",""," Endophilin-B2 (SHLB2_HUMAN)","9","SH3GLB2",0.00,"false",0.00,0.00,0.00,3066.00,43.95,12.68,,,,,"false"
4171.00,"SINGLE PROTEIN","O94967",""," WD repeat-containing protein 47 (WDR47_HUMAN)","1","WDR47",0.00,"false",0.00,0.00,0.00,3066.00,101.88,12.67,,,,,"false"
4172.00,"SINGLE PROTEIN","O43826",""," Glucose-6-phosphate translocase (G6PT1_HUMAN)","11","SLC37A4",0.00,"false",0.00,0.00,0.00,3066.00,46.33,12.67,,,,,"false"
4173.00,"SINGLE PROTEIN","O75151",""," Lysine-specific demethylase PHF2 (PHF2_HUMAN)","9","PHF2",0.00,"false",0.00,0.00,0.00,3066.00,120.70,12.67,,,,,"false"
4174.00,"SINGLE PROTEIN","P04732",""," Metallothionein-1E (MT1E_HUMAN)","16","MT1E",19.67,"false",1.00,2.00,0.00,1632.00,6.01,12.66,,,,,"false"
4175.00,"SINGLE PROTEIN","O76013",""," Keratin, type I cuticular Ha6 (KRT36_HUMAN)","17","KRT36",1.50,"false",1.00,38.00,0.00,1377.00,52.21,12.66,,,,,"false"
4176.00,"SINGLE PROTEIN","Q96G97",""," Seipin (BSCL2_HUMAN)","11","BSCL2",0.00,"false",0.00,0.00,0.00,3066.00,44.36,12.66,,,,,"false"
4177.00,"SINGLE PROTEIN","Q9Y5W8",""," Sorting nexin-13 (SNX13_HUMAN)","7","SNX13",0.00,"false",0.00,0.00,0.00,3066.00,112.12,12.62,,,,,"false"
4178.00,"SINGLE PROTEIN","Q86XQ3",""," Cation channel sperm-associated protein 3 (CTSR3_HUMAN)","5","CATSPER3",0.00,"false",0.00,0.00,0.00,3066.00,46.39,12.62,,,,,"false"
4179.00,"SINGLE PROTEIN","Q504T8",""," Midnolin (MIDN_HUMAN)","19","MIDN",0.00,"false",0.00,0.00,0.00,3066.00,49.18,12.62,,,,,"false"
4180.00,"SINGLE PROTEIN","Q8WZ60",""," Kelch-like protein 6 (KLHL6_HUMAN)","3","KLHL6",0.00,"false",0.00,0.00,0.00,3066.00,70.31,12.62,,,,,"false"
4181.00,"SINGLE PROTEIN","Q8ND25",""," E3 ubiquitin-protein ligase ZNRF1 (ZNRF1_HUMAN)","16","ZNRF1",0.00,"false",0.00,0.00,0.00,3066.00,23.77,12.62,,,,,"false"
4182.00,"SINGLE PROTEIN","Q10571",""," Probable tumor suppressor protein MN1 (MN1_HUMAN)","22","MN1",0.00,"false",0.00,0.00,0.00,3066.00,135.92,12.62,,,,,"false"
4183.00,"SINGLE PROTEIN","Q6ZW76",""," Ankyrin repeat and SAM domain-containing protein 3 (ANKS3_HUMAN)","16","ANKS3",0.00,"false",0.00,1.00,0.00,2653.00,71.99,12.62,,,,,"false"
4184.00,"SINGLE PROTEIN","Q7Z443",""," Polycystic kidney disease protein 1-like 3 (PK1L3_HUMAN)","16","PKD1L3",0.00,"false",0.00,0.00,0.00,3066.00,195.77,12.62,,,,,"false"
4185.00,"SINGLE PROTEIN","Q17R98",""," Zinc finger protein 827 (ZN827_HUMAN)","4","ZNF827",0.00,"false",0.00,0.00,0.00,3066.00,119.09,12.62,,,,,"false"
4186.00,"SINGLE PROTEIN","Q8TC05",""," Nuclear protein MDM1 (MDM1_HUMAN)","12","MDM1",0.00,"false",0.00,1.00,0.00,2750.00,80.69,12.62,,,,,"false"
4187.00,"SINGLE PROTEIN","Q96DT6",""," Cysteine protease ATG4C (ATG4C_HUMAN)","1","ATG4C",0.00,"false",0.00,0.00,0.00,3066.00,52.46,12.62,,,,,"false"
4188.00,"SINGLE PROTEIN","Q5JV73",""," FERM and PDZ domain-containing protein 3 (FRPD3_HUMAN)","X","FRMPD3",0.00,"false",0.00,0.00,0.00,3066.00,199.08,12.62,,,,,"false"
4189.00,"SINGLE PROTEIN","P11926",""," Ornithine decarboxylase (DCOR_HUMAN)","2","ODC1",0.00,"false",0.00,0.00,0.00,3066.00,51.12,12.62,,,,,"false"
4190.00,"SINGLE PROTEIN","Q96CJ1",""," ELL-associated factor 2 (EAF2_HUMAN)","3","EAF2",0.00,"false",0.00,0.00,0.00,3066.00,28.77,12.62,,,,,"false"
4191.00,"SINGLE PROTEIN","O00267",""," Transcription elongation factor SPT5 (SPT5H_HUMAN)","19","SUPT5H",0.00,"false",0.00,0.00,0.00,3066.00,120.92,12.62,,,,,"false"
4192.00,"SINGLE PROTEIN","Q9P2N4",""," A disintegrin and metalloproteinase with thrombospondin motifs 9 (ATS9_HUMAN)","3","ADAMTS9",0.00,"false",0.00,0.00,0.00,3066.00,216.35,12.62,,,,,"false"
4193.00,"SINGLE PROTEIN","Q8TDM6",""," Disks large homolog 5 (DLG5_HUMAN)","10","DLG5",0.00,"false",0.00,0.00,0.00,3066.00,213.74,12.62,,,,,"false"
4194.00,"SINGLE PROTEIN","Q6GMR7",""," Fatty-acid amide hydrolase 2 (FAAH2_HUMAN)","X","FAAH2",0.00,"false",0.00,0.00,0.00,3066.00,58.27,12.62,,,,,"false"
4195.00,"SINGLE PROTEIN","Q8WXB4",""," Zinc finger protein 606 (ZN606_HUMAN)","19","ZNF606",0.00,"false",0.00,0.00,0.00,3066.00,91.75,12.61,,,,,"false"
4196.00,"SINGLE PROTEIN","Q4G0Z9",""," MCM domain-containing protein 2 (MCMD2_HUMAN)","8","MCMDC2",0.00,"false",0.00,0.00,0.00,3066.00,76.17,12.61,,,,,"false"
4197.00,"SINGLE PROTEIN","Q8TDC3",""," Serine/threonine-protein kinase BRSK1 (BRSK1_HUMAN)","19","BRSK1",0.00,"false",0.00,0.00,0.00,3066.00,85.03,12.61,,,,,"false"
4198.00,"SINGLE PROTEIN","Q14585",""," Zinc finger protein 345 (ZN345_HUMAN)","19","ZNF345",0.00,"false",0.00,0.00,0.00,3066.00,55.35,12.61,,,,,"false"
4199.00,"SINGLE PROTEIN","Q96M86",""," Dynein heavy chain domain-containing protein 1 (DNHD1_HUMAN)","11","DNHD1",0.00,"false",0.00,0.00,0.00,3066.00,533.30,12.61,,,,,"false"
4200.00,"SINGLE PROTEIN","Q2TAK8",""," PWWP domain-containing protein MUM1 (MUM1_HUMAN)","19","MUM1",0.00,"false",0.00,0.00,0.00,3066.00,78.59,12.60,,,,,"false"
4201.00,"SINGLE PROTEIN","Q6ZVM7",""," TOM1-like protein 2 (TM1L2_HUMAN)","17","TOM1L2",0.00,"false",0.00,0.00,0.00,3066.00,55.52,12.58,,,,,"false"
4202.00,"SINGLE PROTEIN","Q5VZL5",""," Zinc finger MYM-type protein 4 (ZMYM4_HUMAN)","1","ZMYM4",0.00,"false",0.00,0.00,0.00,3066.00,172.68,12.54,,,,,"false"
4203.00,"RELATED PROTEINS","P0CG47","P0CG48"," Polyubiquitin-B (UBB_HUMAN)","17","UBB",94.32,"true",12.00,110.00,0.02,575.00,25.75,12.53,,,,,"false"
4204.00,"SINGLE PROTEIN","Q9UKY7",""," Protein CDV3 homolog (CDV3_HUMAN)","3","CDV3",0.00,"false",0.00,0.00,0.00,3066.00,27.32,12.53,,,,,"false"
4205.00,"SINGLE PROTEIN","A8MZ06","","Putative golgin subfamily A member 2-like protein 6 (GG2L6_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,24.16,12.53,,,,,"false"
4206.00,"SINGLE PROTEIN","P26368",""," Splicing factor U2AF 65 kDa subunit (U2AF2_HUMAN)","19","U2AF2",0.00,"false",0.00,0.00,0.00,3066.00,53.47,12.53,,,,,"false"
4207.00,"SINGLE PROTEIN","O43247",""," Testis-expressed sequence 33 protein (TEX33_HUMAN)","22","TEX33",0.00,"false",0.00,0.00,0.00,3066.00,30.71,12.53,,,,,"false"
4208.00,"SINGLE PROTEIN","Q13835",""," Plakophilin-1 (PKP1_HUMAN)","1","PKP1",0.00,"false",0.00,1.00,0.00,2827.00,82.81,12.53,,,,,"false"
4209.00,"SINGLE PROTEIN","O75165",""," DnaJ homolog subfamily C member 13 (DJC13_HUMAN)","3","DNAJC13",0.00,"false",0.00,0.00,0.00,3066.00,254.25,12.53,,,,,"false"
4210.00,"SINGLE PROTEIN","Q8IXT5",""," RNA-binding protein 12B (RB12B_HUMAN)","8","RBM12B",0.00,"false",0.00,0.00,0.00,3066.00,118.03,12.53,,,,,"false"
4211.00,"SINGLE PROTEIN","Q06323",""," Proteasome activator complex subunit 1 (PSME1_HUMAN)","14","PSME1",0.00,"false",0.00,1.00,0.00,1423.00,28.71,12.53,,,,,"false"
4212.00,"SINGLE PROTEIN","Q96D71",""," RalBP1-associated Eps domain-containing protein 1 (REPS1_HUMAN)","6","REPS1",0.00,"false",0.00,0.00,0.00,3066.00,86.61,12.53,,,,,"false"
4213.00,"SINGLE PROTEIN","P47897",""," Glutamine--tRNA ligase (SYQ_HUMAN)","3","QARS",0.00,"false",0.00,0.00,0.00,3066.00,87.74,12.53,,,,,"false"
4214.00,"SINGLE PROTEIN","Q7L2K0",""," Uncharacterized protein C16orf59 (CP059_HUMAN)","16","C16ORF59",0.00,"false",0.00,0.00,0.00,3066.00,46.37,12.53,,,,,"false"
4215.00,"SINGLE PROTEIN","Q8N1G1",""," RNA exonuclease 1 homolog (REXO1_HUMAN)","19","REXO1",0.00,"false",0.00,0.00,0.00,3066.00,131.43,12.53,,,,,"false"
4216.00,"SINGLE PROTEIN","Q99445",""," Glycosyl-phosphatidylinositol-anchored molecule-like protein (GML_HUMAN)","8","GML",0.00,"false",0.00,1.00,0.01,1198.00,17.72,12.53,,,,,"false"
4217.00,"SINGLE PROTEIN","P07919",""," Cytochrome b-c1 complex subunit 6, mitochondrial (QCR6_HUMAN)","1","UQCRH",0.00,"false",0.00,0.00,0.00,3066.00,10.73,12.53,,,,,"false"
4218.00,"SINGLE PROTEIN","P22674",""," Cyclin-O (CCNO_HUMAN)","5","CCNO",0.00,"false",0.00,0.00,0.00,3066.00,38.07,12.52,,,,,"false"
4219.00,"SINGLE PROTEIN","Q96JM2",""," Zinc finger protein 462 (ZN462_HUMAN)","9","ZNF462",0.00,"false",0.00,0.00,0.00,3066.00,284.51,12.52,,,,,"false"
4220.00,"SINGLE PROTEIN","O75159",""," Suppressor of cytokine signaling 5 (SOCS5_HUMAN)","2","SOCS5",0.00,"false",0.00,0.00,0.00,3066.00,61.21,12.50,,,,,"false"
4221.00,"SINGLE PROTEIN","Q5T447",""," E3 ubiquitin-protein ligase HECTD3 (HECD3_HUMAN)","1","HECTD3",0.00,"false",0.00,0.00,0.00,3066.00,97.05,12.50,,,,,"false"
4222.00,"SINGLE PROTEIN","Q7Z7M9",""," Polypeptide N-acetylgalactosaminyltransferase 5 (GALT5_HUMAN)","2","GALNT5",0.00,"false",0.00,0.00,0.00,3066.00,106.20,12.49,,,,,"false"
4223.00,"SINGLE PROTEIN","Q9H2U9",""," Disintegrin and metalloproteinase domain-containing protein 7 (ADAM7_HUMAN)","8","ADAM7",0.00,"false",0.00,0.00,0.00,3066.00,85.61,12.47,,,,,"false"
4224.00,"SINGLE PROTEIN","P68032",""," Actin, alpha cardiac muscle 1 (ACTC_HUMAN)","15","ACTC1",42.44,"true",21.00,94.00,0.01,1258.00,41.99,12.45,,,,,"false"
4225.00,"SINGLE PROTEIN","O95999",""," B-cell lymphoma/leukemia 10 (BCL10_HUMAN)","1","BCL10",0.00,"false",0.00,1.00,0.01,1189.00,26.24,12.45,,,,,"false"
4226.00,"SINGLE PROTEIN","Q9UK53",""," Inhibitor of growth protein 1 (ING1_HUMAN)","13","ING1",0.00,"false",0.00,1.00,0.00,2152.00,46.71,12.45,,,,,"false"
4227.00,"SINGLE PROTEIN","Q86VQ1",""," Glucocorticoid-induced transcript 1 protein (GLCI1_HUMAN)","7","GLCCI1",0.00,"false",0.00,0.00,0.00,3066.00,57.99,12.45,,,,,"false"
4228.00,"SINGLE PROTEIN","Q86UF2",""," cTAGE family member 6 (CTGE6_HUMAN)","7","CTAGE6P",0.00,"false",0.00,0.00,0.00,3066.00,87.85,12.45,,,,,"false"
4229.00,"SINGLE PROTEIN","P53814",""," Smoothelin (SMTN_HUMAN)","22","SMTN",0.00,"false",0.00,0.00,0.00,3066.00,99.00,12.45,,,,,"false"
4230.00,"SINGLE PROTEIN","Q9BZW4",""," Transmembrane 6 superfamily member 2 (TM6S2_HUMAN)","19","TM6SF2",0.00,"false",0.00,0.00,0.00,3066.00,42.53,12.45,,,,,"false"
4231.00,"SINGLE PROTEIN","Q8IZQ8",""," Myocardin (MYCD_HUMAN)","17","MYOCD",0.00,"false",0.00,0.00,0.00,3066.00,101.93,12.45,,,,,"false"
4232.00,"RELATED AND UNRELATED PROTEINS","O71037","P61570,P61572,P61573,P61574,P61575,P61579,Q69383,Q69384,Q902F8,Q902F9,Q9UKH3"," Endogenous retrovirus group K member 19 Env polyprotein (ENK19_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,79.20,12.45,,,,,"false"
4233.00,"SINGLE PROTEIN","Q8NFG4",""," Folliculin (FLCN_HUMAN)","17","FLCN",0.00,"false",0.00,0.00,0.00,3066.00,64.43,12.45,,,,,"false"
4234.00,"SINGLE PROTEIN","Q8IYB1",""," Protein MB21D2 (M21D2_HUMAN)","3","MB21D2",0.00,"false",0.00,0.00,0.00,3066.00,55.76,12.45,,,,,"false"
4235.00,"SINGLE PROTEIN","Q9H583",""," HEAT repeat-containing protein 1 (HEAT1_HUMAN)","1","HEATR1",0.00,"false",0.00,0.00,0.00,3066.00,242.22,12.45,,,,,"false"
4236.00,"SINGLE PROTEIN","Q9UBU8",""," Mortality factor 4-like protein 1 (MO4L1_HUMAN)","15","MORF4L1",0.00,"false",0.00,0.00,0.00,3066.00,41.45,12.45,,,,,"false"
4237.00,"SINGLE PROTEIN","Q9P0P0",""," E3 ubiquitin-protein ligase RNF181 (RN181_HUMAN)","2","RNF181",0.00,"false",0.00,0.00,0.00,3066.00,17.90,12.45,,,,,"false"
4238.00,"SINGLE PROTEIN","Q96FS4",""," Signal-induced proliferation-associated protein 1 (SIPA1_HUMAN)","11","SIPA1",0.00,"false",0.00,0.00,0.00,3066.00,112.08,12.45,,,,,"false"
4239.00,"SINGLE PROTEIN","Q9NZQ3",""," NCK-interacting protein with SH3 domain (SPN90_HUMAN)","3","NCKIPSD",0.00,"false",0.00,0.00,0.00,3066.00,78.91,12.43,,,,,"false"
4240.00,"SINGLE PROTEIN","Q8IV33",""," Uncharacterized protein KIAA0825 (K0825_HUMAN)","5","KIAA0825",0.00,"false",0.00,0.00,0.00,3066.00,147.67,12.43,,,,,"false"
4241.00,"SINGLE PROTEIN","Q8WXA3",""," RUN and FYVE domain-containing protein 2 (RUFY2_HUMAN)","10","RUFY2",0.00,"false",0.00,0.00,0.00,3066.00,75.01,12.42,,,,,"false"
4242.00,"SINGLE PROTEIN","Q6XR72",""," Zinc transporter 10 (ZNT10_HUMAN)","1","SLC30A10",0.00,"false",0.00,0.00,0.00,3066.00,52.65,12.42,,,,,"false"
4243.00,"SINGLE PROTEIN","Q6W2J9",""," BCL-6 corepressor (BCOR_HUMAN)","X","BCOR",0.00,"false",0.00,0.00,0.00,3066.00,192.07,12.42,,,,,"false"
4244.00,"SINGLE PROTEIN","Q96QS1",""," Tetraspanin-32 (TSN32_HUMAN)","11","TSPAN32",0.00,"false",0.00,0.00,0.00,3066.00,34.61,12.41,,,,,"false"
4245.00,"SINGLE PROTEIN","Q5VYS4",""," Mesenteric estrogen-dependent adipogenesis protein (MEDAG_HUMAN)","","MEDAG",0.00,"false",0.00,0.00,0.00,3066.00,34.17,12.41,,,,,"false"
4246.00,"SINGLE PROTEIN","Q9H9L3",""," Interferon-stimulated 20 kDa exonuclease-like 2 (I20L2_HUMAN)","1","ISG20L2",0.00,"false",0.00,0.00,0.00,3066.00,39.13,12.40,,,,,"false"
4247.00,"SINGLE PROTEIN","P15882",""," N-chimaerin (CHIN_HUMAN)","2","CHN1",0.00,"false",0.00,0.00,0.00,3066.00,53.14,12.39,,,,,"false"
4248.00,"SINGLE PROTEIN","A6NDB9",""," Paralemmin-3 (PALM3_HUMAN)","19","PALM3",0.00,"false",0.00,0.00,0.00,3066.00,71.65,12.36,,,,,"false"
4249.00,"SINGLE PROTEIN","Q9UKZ1",""," CCR4-NOT transcription complex subunit 11 (CNO11_HUMAN)","2","C2ORF29",0.00,"false",0.00,0.00,0.00,3066.00,55.18,12.36,,,,,"false"
4250.00,"SINGLE PROTEIN","A6NDA9",""," Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2 (LRIT2_HUMAN)","10","LRIT2",0.00,"false",0.00,1.00,0.00,2277.00,60.13,12.36,,,,,"false"
4251.00,"SINGLE PROTEIN","Q2VWA4",""," SKI family transcriptional corepressor 2 (SKOR2_HUMAN)","18","SKOR2",0.00,"false",0.00,0.00,0.00,3066.00,104.17,12.36,,,,,"false"
4252.00,"SINGLE PROTEIN","P30679",""," Guanine nucleotide-binding protein subunit alpha-15 (GNA15_HUMAN)","19","GNA15",0.00,"false",0.00,1.00,0.00,2254.00,43.54,12.36,,,,,"false"
4253.00,"SINGLE PROTEIN","Q9Y4H2",""," Insulin receptor substrate 2 (IRS2_HUMAN)","13","IRS2",0.00,"false",0.00,1.00,0.00,2935.00,137.25,12.36,,,,,"false"
4254.00,"SINGLE PROTEIN","Q9NU02",""," Ankyrin repeat and EF-hand domain-containing protein 1 (ANKE1_HUMAN)","20","ANKRD5",0.00,"false",0.00,0.00,0.00,3066.00,86.61,12.36,,,,,"false"
4255.00,"SINGLE PROTEIN","P98082",""," Disabled homolog 2 (DAB2_HUMAN)","5","DAB2",0.00,"false",0.00,0.00,0.00,3066.00,82.40,12.36,,,,,"false"
4256.00,"SINGLE PROTEIN","Q86YI8",""," PHD finger protein 13 (PHF13_HUMAN)","1","PHF13",0.00,"false",0.00,0.00,0.00,3066.00,33.56,12.36,,,,,"false"
4257.00,"RELATED PROTEINS","P63120","P63125"," Endogenous retrovirus group K member 19 Pro protein (VPK19_HUMAN)","","",0.00,"false",0.00,0.00,0.00,3066.00,17.10,12.36,,,,,"false"
4258.00,"SINGLE PROTEIN","Q9H0J4",""," Glutamine-rich protein 2 (QRIC2_HUMAN)","17","QRICH2",0.00,"false",0.00,0.00,0.00,3066.00,180.71,12.36,,,,,"false"
4259.00,"SINGLE PROTEIN","Q8IZL2",""," Mastermind-like protein 2 (MAML2_HUMAN)","11","MAML2",0.00,"false",0.00,0.00,0.00,3066.00,125.12,12.36,,,,,"false"
4260.00,"SINGLE PROTEIN","Q8IZX4",""," Transcription initiation factor TFIID subunit 1-like (TAF1L_HUMAN)","9","TAF1L",0.00,"false",0.00,0.00,0.00,3066.00,207.17,12.36,,,,,"false"
4261.00,"SINGLE PROTEIN","Q07157",""," Tight junction protein ZO-1 (ZO1_HUMAN)","15","TJP1",0.00,"false",0.00,0.00,0.00,3066.00,195.34,12.36,,,,,"false"
4262.00,"SINGLE PROTEIN","O14490",""," Disks large-associated protein 1 (DLGP1_HUMAN)","18","DLGAP1",0.00,"false",0.00,0.00,0.00,3066.00,108.81,12.36,,,,,"false"
4263.00,"SINGLE PROTEIN","Q5SQQ9",""," Ventral anterior homeobox 1 (VAX1_HUMAN)","10","VAX1",0.00,"false",0.00,0.00,0.00,3066.00,34.69,12.36,,,,,"false"
4264.00,"SINGLE PROTEIN","Q9H9A6",""," Leucine-rich repeat-containing protein 40 (LRC40_HUMAN)","1","LRRC40",0.00,"false",0.00,1.00,0.00,2348.00,68.21,12.36,,,,,"false"
4265.00,"SINGLE PROTEIN","Q8TAL5",""," Uncharacterized protein C9orf43 (CI043_HUMAN)","9","C9ORF43",0.00,"false",0.00,0.00,0.00,3066.00,52.19,12.36,,,,,"false"
4266.00,"SINGLE PROTEIN","P54098",""," DNA polymerase subunit gamma-1 (DPOG1_HUMAN)","15","POLG",0.00,"false",0.00,0.00,0.00,3066.00,139.47,12.36,,,,,"false"
4267.00,"SINGLE PROTEIN","Q9P2D8",""," Protein unc-79 homolog (UNC79_HUMAN)","14","UNC79",0.00,"false",0.00,0.00,0.00,3066.00,295.12,12.36,,,,,"false"
4268.00,"SINGLE PROTEIN","Q8N2G8",""," GH3 domain-containing protein (GHDC_HUMAN)","17","GHDC",0.00,"false",0.00,0.00,0.00,3066.00,57.49,12.36,,,,,"false"
4269.00,"SINGLE PROTEIN","Q8TDJ6",""," DmX-like protein 2 (DMXL2_HUMAN)","15","DMXL2",0.00,"false",0.00,0.00,0.00,3066.00,339.43,12.36,,,,,"false"
4270.00,"SINGLE PROTEIN","Q9Y2G3",""," Probable phospholipid-transporting ATPase IF (AT11B_HUMAN)","3","ATP11B",0.00,"false",0.00,1.00,0.00,2611.00,134.10,12.36,,,,,"false"
4271.00,"SINGLE PROTEIN","O95372",""," Acyl-protein thioesterase 2 (LYPA2_HUMAN)","1","LYPLA2",0.00,"false",0.00,0.00,0.00,3066.00,24.72,12.36,,,,,"false"
4272.00,"SINGLE PROTEIN","Q13099",""," Intraflagellar transport protein 88 homolog (IFT88_HUMAN)","13","IFT88",0.00,"false",0.00,0.00,0.00,3066.00,94.21,12.36,,,,,"false"
4273.00,"SINGLE PROTEIN","P81877",""," Single-stranded DNA-binding protein 2 (SSBP2_HUMAN)","5","SSBP2",0.00,"false",0.00,0.00,0.00,3066.00,37.80,12.36,,,,,"false"
4274.00,"RELATED PROTEINS","P0CG05","P0CG06"," Ig lambda-2 chain C regions (LAC2_HUMAN)","22","IGLC2",65.09,"false",4.00,70.00,0.05,312.00,11.29,12.35,,,,,"false"
4275.00,"SINGLE PROTEIN","Q9NW15",""," Anoctamin-10 (ANO10_HUMAN)","3","ANO10",0.00,"false",0.00,0.00,0.00,3066.00,76.28,12.35,,,,,"false"
4276.00,"SINGLE PROTEIN","Q99708",""," DNA endonuclease RBBP8 (COM1_HUMAN)","18","RBBP8",0.00,"false",0.00,0.00,0.00,3066.00,101.88,12.35,,,,,"false"
4277.00,"SINGLE PROTEIN","P25092",""," Heat-stable enterotoxin receptor (GUC2C_HUMAN)","12","GUCY2C",0.00,"false",0.00,0.00,0.00,3066.00,123.32,12.35,,,,,"false"
4278.00,"SINGLE PROTEIN","P48052",""," Carboxypeptidase A2 (CBPA2_HUMAN)","7","CPA2",0.00,"false",0.00,1.00,0.00,1540.00,47.00,12.35,,,,,"false"
4279.00,"SINGLE PROTEIN","Q8IZQ5",""," Selenoprotein H (SELH_HUMAN)","","SELH",0.00,"false",0.00,0.00,0.00,3066.00,13.45,12.35,,,,,"false"
4280.00,"SINGLE PROTEIN","P61968",""," LIM domain transcription factor LMO4 (LMO4_HUMAN)","1","LMO4",0.00,"false",0.00,0.00,0.00,3066.00,17.98,12.35,,,,,"false"
4281.00,"SINGLE PROTEIN","P0C5K7",""," Cancer/testis antigen 62 (CT62_HUMAN)","15","CT62",0.00,"false",0.00,0.00,0.00,3066.00,15.40,12.35,,,,,"false"
4282.00,"SINGLE PROTEIN","A7MCY6",""," TANK-binding kinase 1-binding protein 1 (TBKB1_HUMAN)","17","TBKBP1",0.00,"false",0.00,1.00,0.00,2287.00,67.66,12.35,,,,,"false"
4283.00,"SINGLE PROTEIN","O60870",""," DNA/RNA-binding protein KIN17 (KIN17_HUMAN)","10","KIN",0.00,"false",0.00,0.00,0.00,3066.00,45.35,12.35,,,,,"false"
4284.00,"SINGLE PROTEIN","Q8N6Q8",""," Methyltransferase-like protein 25 (MET25_HUMAN)","12","METTL25",0.00,"false",0.00,0.00,0.00,3066.00,68.17,12.35,,,,,"false"
4285.00,"SINGLE PROTEIN","Q8N806",""," Putative E3 ubiquitin-protein ligase UBR7 (UBR7_HUMAN)","14","UBR7",0.00,"false",0.00,0.00,0.00,3066.00,47.97,12.35,,,,,"false"
4286.00,"SINGLE PROTEIN","Q9C075",""," Keratin, type I cytoskeletal 23 (K1C23_HUMAN)","17","KRT23",0.00,"false",0.00,0.00,0.00,3066.00,48.10,12.35,,,,,"false"
4287.00,"SINGLE PROTEIN","Q9ULG6",""," Cell cycle progression protein 1 (CCPG1_HUMAN)","15","CCPG1",0.00,"false",0.00,0.00,0.00,3066.00,87.29,12.27,,,,,"false"
4288.00,"SINGLE PROTEIN","O95985",""," DNA topoisomerase 3-beta-1 (TOP3B_HUMAN)","22","TOP3B",0.00,"false",0.00,1.00,0.00,2873.00,96.60,12.27,,,,,"false"
4289.00,"SINGLE PROTEIN","P28289",""," Tropomodulin-1 (TMOD1_HUMAN)","9","TMOD1",0.00,"false",0.00,0.00,0.00,3066.00,40.54,12.27,,,,,"false"
4290.00,"SINGLE PROTEIN","Q9HBL8",""," NmrA-like family domain-containing protein 1 (NMRL1_HUMAN)","16","NMRAL1",0.00,"false",0.00,0.00,0.00,3066.00,33.32,12.27,,,,,"false"
4291.00,"SINGLE PROTEIN","Q9ULX3",""," RNA-binding protein NOB1 (NOB1_HUMAN)","16","NOB1",0.00,"false",0.00,0.00,0.00,3066.00,46.65,12.27,,,,,"false"
4292.00,"SINGLE PROTEIN","O43379",""," WD repeat-containing protein 62 (WDR62_HUMAN)","19","WDR62",0.00,"false",0.00,0.00,0.00,3066.00,165.85,12.27,,,,,"false"
