CSF-PR / CSF MIXED-MODE DEPLETED FRACTION / Proteins / 
index,PI,Accession,Other Protein(s),Description,CHROMOSOME,Gene Name,Coverage(%),Non Enzymatic Peptides,#Peptides,#Spectra,NSAF,RANK (NSAF),MW,Confidence,Validated
709.00,SINGLE PROTEIN,Q99523,, Sortilin (SORT_HUMAN),1,SORT1,11.19,false,8.00,24.00,0.01,1349.00,92.01,100.00,true
710.00,SINGLE PROTEIN,O43493,, Trans-Golgi network integral membrane protein 2 (TGON2_HUMAN),2,TGOLN2,22.50,true,8.00,24.00,0.01,1315.00,51.08,100.00,true
711.00,SINGLE PROTEIN,Q9H8J5,, MANSC domain-containing protein 1 (MANS1_HUMAN),12,MANSC1,20.65,true,8.00,25.00,0.01,763.00,46.78,100.00,true
712.00,SINGLE PROTEIN,O75077,, Disintegrin and metalloproteinase domain-containing protein 23 (ADA23_HUMAN),2,ADAM23,14.66,false,8.00,24.00,0.00,1606.00,91.87,100.00,true
713.00,SINGLE PROTEIN,P57087,, Junctional adhesion molecule B (JAM2_HUMAN),21,JAM2,27.85,false,8.00,12.00,0.02,610.00,33.19,100.00,true
714.00,SINGLE PROTEIN,Q15084,, Protein disulfide-isomerase A6 (PDIA6_HUMAN),2,PDIA6,30.00,false,8.00,14.00,0.01,1025.00,48.09,100.00,true
715.00,SINGLE PROTEIN,P11215,, Integrin alpha-M (ITAM_HUMAN),16,ITGAM,10.24,false,8.00,16.00,0.00,1439.00,127.10,100.00,true
716.00,SINGLE PROTEIN,Q16881,, Thioredoxin reductase 1, cytoplasmic (TRXR1_HUMAN),12,TXNRD1,21.73,false,8.00,16.00,0.00,1622.00,70.86,100.00,true
717.00,SINGLE PROTEIN,P02746,, Complement C1q subcomponent subunit B (C1QB_HUMAN),1,C1QB,29.25,false,8.00,84.00,0.09,149.00,26.70,100.00,true
718.00,SINGLE PROTEIN,P02743,, Serum amyloid P-component (SAMP_HUMAN),1,APCS,32.74,false,8.00,27.00,0.07,205.00,25.37,100.00,true
719.00,SINGLE PROTEIN,P02741,, C-reactive protein (CRP_HUMAN),1,CRP,23.66,true,8.00,35.00,0.08,190.00,25.02,100.00,true
720.00,SINGLE PROTEIN,P32119,, Peroxiredoxin-2 (PRDX2_HUMAN),19,PRDX2,40.40,true,8.00,25.00,0.04,358.00,21.88,100.00,true
721.00,SINGLE PROTEIN,Q9ULI3,, Protein HEG homolog 1 (HEG1_HUMAN),3,HEG1,8.11,false,8.00,29.00,0.00,1473.00,147.37,100.00,true
722.00,SINGLE PROTEIN,P12107,, Collagen alpha-1(XI) chain (COBA1_HUMAN),1,COL11A1,7.53,false,8.00,14.00,0.00,2103.00,180.95,100.00,true
723.00,SINGLE PROTEIN,P12110,, Collagen alpha-2(VI) chain (CO6A2_HUMAN),21,COL6A2,11.19,false,8.00,19.00,0.00,1398.00,108.51,100.00,true
724.00,SINGLE PROTEIN,P10768,, S-formylglutathione hydrolase (ESTD_HUMAN),13,ESD,40.07,false,8.00,22.00,0.01,769.00,31.44,100.00,true
725.00,SINGLE PROTEIN,P06276,, Cholinesterase (CHLE_HUMAN),3,BCHE,18.60,true,8.00,20.00,0.01,741.00,68.37,100.00,true
726.00,SINGLE PROTEIN,P53041,, Serine/threonine-protein phosphatase 5 (PPP5_HUMAN),19,PPP5C,22.65,false,8.00,13.00,0.01,1295.00,56.84,100.00,true
727.00,SINGLE PROTEIN,Q9Y6C2,, EMILIN-1 (EMIL1_HUMAN),2,EMILIN1,12.20,false,8.00,11.00,0.01,1328.00,106.60,100.00,true
728.00,SINGLE PROTEIN,Q9UGT4,, Sushi domain-containing protein 2 (SUSD2_HUMAN),22,SUSD2,18.13,false,8.00,10.00,0.00,1530.00,90.15,100.00,true
729.00,SINGLE PROTEIN,O15466,, Alpha-2,8-sialyltransferase 8E (SIA8E_HUMAN),18,ST8SIA5,25.53,true,8.00,25.00,0.03,403.00,43.87,100.00,true
730.00,SINGLE PROTEIN,P05556,, Integrin beta-1 (ITB1_HUMAN),10,ITGB1,13.91,false,8.00,12.00,0.00,1853.00,88.36,100.00,true
731.00,SINGLE PROTEIN,O00461,, Golgi integral membrane protein 4 (GOLI4_HUMAN),3,GOLIM4,13.22,false,8.00,18.00,0.01,1298.00,81.83,100.00,true
732.00,SINGLE PROTEIN,Q8TAB3,, Protocadherin-19 (PCD19_HUMAN),X,PCDH19,9.15,true,8.00,11.00,0.00,1886.00,126.17,100.00,true
733.00,SINGLE PROTEIN,Q5VV63,, Attractin-like protein 1 (ATRN1_HUMAN),10,ATRNL1,7.76,false,8.00,13.00,0.00,1863.00,152.54,100.00,true
734.00,SINGLE PROTEIN,Q96CX2,, BTB/POZ domain-containing protein KCTD12 (KCD12_HUMAN),13,KCTD12,35.38,false,8.00,20.00,0.02,508.00,35.68,100.00,true
735.00,SINGLE PROTEIN,P17936,, Insulin-like growth factor-binding protein 3 (IBP3_HUMAN),7,IGFBP3,31.96,true,8.00,28.00,0.01,748.00,31.65,100.00,true
736.00,SINGLE PROTEIN,Q6FHJ7,, Secreted frizzled-related protein 4 (SFRP4_HUMAN),7,SFRP4,26.88,true,8.00,28.00,0.02,647.00,39.80,100.00,true
737.00,SINGLE PROTEIN,Q96HD1,, Cysteine-rich with EGF-like domain protein 1 (CREL1_HUMAN),3,CRELD1,27.38,false,8.00,18.00,0.02,624.00,45.41,100.00,true
738.00,SINGLE PROTEIN,P12277,, Creatine kinase B-type (KCRB_HUMAN),14,CKB,24.67,true,8.00,13.00,0.01,879.00,42.62,100.00,true
739.00,SINGLE PROTEIN,P09493,, Tropomyosin alpha-1 chain (TPM1_HUMAN),15,TPM1,18.66,false,8.00,20.00,0.02,642.00,32.69,100.00,true
740.00,SINGLE PROTEIN,P80303,, Nucleobindin-2 (NUCB2_HUMAN),11,NUCB2,17.62,false,8.00,17.00,0.01,1326.00,50.16,100.00,true
741.00,SINGLE PROTEIN,Q9Y5F7,, Protocadherin gamma-C4 (PCDGL_HUMAN),5,PCDHGC4,8.64,true,8.00,16.00,0.01,1149.00,101.15,100.00,true
742.00,SINGLE PROTEIN,O94772,, Lymphocyte antigen 6H (LY6H_HUMAN),8,LY6H,34.29,true,8.00,66.00,0.33,46.00,14.66,100.00,true
743.00,SINGLE PROTEIN,O95633,, Follistatin-related protein 3 (FSTL3_HUMAN),19,FSTL3,28.52,true,8.00,21.00,0.03,451.00,27.64,100.00,true
744.00,SINGLE PROTEIN,P30041,, Peroxiredoxin-6 (PRDX6_HUMAN),1,PRDX6,49.11,true,8.00,19.00,0.01,833.00,25.02,100.00,true
745.00,SINGLE PROTEIN,Q92485,, Acid sphingomyelinase-like phosphodiesterase 3b (ASM3B_HUMAN),1,SMPDL3B,31.87,false,8.00,25.00,0.02,661.00,50.78,100.00,true
746.00,SINGLE PROTEIN,Q8TAG5,, V-set and transmembrane domain-containing protein 2A (VTM2A_HUMAN),7,VSTM2A,23.73,true,8.00,38.00,0.06,262.00,25.82,100.00,true
747.00,RELATED PROTEINS,P69849,Q15155,Q5JPE7, Nodal modulator 3 (NOMO3_HUMAN),16,NOMO3,11.21,false,8.00,12.00,0.00,2113.00,134.05,100.00,true
748.00,SINGLE PROTEIN,P67936,, Tropomyosin alpha-4 chain (TPM4_HUMAN),19,TPM4,22.98,true,8.00,21.00,0.01,758.00,28.50,100.00,true
749.00,SINGLE PROTEIN,P14136,, Glial fibrillary acidic protein (GFAP_HUMAN),17,GFAP,20.37,false,8.00,17.00,0.00,1497.00,49.85,100.00,true
750.00,SINGLE PROTEIN,P14151,, L-selectin (LYAM1_HUMAN),1,SELL,17.20,false,8.00,34.00,0.04,333.00,42.16,100.00,true
751.00,SINGLE PROTEIN,P0C6S8,, Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3 (LIGO3_HUMAN),19,LINGO3,16.39,false,8.00,18.00,0.01,804.00,64.84,100.00,true
752.00,SINGLE PROTEIN,P35475,, Alpha-L-iduronidase (IDUA_HUMAN),4,IDUA,16.69,true,8.00,9.00,0.01,1145.00,72.62,100.00,true
753.00,SINGLE PROTEIN,Q96BZ4,, Phospholipase D4 (PLD4_HUMAN),14,PLD4,24.31,false,8.00,27.00,0.02,662.00,55.59,100.00,true
754.00,SINGLE PROTEIN,P02144,, Myoglobin (MYG_HUMAN),22,MB,50.00,true,8.00,35.00,0.09,146.00,17.17,100.00,true
755.00,SINGLE PROTEIN,P10599,, Thioredoxin (THIO_HUMAN),9,TXN,40.95,false,8.00,51.00,0.20,73.00,11.73,100.00,true
756.00,SINGLE PROTEIN,P46531,, Neurogenic locus notch homolog protein 1 (NOTC1_HUMAN),9,NOTCH1,4.77,true,8.00,15.00,0.00,2017.00,272.32,100.00,true
757.00,SINGLE PROTEIN,Q16674,, Melanoma-derived growth regulatory protein (MIA_HUMAN),19,MIA,55.73,false,8.00,18.00,0.05,301.00,14.50,100.00,true
758.00,SINGLE PROTEIN,P00338,, L-lactate dehydrogenase A chain (LDHA_HUMAN),11,LDHA,32.83,false,8.00,24.00,0.02,553.00,36.67,100.00,true
759.00,SINGLE PROTEIN,Q9NZU1,, Leucine-rich repeat transmembrane protein FLRT1 (FLRT1_HUMAN),11,FLRT1,19.97,false,8.00,15.00,0.00,1419.00,71.31,100.00,true
760.00,SINGLE PROTEIN,P55011,, Solute carrier family 12 member 2 (S12A2_HUMAN),5,SLC12A2,9.65,true,8.00,12.00,0.00,1602.00,131.36,100.00,true
761.00,SINGLE PROTEIN,Q9Y4D7,, Plexin-D1 (PLXD1_HUMAN),3,PLXND1,8.62,false,8.00,17.00,0.00,1982.00,211.87,100.00,true
762.00,SINGLE PROTEIN,Q13554,, Calcium/calmodulin-dependent protein kinase type II subunit beta (KCC2B_HUMAN),7,CAMK2B,14.11,true,8.00,29.00,0.02,656.00,72.63,100.00,true
763.00,SINGLE PROTEIN,O60242,, Adhesion G protein-coupled receptor B3 (AGRB3_HUMAN),6,BAI3,6.57,false,8.00,22.00,0.00,1535.00,171.41,100.00,true
764.00,SINGLE PROTEIN,Q06828,, Fibromodulin (FMOD_HUMAN),1,FMOD,29.79,false,8.00,34.00,0.02,509.00,43.15,100.00,true
765.00,SINGLE PROTEIN,Q6UXK2,, Immunoglobulin superfamily containing leucine-rich repeat protein 2 (ISLR2_HUMAN),15,ISLR2,18.93,false,8.00,16.00,0.00,1460.00,78.94,100.00,true
766.00,SINGLE PROTEIN,Q16620,, BDNF/NT-3 growth factors receptor (NTRK2_HUMAN),9,NTRK2,13.75,true,8.00,49.00,0.02,630.00,91.94,100.00,true
767.00,SINGLE PROTEIN,P21802,, Fibroblast growth factor receptor 2 (FGFR2_HUMAN),10,FGFR2,12.55,true,8.00,31.00,0.02,629.00,91.97,100.00,true
768.00,SINGLE PROTEIN,P04040,, Catalase (CATA_HUMAN),11,CAT,17.08,false,8.00,19.00,0.01,1230.00,59.72,100.00,true
769.00,SINGLE PROTEIN,P27169,, Serum paraoxonase/arylesterase 1 (PON1_HUMAN),7,PON1,34.93,false,8.00,34.00,0.05,312.00,39.71,100.00,true
770.00,SINGLE PROTEIN,O00241,, Signal-regulatory protein beta-1 (SIRB1_HUMAN),20,SIRPB1,28.89,false,8.00,20.00,0.01,995.00,43.18,100.00,true
771.00,SINGLE PROTEIN,P29323,, Ephrin type-B receptor 2 (EPHB2_HUMAN),1,EPHB2,12.04,false,8.00,19.00,0.00,1421.00,117.42,100.00,true
772.00,SINGLE PROTEIN,Q9NQ38,, Serine protease inhibitor Kazal-type 5 (ISK5_HUMAN),5,SPINK5,9.02,false,8.00,18.00,0.00,1962.00,120.64,100.00,true
773.00,SINGLE PROTEIN,P07900,, Heat shock protein HSP 90-alpha (HS90A_HUMAN),14,HSP90AA1,12.30,false,8.00,14.00,0.00,1840.00,84.61,100.00,true
774.00,SINGLE PROTEIN,Q96AQ6,, Pre-B-cell leukemia transcription factor-interacting protein 1 (PBIP1_HUMAN),1,PBXIP1,13.27,true,8.00,16.00,0.00,1741.00,80.59,100.00,true
775.00,SINGLE PROTEIN,Q9NPH3,, Interleukin-1 receptor accessory protein (IL1AP_HUMAN),3,IL1RAP,11.93,false,8.00,20.00,0.01,1273.00,65.38,100.00,true
776.00,SINGLE PROTEIN,Q9NYU2,, UDP-glucose:glycoprotein glucosyltransferase 1 (UGGG1_HUMAN),2,UGGT1,7.40,false,8.00,18.00,0.00,1554.00,177.08,100.00,true
777.00,SINGLE PROTEIN,Q5IJ48,, Protein crumbs homolog 2 (CRUM2_HUMAN),9,CRB2,8.40,false,8.00,12.00,0.00,1734.00,134.18,100.00,true
778.00,SINGLE PROTEIN,Q658N2,, WSC domain-containing protein 1 (WSCD1_HUMAN),17,WSCD1,16.35,false,8.00,17.00,0.01,1191.00,65.65,100.00,true
779.00,SINGLE PROTEIN,P40925,, Malate dehydrogenase, cytoplasmic (MDHC_HUMAN),2,MDH1,34.73,false,8.00,43.00,0.05,273.00,36.40,100.00,true
780.00,SINGLE PROTEIN,P25774,, Cathepsin S (CATS_HUMAN),1,CTSS,34.74,false,8.00,20.00,0.01,807.00,37.47,100.00,true
781.00,SINGLE PROTEIN,P00492,, Hypoxanthine-guanine phosphoribosyltransferase (HPRT_HUMAN),X,HPRT1,45.87,false,8.00,19.00,0.02,546.00,24.56,100.00,true
782.00,SINGLE PROTEIN,Q13421,, Mesothelin (MSLN_HUMAN),16,MSLN,15.87,false,8.00,17.00,0.01,1343.00,68.94,100.00,true
783.00,SINGLE PROTEIN,O15335,, Chondroadherin (CHAD_HUMAN),17,CHAD,38.16,false,8.00,16.00,0.01,843.00,40.45,100.00,true
784.00,SINGLE PROTEIN,Q9Y279,, V-set and immunoglobulin domain-containing protein 4 (VSIG4_HUMAN),X,VSIG4,26.82,true,7.00,26.00,0.04,374.00,43.96,100.00,true
785.00,SINGLE PROTEIN,P08519,, Apolipoprotein(a) (APOA_HUMAN),6,LPA,8.91,true,7.00,25.00,0.00,2230.00,501.00,100.00,true
786.00,SINGLE PROTEIN,P19652,, Alpha-1-acid glycoprotein 2 (A1AG2_HUMAN),9,ORM2,37.81,false,7.00,29.00,0.07,201.00,23.59,100.00,true
787.00,SINGLE PROTEIN,P15289,, Arylsulfatase A (ARSA_HUMAN),22,ARSA,19.33,false,7.00,21.00,0.03,446.00,53.55,100.00,true
788.00,SINGLE PROTEIN,Q99983,, Osteomodulin (OMD_HUMAN),9,OMD,24.47,true,7.00,50.00,0.04,380.00,49.46,100.00,true
789.00,SINGLE PROTEIN,Q86T13,, C-type lectin domain family 14 member A (CLC14_HUMAN),14,CLEC14A,18.16,false,7.00,15.00,0.01,1282.00,51.60,100.00,true
790.00,SINGLE PROTEIN,Q9BU40,, Chordin-like protein 1 (CRDL1_HUMAN),X,CHRDL1,20.22,false,7.00,36.00,0.03,429.00,51.13,100.00,true
791.00,SINGLE PROTEIN,Q8N428,, Polypeptide N-acetylgalactosaminyltransferase 16 (GLT16_HUMAN),14,GALNTL1,21.15,true,7.00,15.00,0.01,1303.00,63.03,100.00,true
792.00,SINGLE PROTEIN,Q9H4F8,, SPARC-related modular calcium-binding protein 1 (SMOC1_HUMAN),14,SMOC1,16.13,true,7.00,19.00,0.01,994.00,48.13,100.00,true
793.00,SINGLE PROTEIN,O75144,, ICOS ligand (ICOSL_HUMAN),21,ICOSLG,21.85,true,7.00,24.00,0.03,455.00,33.33,100.00,true
794.00,SINGLE PROTEIN,P09382,, Galectin-1 (LEG1_HUMAN),22,LGALS1,57.04,true,7.00,28.00,0.09,170.00,14.71,100.00,true
795.00,SINGLE PROTEIN,P55283,, Cadherin-4 (CADH4_HUMAN),20,CDH4,10.59,false,7.00,17.00,0.01,987.00,100.22,100.00,true
796.00,SINGLE PROTEIN,Q96AP7,, Endothelial cell-selective adhesion molecule (ESAM_HUMAN),11,ESAM,27.18,false,7.00,38.00,0.03,433.00,41.15,100.00,true
797.00,SINGLE PROTEIN,O43529,, Carbohydrate sulfotransferase 10 (CHSTA_HUMAN),2,CHST10,14.89,false,7.00,19.00,0.02,684.00,42.18,100.00,true
798.00,SINGLE PROTEIN,Q9H173,, Nucleotide exchange factor SIL1 (SIL1_HUMAN),5,SIL1,16.27,false,7.00,15.00,0.01,853.00,52.05,100.00,true
799.00,SINGLE PROTEIN,Q13308,, Inactive tyrosine-protein kinase 7 (PTK7_HUMAN),6,PTK7,9.25,false,7.00,16.00,0.01,1375.00,118.32,100.00,true
800.00,SINGLE PROTEIN,O75503,, Ceroid-lipofuscinosis neuronal protein 5 (CLN5_HUMAN),13,CLN5,20.67,false,7.00,21.00,0.01,997.00,41.47,100.00,true
801.00,SINGLE PROTEIN,P01834,, Ig kappa chain C region (IGKC_HUMAN),2,IGKC,83.02,true,7.00,214.00,1.72,6.00,11.60,100.00,true
802.00,SINGLE PROTEIN,P06280,, Alpha-galactosidase A (AGAL_HUMAN),X,GLA,19.58,false,7.00,16.00,0.01,939.00,48.73,100.00,true
803.00,SINGLE PROTEIN,O60477,, BMP/retinoic acid-inducible neural-specific protein 1 (BRNP1_HUMAN),9,DBC1,10.64,false,7.00,9.00,0.00,1705.00,88.70,100.00,true
804.00,SINGLE PROTEIN,Q2UY09,, Collagen alpha-1(XXVIII) chain (COSA1_HUMAN),7,COL28A1,7.91,false,7.00,16.00,0.00,1722.00,116.58,100.00,true
805.00,SINGLE PROTEIN,P27348,, 14-3-3 protein theta (1433T_HUMAN),2,YWHAQ,30.61,false,7.00,15.00,0.01,944.00,27.75,100.00,true
806.00,SINGLE PROTEIN,Q92832,, Protein kinase C-binding protein NELL1 (NELL1_HUMAN),11,NELL1,12.72,false,7.00,14.00,0.00,1636.00,89.57,100.00,true
807.00,SINGLE PROTEIN,Q10567,, AP-1 complex subunit beta-1 (AP1B1_HUMAN),22,AP1B1,6.11,false,7.00,19.00,0.00,1804.00,104.57,100.00,true
808.00,SINGLE PROTEIN,P16278,, Beta-galactosidase (BGAL_HUMAN),3,GLB1,14.33,false,7.00,13.00,0.00,1596.00,76.03,100.00,true
809.00,SINGLE PROTEIN,Q7Z408,, CUB and sushi domain-containing protein 2 (CSMD2_HUMAN),1,CSMD2,3.73,false,7.00,12.00,0.00,2088.00,379.80,100.00,true
810.00,SINGLE PROTEIN,Q7Z7M9,, Polypeptide N-acetylgalactosaminyltransferase 5 (GALT5_HUMAN),2,GALNT5,9.04,false,7.00,13.00,0.00,1410.00,106.20,100.00,true
811.00,SINGLE PROTEIN,Q02952,, A-kinase anchor protein 12 (AKA12_HUMAN),6,AKAP12,6.68,false,7.00,25.00,0.01,1342.00,191.37,100.00,true
812.00,SINGLE PROTEIN,Q16288,, NT-3 growth factor receptor (NTRK3_HUMAN),15,NTRK3,10.13,false,7.00,14.00,0.00,1382.00,94.37,100.00,true
813.00,SINGLE PROTEIN,Q9BY76,, Angiopoietin-related protein 4 (ANGL4_HUMAN),19,ANGPTL4,18.23,false,7.00,14.00,0.01,978.00,45.19,100.00,true
814.00,SINGLE PROTEIN,Q15435,, Protein phosphatase 1 regulatory subunit 7 (PP1R7_HUMAN),2,PPP1R7,23.61,false,7.00,9.00,0.00,1695.00,41.54,100.00,true
815.00,SINGLE PROTEIN,Q86X29,, Lipolysis-stimulated lipoprotein receptor (LSR_HUMAN),19,LSR,12.02,false,7.00,28.00,0.02,677.00,71.39,100.00,true
816.00,SINGLE PROTEIN,Q495W5,, Alpha-(1,3)-fucosyltransferase 11 (FUT11_HUMAN),10,FUT11,17.68,true,7.00,15.00,0.01,946.00,55.78,100.00,true
817.00,SINGLE PROTEIN,P62942,, Peptidyl-prolyl cis-trans isomerase FKBP1A (FKB1A_HUMAN),20,FKBP1A,41.67,true,7.00,28.00,0.16,90.00,11.94,100.00,true
818.00,SINGLE PROTEIN,Q15819,, Ubiquitin-conjugating enzyme E2 variant 2 (UB2V2_HUMAN),8,UBE2V2,29.66,false,7.00,24.00,0.05,310.00,16.35,100.00,true
819.00,SINGLE PROTEIN,Q13642,, Four and a half LIM domains protein 1 (FHL1_HUMAN),X,FHL1,27.86,false,7.00,17.00,0.01,1102.00,36.24,100.00,true
820.00,SINGLE PROTEIN,Q9NSC7,, Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1 (SIA7A_HUMAN),17,ST6GALNAC1,16.50,true,7.00,28.00,0.01,942.00,68.52,100.00,true
821.00,RELATED PROTEINS,Q13748,Q6PEY2,Q71U36, Tubulin alpha-3C/D chain (TBA3C_HUMAN),13,TUBA3C,19.78,true,7.00,44.00,0.02,596.00,49.93,100.00,true
822.00,SINGLE PROTEIN,P08581,, Hepatocyte growth factor receptor (MET_HUMAN),7,MET,7.63,false,7.00,13.00,0.00,1967.00,155.44,100.00,true
823.00,SINGLE PROTEIN,Q92729,, Receptor-type tyrosine-protein phosphatase U (PTPRU_HUMAN),1,PTPRU,6.22,false,7.00,11.00,0.00,1659.00,162.32,100.00,true
824.00,SINGLE PROTEIN,P99999,, Cytochrome c (CYC_HUMAN),7,CYCS,43.81,false,7.00,21.00,0.08,173.00,11.74,100.00,true
825.00,SINGLE PROTEIN,Q5KU26,, Collectin-12 (COL12_HUMAN),18,COLEC12,9.70,false,7.00,26.00,0.02,732.00,81.46,100.00,true
826.00,SINGLE PROTEIN,P09622,, Dihydrolipoyl dehydrogenase, mitochondrial (DLDH_HUMAN),7,DLD,16.70,true,7.00,31.00,0.02,690.00,54.14,100.00,true
827.00,SINGLE PROTEIN,Q8NBS9,, Thioredoxin domain-containing protein 5 (TXND5_HUMAN),6,TXNDC5,17.59,false,7.00,9.00,0.01,1136.00,47.60,100.00,true
828.00,SINGLE PROTEIN,O95390,, Growth/differentiation factor 11 (GDF11_HUMAN),12,GDF11,12.04,false,7.00,12.00,0.01,1337.00,45.06,100.00,true
829.00,SINGLE PROTEIN,O43291,, Kunitz-type protease inhibitor 2 (SPIT2_HUMAN),19,SPINT2,34.52,true,7.00,24.00,0.03,435.00,28.21,100.00,true
830.00,SINGLE PROTEIN,P14550,, Alcohol dehydrogenase [NADP(+)] (AK1A1_HUMAN),1,AKR1A1,29.54,true,7.00,12.00,0.01,831.00,36.55,100.00,true
831.00,SINGLE PROTEIN,Q15293,, Reticulocalbin-1 (RCN1_HUMAN),11,RCN1,31.72,false,7.00,19.00,0.01,1206.00,38.87,100.00,true
832.00,SINGLE PROTEIN,P55083,, Microfibril-associated glycoprotein 4 (MFAP4_HUMAN),17,MFAP4,31.37,true,7.00,35.00,0.10,130.00,28.63,100.00,true
833.00,SINGLE PROTEIN,Q7Z6L0,, Proline-rich transmembrane protein 2 (PRRT2_HUMAN),16,PRRT2,22.65,true,7.00,17.00,0.02,692.00,34.92,100.00,true
834.00,SINGLE PROTEIN,P24387,, Corticotropin-releasing factor-binding protein (CRHBP_HUMAN),5,CRHBP,33.23,false,7.00,14.00,0.01,861.00,36.12,100.00,true
835.00,SINGLE PROTEIN,P13639,, Elongation factor 2 (EF2_HUMAN),19,EEF2,11.19,true,7.00,10.00,0.00,1844.00,95.28,100.00,true
836.00,SINGLE PROTEIN,Q16658,, Fascin (FSCN1_HUMAN),7,FSCN1,20.89,false,7.00,16.00,0.01,1304.00,54.50,100.00,true
837.00,SINGLE PROTEIN,P68366,, Tubulin alpha-4A chain (TBA4A_HUMAN),2,TUBA4A,18.53,true,7.00,35.00,0.01,993.00,49.89,100.00,true
838.00,SINGLE PROTEIN,Q7Z7H5,, Transmembrane emp24 domain-containing protein 4 (TMED4_HUMAN),7,TMED4,25.11,false,7.00,14.00,0.01,925.00,25.93,100.00,true
839.00,SINGLE PROTEIN,P0DJI8,, Serum amyloid A-1 protein (SAA1_HUMAN),11,SAA1,54.92,true,7.00,39.00,0.17,89.00,13.52,100.00,true
840.00,SINGLE PROTEIN,P13647,, Keratin, type II cytoskeletal 5 (K2C5_HUMAN),12,KRT5,13.73,true,7.00,17.00,0.01,1254.00,62.34,100.00,true
841.00,SINGLE PROTEIN,Q6UXH9,, Inactive serine protease PAMR1 (PAMR1_HUMAN),11,PAMR1,12.08,false,7.00,14.00,0.00,1568.00,80.15,100.00,true
842.00,SINGLE PROTEIN,P98153,, Integral membrane protein DGCR2/IDD (IDD_HUMAN),22,DGCR2,15.09,false,7.00,14.00,0.01,783.00,60.77,100.00,true
843.00,SINGLE PROTEIN,Q9UF33,, Ephrin type-A receptor 6 (EPHA6_HUMAN),3,EPHA6,7.25,false,7.00,9.00,0.00,1931.00,116.04,100.00,true
844.00,SINGLE PROTEIN,P98172,, Ephrin-B1 (EFNB1_HUMAN),X,EFNB1,20.23,false,7.00,15.00,0.02,641.00,37.98,100.00,true
845.00,RELATED PROTEINS,P02538,P04259,P48668, Keratin, type II cytoskeletal 6A (K2C6A_HUMAN),12,KRT6A,12.59,false,7.00,13.00,0.00,2094.00,60.01,100.00,true
846.00,SINGLE PROTEIN,O60241,, Adhesion G protein-coupled receptor B2 (AGRB2_HUMAN),1,BAI2,5.43,false,7.00,26.00,0.00,1917.00,172.54,100.00,true
847.00,SINGLE PROTEIN,P21810,, Biglycan (PGS1_HUMAN),X,BGN,24.18,false,7.00,18.00,0.02,704.00,41.63,100.00,true
848.00,SINGLE PROTEIN,Q8N573,, Oxidation resistance protein 1 (OXR1_HUMAN),8,OXR1,11.10,false,7.00,11.00,0.00,1665.00,97.91,100.00,true
849.00,SINGLE PROTEIN,P15169,, Carboxypeptidase N catalytic chain (CBPN_HUMAN),10,CPN1,22.71,false,7.00,22.00,0.02,606.00,52.25,100.00,true
850.00,SINGLE PROTEIN,A6NGN9,, IgLON family member 5 (IGLO5_HUMAN),19,IGLON5,28.27,false,7.00,32.00,0.07,225.00,36.77,100.00,true
851.00,SINGLE PROTEIN,P14207,, Folate receptor beta (FOLR2_HUMAN),11,FOLR2,31.76,false,7.00,24.00,0.04,351.00,29.26,100.00,true
852.00,SINGLE PROTEIN,Q9ULP0,, Protein NDRG4 (NDRG4_HUMAN),16,NDRG4,25.85,false,7.00,19.00,0.02,524.00,38.43,100.00,true
853.00,SINGLE PROTEIN,P01344,, Insulin-like growth factor II (IGF2_HUMAN),11,IGF2,31.67,true,7.00,39.00,0.15,96.00,20.13,100.00,true
854.00,SINGLE PROTEIN,Q9Y334,, von Willebrand factor A domain-containing protein 7 (VWA7_HUMAN),6,VWA7,12.68,false,7.00,12.00,0.00,1616.00,96.00,100.00,true
855.00,SINGLE PROTEIN,Q9UPZ6,, Thrombospondin type-1 domain-containing protein 7A (THS7A_HUMAN),7,THSD7A,5.49,false,7.00,14.00,0.00,2104.00,185.24,100.00,true
856.00,SINGLE PROTEIN,P58215,, Lysyl oxidase homolog 3 (LOXL3_HUMAN),2,LOXL3,15.80,false,7.00,13.00,0.00,1509.00,83.11,100.00,true
857.00,SINGLE PROTEIN,Q9NPG4,, Protocadherin-12 (PCD12_HUMAN),5,PCDH12,10.05,false,7.00,14.00,0.00,1862.00,128.91,100.00,true
858.00,SINGLE PROTEIN,Q86UN2,, Reticulon-4 receptor-like 1 (R4RL1_HUMAN),17,RTN4RL1,17.46,false,7.00,26.00,0.05,309.00,49.03,100.00,true
859.00,SINGLE PROTEIN,P23528,, Cofilin-1 (COF1_HUMAN),11,CFL1,56.02,true,7.00,22.00,0.04,381.00,18.49,100.00,true
860.00,SINGLE PROTEIN,Q15256,, Receptor-type tyrosine-protein phosphatase R (PTPRR_HUMAN),12,PTPRR,10.50,false,7.00,24.00,0.01,1013.00,73.79,100.00,true
861.00,SINGLE PROTEIN,P19438,, Tumor necrosis factor receptor superfamily member 1A (TNR1A_HUMAN),12,TNFRSF1A,13.63,false,7.00,23.00,0.02,652.00,50.46,100.00,true
862.00,SINGLE PROTEIN,Q86UD1,, Out at first protein homolog (OAF_HUMAN),11,OAF,28.94,false,7.00,26.00,0.03,421.00,30.67,100.00,true
