Uniprot ID	S-score	Known shedding proteins	Protein names
Q9BWS9	0.9973	Yes	Chitinase domain-containing protein 1
Q9BXJ4	0.9987	Yes	Complement C1q tumor necrosis factor-related protein 3
Q9BXR6	0.9987	Yes	Complement factor H-related protein 5
Q9BY12	0.8260	Yes	S phase cyclin A-associated protein in the endoplasmic reticulum
Q9BYQ5	0.8032	Yes	Keratin-associated protein 4-6
Q9GZM7	0.9984	Yes	Tubulointerstitial nephritis antigen-like
Q9GZZ8	0.9975	Yes	Extracellular glycoprotein lacritin
Q9H173	0.9611	Yes	Nucleotide exchange factor SIL1
Q9H336	0.9718	Yes	Cysteine-rich secretory protein LCCL domain-containing 1
Q9H4A4	0.8875	Yes	Aminopeptidase B
Q9H4G4	0.9729	Yes	Golgi-associated plant pathogenesis-related protein 1
Q9HAB8	0.4989	Yes	Phosphopantothenate--cysteine ligase
Q9HAT2	0.9992	Yes	Sialate O-acetylesterase
Q9HAV0	0.9775	Yes	Guanine nucleotide-binding protein subunit beta-4
Q9HB40	0.9809	Yes	Retinoid-inducible serine carboxypeptidase
Q9HC84	0.9748	Yes	Mucin-5B
Q9HD20	0.5573	Yes	Manganese-transporting ATPase 13A1
Q9HD89	0.9768	Yes	Resistin
Q9HDC9	0.8127	Yes	Adipocyte plasma membrane-associated protein
Q9NP55	0.9980	Yes	BPI fold-containing family A member 1
Q9NQ38	0.9994	Yes	Serine protease inhibitor Kazal-type 5
Q9NQC3	0.8497	Yes	Reticulon-4
Q9NRA1	0.9871	Yes	Platelet-derived growth factor C
Q9NRJ3	0.9860	Yes	C-C motif chemokine 28
Q9NS69	0.9181	Yes	Mitochondrial import receptor subunit TOM22 homolog
Q9NS98	0.9842	Yes	Semaphorin-3G
Q9NTK5	0.9421	Yes	Obg-like ATPase 1
Q9NYQ8	0.9972	Yes	Protocadherin Fat 2
Q9NZ08	0.9022	Yes	Endoplasmic reticulum aminopeptidase 1
Q9NZH8	0.9748	Yes	Interleukin-36 gamma
Q9NZT1	0.9322	Yes	Calmodulin-like protein 5
Q9P0L0	0.0211	Yes	Vesicle-associated membrane protein-associated protein A
Q9P0S2	0.8654	Yes	Cytochrome c oxidase assembly protein COX16 homolog, mitochondrial
Q9UBH0	0.9805	Yes	Interleukin-36 receptor antagonist protein
Q9UBR2	0.6155	Yes	Cathepsin Z
Q9UBS3	0.9962	Yes	DnaJ homolog subfamily B member 9
Q9UBW7	0.8283	Yes	Zinc finger MYM-type protein 2
Q9UBX7	0.9970	Yes	Kallikrein-11
Q9UGM3	0.9862	Yes	Deleted in malignant brain tumors 1 protein
Q9UHA7	0.9824	Yes	Interleukin-36 alpha
Q9UHG3	0.9528	Yes	Prenylcysteine oxidase 1
Q9UHL4	0.9835	Yes	Dipeptidyl peptidase 2
Q9UI42	0.9944	Yes	Carboxypeptidase A4
Q9UJJ9	0.9874	Yes	N-acetylglucosamine-1-phosphotransferase subunit gamma
Q9UJM3	0.5056	Yes	ERBB receptor feedback inhibitor 1
Q9UJU6	0.9705	Yes	Drebrin-like protein
Q9UKM7	0.9345	Yes	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase
Q9UKR0	0.9986	Yes	Kallikrein-12
Q9UKR3	0.9992	Yes	Kallikrein-13
Q9UKS6	0.4733	Yes	Protein kinase C and casein kinase substrate in neurons protein 3
Q9UKV0	0.4639	Yes	Histone deacetylase 9
Q9UL52	0.9164	Yes	Transmembrane protease serine 11E
Q9UN36	0.1112	Yes	Protein NDRG2
Q9Y2A9	0.8303	Yes	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 3
Q9Y2B0	0.9943	Yes	Protein canopy homolog 2
Q9Y337	0.9932	Yes	Kallikrein-5
Q9Y4G6	0.9571	Yes	Talin-2
Q9Y4L1	0.9850	Yes	Hypoxia up-regulated protein 1
Q9Y646	0.9925	Yes	Carboxypeptidase Q
Q9Y653	0.5673	Yes	Adhesion G-protein coupled receptor G1
Q9Y678	0.7286	Yes	Coatomer subunit gamma-1
Q9Y6R7	0.9963	Yes	IgGFc-binding protein
