Entry	Topological domain	Transmembrane
Q7Z569		
P30411	TOPO_DOM 1..60;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 85..93;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 119..131;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 154..175;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 199..221;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 249..267;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 293..311;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 336..391;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 61..84;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 94..118;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 132..153;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 176..198;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 222..248;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 268..292;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 312..335;  /note="Helical; Name=7";  /evidence="ECO:0000255"
P59051		
P48751	TOPO_DOM 1..708;  /note="Cytoplasmic"; TOPO_DOM 911..925;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 709..731;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 737..774;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 794..816;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 826..847;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 893..910;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 926..946;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 980..1002;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1028..1049;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1083..1128;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1155..1191;  /note="Helical";  /evidence="ECO:0000255"
O14867		
Q9BYV9		
Q6PJG6		
P41223		
Q6ZUV0		
Q96Q91	TOPO_DOM 1..414;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 551..623;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 686..711;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 415..435;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 443..463;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 465..485;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 500..520;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 530..550;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 624..644;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 665..685;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 712..732;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 758..778;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 815..835;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 837..857;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 899..919;  /note="Helical";  /evidence="ECO:0000255"
P31946		
O94766	TOPO_DOM 1..7;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 29..335;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 8..28;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q00005		
Q9Y2T4		
P27348		
Q8N5Z0		
P28222	TOPO_DOM 1..49;  /note="Extracellular"; TOPO_DOM 76..84;  /note="Cytoplasmic"; TOPO_DOM 111..123;  /note="Extracellular"; TOPO_DOM 146..165;  /note="Cytoplasmic"; TOPO_DOM 188..205;  /note="Extracellular"; TOPO_DOM 229..315;  /note="Cytoplasmic"; TOPO_DOM 337..349;  /note="Extracellular"; TOPO_DOM 372..390;  /note="Cytoplasmic"	TRANSMEM 50..75;  /note="Helical; Name=1"; TRANSMEM 85..110;  /note="Helical; Name=2"; TRANSMEM 124..145;  /note="Helical; Name=3"; TRANSMEM 166..187;  /note="Helical; Name=4"; TRANSMEM 206..228;  /note="Helical; Name=5"; TRANSMEM 316..336;  /note="Helical; Name=6"; TRANSMEM 350..371;  /note="Helical; Name=7"
Q9BSF8		
Q4LEZ3		
P55198		
P41595	TOPO_DOM 1..56;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 80..90;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 114..129;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 152..171;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 193..216;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 240..324;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 346..360;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TOPO_DOM 383..481;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"	TRANSMEM 57..79;  /note="Helical; Name=1";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 91..113;  /note="Helical; Name=2";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 130..151;  /note="Helical; Name=3";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 172..192;  /note="Helical; Name=4";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 217..239;  /note="Helical; Name=5";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 325..345;  /note="Helical; Name=6";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"; TRANSMEM 361..382;  /note="Helical; Name=7";  /evidence="ECO:0000269|PubMed:23519215, ECO:0000269|PubMed:24357322, ECO:0000269|PubMed:28129538"
O95696		
P50406	TOPO_DOM 1..34;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 58..64;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 86..100;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 123..144;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 167..184;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 209..265;  /note="Cytoplasmic";  /evidence="ECO:0000250"; TOPO_DOM 291..295;  /note="Extracellular";  /evidence="ECO:0000250"; TOPO_DOM 321..440;  /note="Cytoplasmic";  /evidence="ECO:0000250"	TRANSMEM 35..57;  /note="Helical; Name=1";  /evidence="ECO:0000250"; TRANSMEM 65..85;  /note="Helical; Name=2";  /evidence="ECO:0000250"; TRANSMEM 101..122;  /note="Helical; Name=3";  /evidence="ECO:0000250"; TRANSMEM 145..166;  /note="Helical; Name=4";  /evidence="ECO:0000250"; TRANSMEM 185..208;  /note="Helical; Name=5";  /evidence="ECO:0000250"; TRANSMEM 266..290;  /note="Helical; Name=6";  /evidence="ECO:0000250"; TRANSMEM 296..320;  /note="Helical; Name=7";  /evidence="ECO:0000250"
Q9P281		
P26439		TRANSMEM 287..307;  /note="Helical";  /evidence="ECO:0000255"
P20290		
Q96L58	TOPO_DOM 1..11;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 35..329;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 12..34;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q15059		
P15291	TOPO_DOM 1..24;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 45..398;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 25..44;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
O75150		
Q6UXE8	TOPO_DOM 18..237;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 259..466;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 238..258;  /note="Helical";  /evidence="ECO:0000255"
Q6UXG8	TOPO_DOM 35..256;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 278..535;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 257..277;  /note="Helical";  /evidence="ECO:0000255"
Q96RK4		
O60909	TOPO_DOM 1..15;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 37..372;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 16..36;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
A8MVZ5	TOPO_DOM 27..254;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 276..291;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 255..275;  /note="Helical";  /evidence="ECO:0000255"
Q8N3I7		
O60512	TOPO_DOM 1..10;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 32..393;  /note="Lumenal";  /evidence="ECO:0000255"	TRANSMEM 11..31;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
A6H8Y1		
Q8IWZ6		
Q9NRG9		
Q15758	TOPO_DOM 1..51;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 82..94;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 117..130;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 154..224;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 249..257;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 286..306;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 329..333;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 365..373;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 401..413;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 448..460;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 483..541;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 52..81;  /note="Helical; Name=1";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 95..116;  /note="Helical; Name=2";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 131..153;  /note="Helical; Name=3";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 225..248;  /note="Helical; Name=4";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 258..285;  /note="Helical; Name=5";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 307..328;  /note="Helical; Name=6";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 374..400;  /note="Helical; Name=7";  /evidence="ECO:0000305|PubMed:29872227"; TRANSMEM 461..482;  /note="Helical; Name=8";  /evidence="ECO:0000305|PubMed:29872227"
Q92667		
Q9Y2D5		
Q9NUB1		
Q14032		
P12236	TOPO_DOM 1..7;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305"; TOPO_DOM 38..74;  /note="Mitochondrial matrix";  /evidence="ECO:0000305"; TOPO_DOM 100..109;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305"; TOPO_DOM 131..178;  /note="Mitochondrial matrix";  /evidence="ECO:0000305"; TOPO_DOM 200..210;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305"; TOPO_DOM 232..273;  /note="Mitochondrial matrix";  /evidence="ECO:0000305"; TOPO_DOM 292..298;  /note="Mitochondrial intermembrane";  /evidence="ECO:0000305"	TRANSMEM 8..37;  /note="Helical; Name=1";  /evidence="ECO:0000250|UniProtKB:P02722"; TRANSMEM 75..99;  /note="Helical; Name=2";  /evidence="ECO:0000250|UniProtKB:P02722"; TRANSMEM 110..130;  /note="Helical; Name=3";  /evidence="ECO:0000250|UniProtKB:P02722"; TRANSMEM 179..199;  /note="Helical; Name=4";  /evidence="ECO:0000250|UniProtKB:P02722"; TRANSMEM 211..231;  /note="Helical; Name=5";  /evidence="ECO:0000250|UniProtKB:P02722"; TRANSMEM 274..291;  /note="Helical; Name=6";  /evidence="ECO:0000250|UniProtKB:P02722"
Q86TW2		
Q99996		
P59826		
Q5T2L2		
Q8IZF5	TOPO_DOM 26..775;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 797..811;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 833..851;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 875..881;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 903..928;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 950..973;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 995..1002;  /note="Extracellular";  /evidence="ECO:0000305"; TOPO_DOM 1024..1079;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 776..796;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 812..832;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 852..874;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 882..902;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 929..949;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 974..994;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 1003..1023;  /note="Helical; Name=7";  /evidence="ECO:0000255"
O95394		
P12645		
Q96B36		
Q8N7J2		
Q7Z695		TRANSMEM 103..123;  /note="Helical";  /evidence="ECO:0000255"
Q9H2A2		
Q6P093		
P49189		
Q8NEM8		
Q6ZN18		
Q9BQE5		
Q8NCV1		
Q9BWT7		
Q6NVV9		
Q6DHV7		
Q8IWD4		
Q6ZTR7		
Q96KC9		
Q86WK6	TOPO_DOM 28..372;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 394..493;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 373..393;  /note="Helical";  /evidence="ECO:0000255"
P00813		
P07311		
Q9Y2D0		
Q7Z3E2		
Q9BRR6		
Q9NRN7		
Q96LX7		
Q4VCS5		
Q9H0P7		
Q53H12		
P07550	TOPO_DOM 1..34;  /note="Extracellular"; TOPO_DOM 59..71;  /note="Cytoplasmic"; TOPO_DOM 96..106;  /note="Extracellular"; TOPO_DOM 130..150;  /note="Cytoplasmic"; TOPO_DOM 175..196;  /note="Extracellular"; TOPO_DOM 221..274;  /note="Cytoplasmic"; TOPO_DOM 299..305;  /note="Extracellular"; TOPO_DOM 330..413;  /note="Cytoplasmic"	TRANSMEM 35..58;  /note="Helical; Name=1"; TRANSMEM 72..95;  /note="Helical; Name=2"; TRANSMEM 107..129;  /note="Helical; Name=3"; TRANSMEM 151..174;  /note="Helical; Name=4"; TRANSMEM 197..220;  /note="Helical; Name=5"; TRANSMEM 275..298;  /note="Helical; Name=6"; TRANSMEM 306..329;  /note="Helical; Name=7"
Q92888		
Q5SNV9		
O15013		
Q6ZSZ5		
Q9HCE6		
Q9NYG5		
P60006		
P35626		
Q03989		
O95445		
Q86XL3	TOPO_DOM 1..12;  /note="Lumenal";  /evidence="ECO:0000255"; TOPO_DOM 33..938;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 13..32;  /note="Helical; Signal-anchor for type III membrane protein";  /evidence="ECO:0000255"
Q9BUK0		
P55345		
P41181	TOPO_DOM 1..11;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 33..40;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 60..64;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 75..85;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 108..127;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 149..156;  /note="Cytoplasmic";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 177..180;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 194..201;  /note="Extracellular";  /evidence="ECO:0000269|PubMed:24733887"; TOPO_DOM 223..271;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 12..32;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"; TRANSMEM 41..59;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"; TRANSMEM 86..107;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"; TRANSMEM 128..148;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"; TRANSMEM 157..176;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"; TRANSMEM 202..222;  /note="Helical";  /evidence="ECO:0000269|PubMed:24733887"
O43488		
Q5FYA8		TRANSMEM 167..187;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 189..209;  /note="Helical";  /evidence="ECO:0000255"
P51689		
Q96FF9		
Q9NR48		
Q12834		
O00585		
O00626		
O95319		
P55773		
P47902		
O00175		
Q8IZL9		
Q99626		
O15444		
O14627		
Q5SZQ8		
Q9Y6F8		
Q9Y4X3		
Q9Y6F7		
Q9UJX2		
P06276		
O75143		
Q9NRJ3		
Q8IYS0		TRANSMEM 557..577;  /note="Helical";  /evidence="ECO:0000255"
P25063		
A8MTB9		
Q8NDM7		
Q96N23		
Q8TDY4		
Q8NHU2		
A8MTT3		TRANSMEM 15..32;  /note="Helical";  /evidence="ECO:0000255"
P04234	TOPO_DOM 22..105;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 127..171;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 106..126;  /note="Helical";  /evidence="ECO:0000255"
Q9Y696		TRANSMEM 37..57;  /note="Helical; Note=After insertion into the membrane";  /evidence="ECO:0000255"
Q9BZE9		
Q4VNC0		TRANSMEM 33..53;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 222..242;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 401..421;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 433..453;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 903..923;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 940..956;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 973..993;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1042..1062;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1077..1097;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1115..1135;  /note="Helical";  /evidence="ECO:0000255"
P05026	TOPO_DOM 1..34;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 63..303;  /note="Extracellular";  /evidence="ECO:0000255"	TRANSMEM 35..62;  /note="Helical; Signal-anchor for type II membrane protein";  /evidence="ECO:0000255"
Q8WYN0		
Q9UQB9		
O75366		
A0A1B0GUV1		
Q9Y6R9		
Q8N8Q1	TOPO_DOM 1..24;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 46..53;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 75..91;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 113..128;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 150..169;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 191..193;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 215..229;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 25..45;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 54..74;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 92..112;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 129..149;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 170..190;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 194..214;  /note="Helical";  /evidence="ECO:0000255"
Q8N1A6		
P46092	TOPO_DOM 1..52;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 69..78;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 100..114;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 137..159;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 180..203;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 226..247;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 270..290;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 314..362;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 53..68;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 79..99;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 115..136;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 160..179;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 204..225;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 248..269;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 291..313;  /note="Helical; Name=7";  /evidence="ECO:0000255"
Q9HCK8		
Q8N2Z9		
P38936		
O00421	TOPO_DOM 1..43;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 65..74;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 96..104;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 126..144;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 166..198;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 220..238;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 260..286;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 308..344;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 44..64;  /note="Helical; Name=1";  /evidence="ECO:0000255"; TRANSMEM 75..95;  /note="Helical; Name=2";  /evidence="ECO:0000255"; TRANSMEM 105..125;  /note="Helical; Name=3";  /evidence="ECO:0000255"; TRANSMEM 145..165;  /note="Helical; Name=4";  /evidence="ECO:0000255"; TRANSMEM 199..219;  /note="Helical; Name=5";  /evidence="ECO:0000255"; TRANSMEM 239..259;  /note="Helical; Name=6";  /evidence="ECO:0000255"; TRANSMEM 287..307;  /note="Helical; Name=7";  /evidence="ECO:0000255"
O60583		
Q86X02		
Q9HA82	TOPO_DOM 1..31;  /note="Lumenal";  /evidence="ECO:0000305|PubMed:29632068"; TOPO_DOM 325..394;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:26887952"	TRANSMEM 32..52;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 140..160;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 179..199;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 209..229;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 260..280;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 304..324;  /note="Helical";  /evidence="ECO:0000255"
O75953		
Q9BY43		
P05156		
Q9P2K9	TOPO_DOM 1..73;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 95..462;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 484;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 506..508;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 530..573;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 595;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 617..729;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 751..1182;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 1204;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 1226..1291;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 1313..1320;  /note="Cytoplasmic";  /evidence="ECO:0000305"; TOPO_DOM 1342..1358;  /note="Lumenal";  /evidence="ECO:0000305"; TOPO_DOM 1380..1392;  /note="Cytoplasmic";  /evidence="ECO:0000305"	TRANSMEM 74..94;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 463..483;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 485..505;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 509..529;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 574..594;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 596..616;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 730..750;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1183..1203;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1205..1225;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1292..1312;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1321..1341;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 1359..1379;  /note="Helical";  /evidence="ECO:0000255"
P09564	TOPO_DOM 26..180;  /note="Extracellular";  /evidence="ECO:0000305|PubMed:2479685"; TOPO_DOM 202..240;  /note="Cytoplasmic";  /evidence="ECO:0000305|PubMed:2479685"	TRANSMEM 181..201;  /note="Helical";  /evidence="ECO:0000305"
Q9Y3E7		
Q96GE9		TRANSMEM 52..69;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 82..104;  /note="Helical";  /evidence="ECO:0000255"
Q96JP9	TOPO_DOM 20..700;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 722..859;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 701..721;  /note="Helical";  /evidence="ECO:0000255"
Q9NYV4		
Q99459		
Q9H305		
A8MXV6		TRANSMEM 207..227;  /note="Helical";  /evidence="ECO:0000255"
Q5SQH8		
O94986		
Q9GZU0		
Q5TEZ4		
Q5T6M2		
Q6ZU80		
P09693	TOPO_DOM 23..116;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 138..182;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 117..137;  /note="Helical";  /evidence="ECO:0000255"
O43822		
P11597		
P19397	TOPO_DOM 1..11;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 33..54;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 70..80;  /note="Cytoplasmic";  /evidence="ECO:0000255"; TOPO_DOM 107..181;  /note="Extracellular";  /evidence="ECO:0000255"; TOPO_DOM 207..219;  /note="Cytoplasmic";  /evidence="ECO:0000255"	TRANSMEM 12..32;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 55..69;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 81..106;  /note="Helical";  /evidence="ECO:0000255"; TRANSMEM 182..206;  /note="Helical";  /evidence="ECO:0000255"
