ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|O43143|DHX15_HUMAN ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	Nucleus	0.0815	0.9194	0.0798	0.0	0.0	0.0004	0.0001	0.0	0.0002	0.0	0.0001
sp|P21127|CD11B_HUMAN Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4	Nucleus	0.0371	0.9132	0.0859	0.0	0.0	0.0005	0.0001	0.0	0.0001	0.0001	0.0
sp|P42229|STA5A_HUMAN Signal transducer and activator of transcription 5A OS=Homo sapiens OX=9606 GN=STAT5A PE=1 SV=1	Cytoplasm	0.0498	0.1243	0.7128	0.0032	0.0127	0.0238	0.01	0.0041	0.0207	0.0717	0.0168
sp|P55289|CAD12_HUMAN Cadherin-12 OS=Homo sapiens OX=9606 GN=CDH12 PE=2 SV=2	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9998	0.0001	0.0	0.0	0.0	0.0
sp|Q9Y5E3|PCDB6_HUMAN Protocadherin beta-6 OS=Homo sapiens OX=9606 GN=PCDHB6 PE=2 SV=1	Cell_membrane	0.9965	0.0	0.0	0.0	0.0004	0.9615	0.0308	0.0	0.0027	0.0044	0.0
sp|O94874|UFL1_HUMAN E3 UFM1-protein ligase 1 OS=Homo sapiens OX=9606 GN=UFL1 PE=1 SV=2	Nucleus	0.0613	0.8231	0.1732	0.0	0.0002	0.0009	0.0009	0.0001	0.0013	0.0002	0.0001
sp|P09958|FURIN_HUMAN Furin OS=Homo sapiens OX=9606 GN=FURIN PE=1 SV=2	Cell_membrane	0.9996	0.0001	0.0	0.0001	0.0008	0.9976	0.0009	0.0	0.0003	0.0	0.0
sp|Q9UBV2|SE1L1_HUMAN Protein sel-1 homolog 1 OS=Homo sapiens OX=9606 GN=SEL1L PE=1 SV=3	Endoplasmic_reticulum	0.8747	0.0003	0.0	0.0194	0.0006	0.0595	0.8473	0.0	0.047	0.0258	0.0
sp|Q96CN4|EVI5L_HUMAN EVI5-like protein OS=Homo sapiens OX=9606 GN=EVI5L PE=1 SV=1	Cytoplasm	0.1035	0.1742	0.6707	0.0	0.0043	0.0119	0.0092	0.0053	0.1021	0.022	0.0003
sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1	Nucleus	0.0477	0.5908	0.3961	0.0002	0.0009	0.0077	0.0003	0.001	0.002	0.0007	0.0003
tr|H7BYP9|H7BYP9_HUMAN Guanine nucleotide exchange factor DBS (Fragment) OS=Homo sapiens OX=9606 GN=MCF2L PE=1 SV=1	Cytoplasm	0.018	0.2824	0.6986	0.0002	0.0003	0.0135	0.0004	0.0004	0.0017	0.0015	0.001
sp|O14782|KIF3C_HUMAN Kinesin-like protein KIF3C OS=Homo sapiens OX=9606 GN=KIF3C PE=1 SV=4	Cytoplasm	0.0385	0.1706	0.7989	0.0002	0.0005	0.0202	0.0006	0.0006	0.0035	0.0013	0.0036
sp|Q8IXB1|DJC10_HUMAN DnaJ homolog subfamily C member 10 OS=Homo sapiens OX=9606 GN=DNAJC10 PE=1 SV=2	Endoplasmic_reticulum	0.3641	0.0046	0.0072	0.0265	0.0055	0.0131	0.747	0.0002	0.0857	0.1096	0.0005
sp|Q05682|CALD1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3	Cytoplasm	0.1846	0.3975	0.4625	0.0007	0.0002	0.0815	0.0015	0.0007	0.0545	0.0009	0.0001
sp|Q6NUQ1|RINT1_HUMAN RAD50-interacting protein 1 OS=Homo sapiens OX=9606 GN=RINT1 PE=1 SV=1	Cytoplasm	0.1227	0.2815	0.5728	0.0007	0.0084	0.0271	0.0092	0.0042	0.041	0.0493	0.0057
sp|Q92845|KIFA3_HUMAN Kinesin-associated protein 3 OS=Homo sapiens OX=9606 GN=KIFAP3 PE=1 SV=2	Cytoplasm	0.0509	0.2927	0.5729	0.0014	0.0035	0.0253	0.0135	0.0053	0.0114	0.0364	0.0375
sp|P23921|RIR1_HUMAN Ribonucleoside-diphosphate reductase large subunit OS=Homo sapiens OX=9606 GN=RRM1 PE=1 SV=1	Cytoplasm	0.0563	0.1274	0.6983	0.0029	0.041	0.0213	0.0202	0.0014	0.0096	0.0173	0.0606
sp|P49619|DGKG_HUMAN Diacylglycerol kinase gamma OS=Homo sapiens OX=9606 GN=DGKG PE=1 SV=3	Nucleus	0.0199	0.6102	0.3781	0.0004	0.0002	0.0084	0.0003	0.0001	0.0005	0.0006	0.0012
tr|G0XQ39|G0XQ39_HUMAN STIM1L OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=1	Endoplasmic_reticulum	0.9916	0.0028	0.0006	0.0018	0.0125	0.2709	0.6815	0.0007	0.026	0.0022	0.001
sp|O95479|G6PE_HUMAN GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens OX=9606 GN=H6PD PE=1 SV=2	Extracellular	0.0099	0.0002	0.0011	0.7995	0.0015	0.0013	0.1835	0.0	0.0001	0.0129	0.0
sp|Q6ZSS7|MFSD6_HUMAN Major facilitator superfamily domain-containing protein 6 OS=Homo sapiens OX=9606 GN=MFSD6 PE=1 SV=2	Cell_membrane	0.9833	0.0003	0.0	0.0	0.0006	0.8972	0.0563	0.0	0.012	0.0334	0.0001
sp|Q13634|CAD18_HUMAN Cadherin-18 OS=Homo sapiens OX=9606 GN=CDH18 PE=2 SV=1	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
sp|Q96S15|WDR24_HUMAN GATOR complex protein WDR24 OS=Homo sapiens OX=9606 GN=WDR24 PE=1 SV=2	Cytoplasm	0.113	0.3276	0.4644	0.0368	0.091	0.0161	0.0039	0.0127	0.0044	0.0058	0.0372
sp|P55285|CADH6_HUMAN Cadherin-6 OS=Homo sapiens OX=9606 GN=CDH6 PE=1 SV=1	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9996	0.0002	0.0	0.0002	0.0	0.0
sp|Q09161|NCBP1_HUMAN Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1	Nucleus	0.2084	0.97	0.0286	0.0	0.0001	0.0002	0.0004	0.0	0.0005	0.0001	0.0
tr|G3V5N8|G3V5N8_HUMAN Zinc finger FYVE domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZFYVE1 PE=1 SV=1	Nucleus	0.0476	0.7721	0.2246	0.0002	0.0003	0.0021	0.0	0.0001	0.0	0.0001	0.0004
sp|Q9ULH4|LRFN2_HUMAN Leucine-rich repeat and fibronectin type-III domain-containing protein 2 OS=Homo sapiens OX=9606 GN=LRFN2 PE=1 SV=2	Cell_membrane	1.0	0.0	0.0	0.0	0.0001	0.9997	0.0002	0.0	0.0	0.0	0.0
sp|Q9ULB4|CADH9_HUMAN Cadherin-9 OS=Homo sapiens OX=9606 GN=CDH9 PE=2 SV=2	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0	0.0
sp|P27540|ARNT_HUMAN Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1	Nucleus	0.1146	0.9565	0.042	0.0	0.0001	0.001	0.0	0.0	0.0001	0.0001	0.0001
sp|Q8N3E9|PLCD3_HUMAN 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Homo sapiens OX=9606 GN=PLCD3 PE=1 SV=3	Nucleus	0.3407	0.5787	0.2595	0.0059	0.0334	0.1022	0.002	0.0019	0.011	0.0027	0.0026
sp|Q86VP1|TAXB1_HUMAN Tax1-binding protein 1 OS=Homo sapiens OX=9606 GN=TAX1BP1 PE=1 SV=2	Cytoplasm	0.0205	0.1095	0.8354	0.0003	0.0011	0.0076	0.0021	0.0002	0.0321	0.0113	0.0002
tr|J3KNI1|J3KNI1_HUMAN Conserved oligomeric Golgi complex subunit 4 OS=Homo sapiens OX=9606 GN=COG4 PE=1 SV=1	Cytoplasm	0.1504	0.2711	0.5099	0.0009	0.0074	0.0367	0.0181	0.0047	0.0741	0.0636	0.0134
sp|Q6P996|PDXD1_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PDXDC1 PE=1 SV=2	Cytoplasm	0.1106	0.1132	0.6765	0.001	0.0191	0.081	0.005	0.048	0.0156	0.0241	0.0165
sp|Q8IV36|HID1_HUMAN Protein HID1 OS=Homo sapiens OX=9606 GN=HID1 PE=1 SV=1	Cytoplasm	0.0977	0.079	0.7225	0.0012	0.0077	0.0455	0.0455	0.0004	0.0306	0.0401	0.0275
sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2	Nucleus	0.1785	0.6412	0.2937	0.0002	0.0005	0.013	0.0024	0.0017	0.0439	0.0033	0.0
sp|Q9Y6N8|CAD10_HUMAN Cadherin-10 OS=Homo sapiens OX=9606 GN=CDH10 PE=1 SV=2	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9999	0.0001	0.0	0.0	0.0	0.0
sp|Q7KZI7|MARK2_HUMAN Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=2	Cytoplasm	0.1645	0.0216	0.6907	0.0015	0.0009	0.1985	0.0055	0.0012	0.0119	0.0407	0.0276
sp|Q9Y5E8|PCDBF_HUMAN Protocadherin beta-15 OS=Homo sapiens OX=9606 GN=PCDHB15 PE=2 SV=1	Cell_membrane	0.9787	0.0004	0.0002	0.0002	0.0039	0.8988	0.0598	0.0002	0.0061	0.0302	0.0003
sp|P51692|STA5B_HUMAN Signal transducer and activator of transcription 5B OS=Homo sapiens OX=9606 GN=STAT5B PE=1 SV=2	Cytoplasm	0.0734	0.156	0.6522	0.007	0.0162	0.0331	0.0125	0.0041	0.03	0.082	0.0069
sp|O00534|VMA5A_HUMAN von Willebrand factor A domain-containing protein 5A OS=Homo sapiens OX=9606 GN=VWA5A PE=1 SV=2	Cytoplasm	0.0261	0.0949	0.7288	0.0079	0.0511	0.0079	0.0041	0.0226	0.0027	0.0135	0.0665
sp|Q8IYB8|SUV3_HUMAN ATP-dependent RNA helicase SUPV3L1, mitochondrial OS=Homo sapiens OX=9606 GN=SUPV3L1 PE=1 SV=1	Mitochondrion	0.2517	0.0024	0.0032	0.0001	0.9922	0.0002	0.0001	0.0012	0.0	0.0	0.0006
sp|Q8TB22|SPT20_HUMAN Spermatogenesis-associated protein 20 OS=Homo sapiens OX=9606 GN=SPATA20 PE=2 SV=3	Mitochondrion	0.378	0.0002	0.0021	0.0003	0.9939	0.0003	0.0002	0.0012	0.0	0.0	0.0018
sp|Q13275|SEM3F_HUMAN Semaphorin-3F OS=Homo sapiens OX=9606 GN=SEMA3F PE=2 SV=2	Extracellular	0.0151	0.0025	0.0018	0.9653	0.0007	0.0142	0.0122	0.0	0.0	0.0033	0.0
sp|Q9ULB5|CADH7_HUMAN Cadherin-7 OS=Homo sapiens OX=9606 GN=CDH7 PE=2 SV=2	Cell_membrane	1.0	0.0	0.0	0.0	0.0	0.9998	0.0002	0.0	0.0	0.0	0.0
sp|O94901|SUN1_HUMAN SUN domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUN1 PE=1 SV=4	Endoplasmic_reticulum	0.9116	0.1378	0.0273	0.0005	0.0543	0.0972	0.2301	0.2201	0.0634	0.0233	0.146
sp|Q16666|IF16_HUMAN Gamma-interferon-inducible protein 16 OS=Homo sapiens OX=9606 GN=IFI16 PE=1 SV=3	Nucleus	0.0238	0.6627	0.3302	0.0001	0.0002	0.0056	0.0001	0.0	0.0007	0.0002	0.0002
sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2	Peroxisome	0.088	0.0017	0.2379	0.0025	0.017	0.0049	0.0021	0.0152	0.0	0.0091	0.7094
sp|P33151|CADH5_HUMAN Cadherin-5 OS=Homo sapiens OX=9606 GN=CDH5 PE=1 SV=5	Cell_membrane	0.9997	0.0	0.0	0.0	0.0	0.9981	0.0017	0.0	0.0001	0.0001	0.0
sp|Q9H1K0|RBNS5_HUMAN Rabenosyn-5 OS=Homo sapiens OX=9606 GN=RBSN PE=1 SV=2	Cytoplasm	0.0633	0.1886	0.7634	0.0001	0.0036	0.0125	0.0053	0.0009	0.0179	0.007	0.0008
tr|A0A087WX23|A0A087WX23_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=1	Nucleus	0.1512	0.7663	0.2238	0.0003	0.0002	0.0073	0.0004	0.0	0.0006	0.0003	0.0006
sp|Q9C0B6|BRNP2_HUMAN BMP/retinoic acid-inducible neural-specific protein 2 OS=Homo sapiens OX=9606 GN=BRINP2 PE=2 SV=2	Extracellular	0.1199	0.0005	0.0013	0.4464	0.0265	0.0102	0.3152	0.0001	0.0773	0.1222	0.0003
sp|Q8TCS8|PNPT1_HUMAN Polyribonucleotide nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PNPT1 PE=1 SV=2	Mitochondrion	0.512	0.0038	0.0104	0.0001	0.5708	0.0012	0.0002	0.4046	0.0001	0.0003	0.0085
sp|Q13671|RIN1_HUMAN Ras and Rab interactor 1 OS=Homo sapiens OX=9606 GN=RIN1 PE=1 SV=4	Cytoplasm	0.0707	0.1425	0.7788	0.0001	0.0006	0.0697	0.0005	0.0002	0.0017	0.0005	0.0055
sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5	Nucleus	0.0454	0.9866	0.0131	0.0	0.0	0.0003	0.0	0.0	0.0	0.0	0.0
sp|Q9P2I0|CPSF2_HUMAN Cleavage and polyadenylation specificity factor subunit 2 OS=Homo sapiens OX=9606 GN=CPSF2 PE=1 SV=2	Nucleus	0.0534	0.5854	0.3899	0.0003	0.0016	0.0016	0.0026	0.0007	0.012	0.005	0.0008
tr|F5H039|F5H039_HUMAN Gephyrin OS=Homo sapiens OX=9606 GN=GPHN PE=1 SV=1	Cytoplasm	0.006	0.0268	0.9587	0.0001	0.0003	0.0045	0.0003	0.0018	0.0007	0.0019	0.005
sp|Q9BZL4|PP12C_HUMAN Protein phosphatase 1 regulatory subunit 12C OS=Homo sapiens OX=9606 GN=PPP1R12C PE=1 SV=1	Cytoplasm	0.0513	0.0323	0.8664	0.0005	0.0001	0.0914	0.0006	0.0002	0.0034	0.0047	0.0005
sp|P19447|ERCC3_HUMAN General transcription and DNA repair factor IIH helicase subunit XPB OS=Homo sapiens OX=9606 GN=ERCC3 PE=1 SV=1	Nucleus	0.1002	0.9178	0.0796	0.0	0.0001	0.0006	0.0003	0.0	0.0011	0.0003	0.0002
sp|Q9NS98|SEM3G_HUMAN Semaphorin-3G OS=Homo sapiens OX=9606 GN=SEMA3G PE=1 SV=1	Extracellular	0.3886	0.0153	0.0053	0.5379	0.0075	0.1842	0.2001	0.0011	0.0034	0.0447	0.0006
sp|Q9Y2G8|DJC16_HUMAN DnaJ homolog subfamily C member 16 OS=Homo sapiens OX=9606 GN=DNAJC16 PE=2 SV=3	Endoplasmic_reticulum	0.9358	0.0015	0.0004	0.0019	0.0011	0.034	0.8509	0.0001	0.0951	0.015	0.0001
sp|Q08AM6|VAC14_HUMAN Protein VAC14 homolog OS=Homo sapiens OX=9606 GN=VAC14 PE=1 SV=1	Cytoplasm	0.0376	0.2128	0.7116	0.0003	0.0018	0.0188	0.007	0.0004	0.024	0.0155	0.0079
sp|P06396|GELS_HUMAN Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1	Extracellular	0.0071	0.0	0.0004	0.6449	0.0006	0.0029	0.2244	0.0001	0.0001	0.1265	0.0
sp|Q9NP80|PLPL8_HUMAN Calcium-independent phospholipase A2-gamma OS=Homo sapiens OX=9606 GN=PNPLA8 PE=1 SV=1	Mitochondrion	0.4476	0.0488	0.1233	0.0017	0.5239	0.0011	0.0134	0.228	0.0007	0.0012	0.0579
sp|Q9UID3|VPS51_HUMAN Vacuolar protein sorting-associated protein 51 homolog OS=Homo sapiens OX=9606 GN=VPS51 PE=1 SV=2	Cytoplasm	0.0102	0.1953	0.7572	0.0002	0.0012	0.0107	0.0004	0.0007	0.0009	0.0018	0.0317
sp|P35222|CTNB1_HUMAN Catenin beta-1 OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1	Cytoplasm	0.1027	0.2755	0.5635	0.0024	0.0132	0.0217	0.0069	0.0158	0.0166	0.0554	0.029
sp|Q02447|SP3_HUMAN Transcription factor Sp3 OS=Homo sapiens OX=9606 GN=SP3 PE=1 SV=3	Nucleus	0.0834	0.9994	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|P0C869|PA24B_HUMAN Cytosolic phospholipase A2 beta OS=Homo sapiens OX=9606 GN=PLA2G4B PE=1 SV=2	Mitochondrion	0.2099	0.0848	0.2491	0.0038	0.318	0.0094	0.0044	0.2761	0.0018	0.0067	0.0459
sp|Q6ZMI0|PPR21_HUMAN Protein phosphatase 1 regulatory subunit 21 OS=Homo sapiens OX=9606 GN=PPP1R21 PE=1 SV=1	Cytoplasm	0.0479	0.1337	0.7867	0.0001	0.0027	0.0145	0.0065	0.0015	0.039	0.0128	0.0024
sp|P08237|PFKAM_HUMAN ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens OX=9606 GN=PFKM PE=1 SV=2	Peroxisome	0.0584	0.0019	0.2537	0.0021	0.0125	0.0036	0.001	0.0065	0.0	0.0028	0.7159
sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4	Nucleus	0.0308	0.629	0.3553	0.0003	0.001	0.0051	0.0008	0.0011	0.003	0.0027	0.0016
sp|Q99798|ACON_HUMAN Aconitate hydratase, mitochondrial OS=Homo sapiens OX=9606 GN=ACO2 PE=1 SV=2	Mitochondrion	0.0667	0.0023	0.1285	0.0027	0.7842	0.0004	0.0004	0.0096	0.0	0.0003	0.0716
sp|Q05209|PTN12_HUMAN Tyrosine-protein phosphatase non-receptor type 12 OS=Homo sapiens OX=9606 GN=PTPN12 PE=1 SV=3	Cytoplasm	0.0219	0.0839	0.8618	0.0006	0.0004	0.0252	0.0022	0.0004	0.0094	0.0146	0.0014
sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6	Peroxisome	0.1554	0.0004	0.1498	0.0013	0.0311	0.003	0.0021	0.0166	0.0	0.0032	0.7926
tr|E7ERH1|E7ERH1_HUMAN Tensin-1 (Fragment) OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1	Nucleus	0.2103	0.3666	0.1115	0.3337	0.0062	0.1714	0.0019	0.0063	0.0015	0.0007	0.0001
sp|Q93034|CUL5_HUMAN Cullin-5 OS=Homo sapiens OX=9606 GN=CUL5 PE=1 SV=4	Cytoplasm	0.0285	0.1747	0.7404	0.0002	0.0098	0.0069	0.0125	0.001	0.0346	0.0181	0.0018
sp|Q9NR71|ASAH2_HUMAN Neutral ceramidase OS=Homo sapiens OX=9606 GN=ASAH2 PE=1 SV=2	Cell_membrane	0.7755	0.0001	0.0002	0.0495	0.0004	0.5493	0.0555	0.0001	0.1562	0.1886	0.0
sp|O75157|T22D2_HUMAN TSC22 domain family protein 2 OS=Homo sapiens OX=9606 GN=TSC22D2 PE=1 SV=3	Nucleus	0.207	0.7238	0.272	0.0002	0.0004	0.0028	0.0	0.0001	0.0006	0.0001	0.0
sp|Q969S9|RRF2M_HUMAN Ribosome-releasing factor 2, mitochondrial OS=Homo sapiens OX=9606 GN=GFM2 PE=1 SV=1	Plastid	0.2091	0.0072	0.0322	0.0006	0.4133	0.0005	0.0009	0.5285	0.0001	0.001	0.0157
tr|A0A087WZ40|A0A087WZ40_HUMAN Ensconsin OS=Homo sapiens OX=9606 GN=MAP7 PE=1 SV=1	Cytoplasm	0.1709	0.4372	0.4809	0.0009	0.0002	0.0723	0.0006	0.0004	0.0063	0.001	0.0001
sp|Q9HBM0|VEZA_HUMAN Vezatin OS=Homo sapiens OX=9606 GN=VEZT PE=1 SV=3	Endoplasmic_reticulum	0.772	0.1495	0.0594	0.0002	0.0176	0.1788	0.4401	0.0028	0.0669	0.0649	0.0198
sp|Q9Y233|PDE10_HUMAN cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A OS=Homo sapiens OX=9606 GN=PDE10A PE=1 SV=1	Cytoplasm	0.0358	0.3018	0.6089	0.0006	0.0042	0.0132	0.0088	0.0009	0.0142	0.0118	0.0355
sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens OX=9606 GN=ZW10 PE=1 SV=3	Cytoplasm	0.2143	0.1509	0.4494	0.0008	0.0465	0.0676	0.0351	0.0195	0.1076	0.0898	0.0328
sp|Q8IZU9|KIRR3_HUMAN Kin of IRRE-like protein 3 OS=Homo sapiens OX=9606 GN=KIRREL3 PE=1 SV=1	Cell_membrane	0.9998	0.0	0.0	0.0	0.0	0.9997	0.0002	0.0	0.0	0.0001	0.0
sp|Q15057|ACAP2_HUMAN Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ACAP2 PE=1 SV=3	Cytoplasm	0.0393	0.2632	0.6681	0.0004	0.0021	0.0182	0.006	0.0013	0.0198	0.0163	0.0046
sp|Q9Y5V3|MAGD1_HUMAN Melanoma-associated antigen D1 OS=Homo sapiens OX=9606 GN=MAGED1 PE=1 SV=3	Cytoplasm	0.1578	0.3821	0.5399	0.0024	0.0016	0.0438	0.0032	0.0013	0.0062	0.0054	0.0141
sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens OX=9606 GN=ABLIM1 PE=1 SV=3	Nucleus	0.4781	0.816	0.0456	0.0157	0.014	0.1029	0.0009	0.001	0.0028	0.0004	0.0007
sp|Q8TDC3|BRSK1_HUMAN Serine/threonine-protein kinase BRSK1 OS=Homo sapiens OX=9606 GN=BRSK1 PE=1 SV=2	Cytoplasm	0.0847	0.1195	0.7684	0.0004	0.0001	0.0968	0.0027	0.0001	0.007	0.004	0.001
tr|E9PC69|E9PC69_HUMAN Non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=MARK2 PE=1 SV=3	Cytoplasm	0.1596	0.0224	0.6951	0.0014	0.0009	0.1929	0.0055	0.0011	0.0128	0.0396	0.0284
sp|O15211|RGL2_HUMAN Ral guanine nucleotide dissociation stimulator-like 2 OS=Homo sapiens OX=9606 GN=RGL2 PE=1 SV=1	Cytoplasm	0.1228	0.266	0.6554	0.0021	0.0197	0.0323	0.0007	0.0044	0.0024	0.0019	0.0151
sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1	Cytoplasm	0.0786	0.4831	0.4953	0.0001	0.0021	0.0114	0.0002	0.0001	0.0072	0.0006	0.0
sp|P04150|GCR_HUMAN Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1	Nucleus	0.1464	0.8389	0.1398	0.0001	0.0002	0.0079	0.0014	0.0001	0.0045	0.0008	0.0064
sp|O95025|SEM3D_HUMAN Semaphorin-3D OS=Homo sapiens OX=9606 GN=SEMA3D PE=2 SV=2	Endoplasmic_reticulum	0.4768	0.101	0.019	0.0462	0.0178	0.033	0.5349	0.0012	0.1869	0.0576	0.0025
sp|Q9NXD2|MTMRA_HUMAN Myotubularin-related protein 10 OS=Homo sapiens OX=9606 GN=MTMR10 PE=1 SV=3	Cytoplasm	0.0631	0.3554	0.5219	0.0013	0.0369	0.0155	0.005	0.0067	0.0063	0.0059	0.045
sp|Q15052|ARHG6_HUMAN Rho guanine nucleotide exchange factor 6 OS=Homo sapiens OX=9606 GN=ARHGEF6 PE=1 SV=2	Cytoplasm	0.0214	0.0689	0.8781	0.0004	0.0004	0.0275	0.0027	0.0007	0.0095	0.0092	0.0026
sp|Q13616|CUL1_HUMAN Cullin-1 OS=Homo sapiens OX=9606 GN=CUL1 PE=1 SV=2	Cytoplasm	0.0329	0.2973	0.6575	0.0002	0.0085	0.005	0.0058	0.0007	0.013	0.0065	0.0055
sp|Q6ZVF9|GRIN3_HUMAN G protein-regulated inducer of neurite outgrowth 3 OS=Homo sapiens OX=9606 GN=GPRIN3 PE=2 SV=2	Nucleus	0.1685	0.6178	0.2987	0.0062	0.0047	0.0645	0.0003	0.0012	0.0046	0.001	0.0011
tr|J3KNR0|J3KNR0_HUMAN Non-specific serine/threonine protein kinase OS=Homo sapiens OX=9606 GN=MARK3 PE=1 SV=2	Cytoplasm	0.2837	0.038	0.5284	0.0019	0.0017	0.2705	0.0192	0.0022	0.03	0.0254	0.0827
sp|Q16799|RTN1_HUMAN Reticulon-1 OS=Homo sapiens OX=9606 GN=RTN1 PE=1 SV=1	Cell_membrane	0.9659	0.0085	0.0022	0.0	0.0082	0.5228	0.2785	0.0015	0.1045	0.0719	0.0019
sp|O15041|SEM3E_HUMAN Semaphorin-3E OS=Homo sapiens OX=9606 GN=SEMA3E PE=1 SV=1	Extracellular	0.0517	0.0786	0.0354	0.5964	0.0196	0.0177	0.219	0.0045	0.0012	0.0264	0.0012
sp|Q674X7|KAZRN_HUMAN Kazrin OS=Homo sapiens OX=9606 GN=KAZN PE=1 SV=2	Cytoplasm	0.0336	0.2115	0.7383	0.0011	0.0009	0.0212	0.0015	0.0014	0.0134	0.0066	0.0042
sp|Q9UKQ2|ADA28_HUMAN Disintegrin and metalloproteinase domain-containing protein 28 OS=Homo sapiens OX=9606 GN=ADAM28 PE=1 SV=3	Cell_membrane	0.9999	0.0	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0
sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1	Cytoplasm	0.032	0.0201	0.6643	0.0142	0.0254	0.0037	0.0037	0.1987	0.0006	0.0171	0.0522
sp|Q6P4Q7|CNNM4_HUMAN Metal transporter CNNM4 OS=Homo sapiens OX=9606 GN=CNNM4 PE=1 SV=3	Cell_membrane	0.8925	0.0001	0.0	0.0015	0.0008	0.6299	0.2389	0.0	0.0148	0.1139	0.0001
sp|Q86YV9|HPS6_HUMAN Hermansky-Pudlak syndrome 6 protein OS=Homo sapiens OX=9606 GN=HPS6 PE=1 SV=1	Mitochondrion	0.2558	0.0212	0.0969	0.0013	0.8139	0.0012	0.0005	0.0012	0.0004	0.0002	0.0631
sp|Q96CN9|GCC1_HUMAN GRIP and coiled-coil domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GCC1 PE=1 SV=1	Cytoplasm	0.1396	0.0816	0.5891	0.0002	0.0022	0.0369	0.0081	0.001	0.2642	0.0144	0.0023
sp|Q8IZ52|CHSS2_HUMAN Chondroitin sulfate synthase 2 OS=Homo sapiens OX=9606 GN=CHPF PE=1 SV=2	Mitochondrion	0.7538	0.0047	0.0075	0.0897	0.3394	0.0294	0.1798	0.0054	0.3129	0.023	0.0083
