Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
Q96HH4	TM169_HUMAN	reviewed	Transmembrane protein 169	TMEM169	Homo sapiens (Human)	297	
Q6VAB6	KSR2_HUMAN	reviewed	Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)	KSR2	Homo sapiens (Human)	950	
Q6NV74	CRCDL_HUMAN	reviewed	CRACD-like protein	CRACDL C2orf55 KIAA1211L	Homo sapiens (Human)	962	
Q9Y5G6	PCDG7_HUMAN	reviewed	Protocadherin gamma-A7 (PCDH-gamma-A7)	PCDHGA7	Homo sapiens (Human)	932	
Q8IV61	GRP3_HUMAN	reviewed	Ras guanyl-releasing protein 3 (Calcium and DAG-regulated guanine nucleotide exchange factor III) (Guanine nucleotide exchange factor for Rap1)	RASGRP3 GRP3 KIAA0846	Homo sapiens (Human)	690	
Q9NUJ7	PLCX1_HUMAN	reviewed	PI-PLC X domain-containing protein 1	PLCXD1	Homo sapiens (Human)	323	
O95990	F107A_HUMAN	reviewed	Actin-associated protein FAM107A (Down-regulated in renal cell carcinoma 1) (Protein TU3A)	FAM107A DRR1 TU3A	Homo sapiens (Human)	144	
Q6UX34	SNORC_HUMAN	reviewed	Protein SNORC (Secondary ossification center-associated regulator of chondrocyte maturation protein)	SNORC C2orf82 UNQ830/PRO1757	Homo sapiens (Human)	121	
O14668	TMG1_HUMAN	reviewed	Transmembrane gamma-carboxyglutamic acid protein 1 (Proline-rich gamma-carboxyglutamic acid protein 1) (Proline-rich Gla protein 1)	PRRG1 PRGP1 TMG1	Homo sapiens (Human)	218	
O00154	BACH_HUMAN	reviewed	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	ACOT7 BACH	Homo sapiens (Human)	380	
Q86TY3	ARMD4_HUMAN	reviewed	Armadillo-like helical domain-containing protein 4	ARMH4 C14orf37	Homo sapiens (Human)	774	
Q0VF49	K2012_HUMAN	reviewed	Uncharacterized protein KIAA2012	KIAA2012	Homo sapiens (Human)	1180	
Q9BSG5	RTBDN_HUMAN	reviewed	Retbindin	RTBDN	Homo sapiens (Human)	229	
Q8TC29	ENKUR_HUMAN	reviewed	Enkurin	ENKUR C10orf63	Homo sapiens (Human)	256	
Q8TD22	SFXN5_HUMAN	reviewed	Sideroflexin-5	SFXN5	Homo sapiens (Human)	340	
O15354	GPR37_HUMAN	reviewed	Prosaposin receptor GPR37 (Endothelin B receptor-like protein 1) (ETBR-LP-1) (G-protein coupled receptor 37) (Parkin-associated endothelin receptor-like receptor) (PAELR)	GPR37	Homo sapiens (Human)	613	
P09417	DHPR_HUMAN	reviewed	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)	QDPR DHPR SDR33C1	Homo sapiens (Human)	244	
Q96A98	TIP39_HUMAN	reviewed	Tuberoinfundibular peptide of 39 residues (TIP39) (Parathyroid hormone 2)	PTH2 TIP39 TIPF39	Homo sapiens (Human)	100	
Q9H1V8	S6A17_HUMAN	reviewed	Sodium-dependent neutral amino acid transporter SLC6A17 (Sodium-dependent neurotransmitter transporter NTT4) (Solute carrier family 6 member 17)	SLC6A17 NTT4	Homo sapiens (Human)	727	
P40145	ADCY8_HUMAN	reviewed	Adenylate cyclase type 8 (EC 4.6.1.1) (ATP pyrophosphate-lyase 8) (Adenylate cyclase type VIII) (Adenylyl cyclase 8) (AC8) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY8	Homo sapiens (Human)	1251	SITE 1199;  /note="Essential for autoinhibition maintenance by promoting interaction of the N and C termini";  /evidence="ECO:0000250|UniProtKB:P40146"; SITE 1200;  /note="Essential for autoinhibition maintenance";  /evidence="ECO:0000250|UniProtKB:P40146"; SITE 1203;  /note="Essential for autoinhibition maintenance by promoting interaction of the N and C termini";  /evidence="ECO:0000250|UniProtKB:P40146"; SITE 1205;  /note="Essential for CALM1 interaction";  /evidence="ECO:0000250|UniProtKB:P40146"; SITE 1207;  /note="Essential for CALM1 interaction";  /evidence="ECO:0000250|UniProtKB:P40146"
Q9H4Q4	PRD12_HUMAN	reviewed	PR domain zinc finger protein 12 (EC 2.1.1.-) (PR domain-containing protein 12)	PRDM12 PFM9	Homo sapiens (Human)	367	
P05129	KPCG_HUMAN	reviewed	Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)	PRKCG PKCG	Homo sapiens (Human)	697	
Q9ULZ9	MMP17_HUMAN	reviewed	Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP)	MMP17 MT4MMP	Homo sapiens (Human)	603	
Q08495	DEMA_HUMAN	reviewed	Dematin (Dematin actin-binding protein) (Erythrocyte membrane protein band 4.9)	DMTN DMT EPB49	Homo sapiens (Human)	405	
Q2QD12	RPEL1_HUMAN	reviewed	Ribulose-phosphate 3-epimerase-like protein 1 (EC 5.1.3.1) (Ribulose-5-phosphate-3-epimerase-like protein 1)	RPEL1	Homo sapiens (Human)	228	
Q9NXB9	ELOV2_HUMAN	reviewed	Elongation of very long chain fatty acids protein 2 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL2) (ELOVL fatty acid elongase 2) (ELOVL FA elongase 2) (Very long chain 3-ketoacyl-CoA synthase 2) (Very long chain 3-oxoacyl-CoA synthase 2)	ELOVL2 ELG3 SSC2	Homo sapiens (Human)	296	
Q7Z6Z6	PLPL5_HUMAN	reviewed	Patatin-like phospholipase domain-containing protein 5 (EC 3.1.1.3) (GS2-like protein)	PNPLA5 GS2L	Homo sapiens (Human)	429	
P51784	UBP11_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 11 (EC 3.4.19.12) (Deubiquitinating enzyme 11) (Ubiquitin thioesterase 11) (Ubiquitin-specific-processing protease 11)	USP11 UHX1	Homo sapiens (Human)	963	
Q5HYW2	NHSL2_HUMAN	reviewed	NHS-like protein 2	NHSL2	Homo sapiens (Human)	1225	
P62955	CCG7_HUMAN	reviewed	Voltage-dependent calcium channel gamma-7 subunit (Neuronal voltage-gated calcium channel gamma-7 subunit) (Transmembrane AMPAR regulatory protein gamma-7) (TARP gamma-7)	CACNG7	Homo sapiens (Human)	275	
Q16849	PTPRN_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase-like N (R-PTP-N) (Islet cell antigen 512) (ICA 512) (Islet cell autoantigen 3) (PTP IA-2) [Cleaved into: ICA512-N-terminal fragment (ICA512-NTF); ICA512-transmembrane fragment (ICA512-TMF); ICA512-cleaved cytosolic fragment (ICA512-CCF)]	PTPRN ICA3 ICA512	Homo sapiens (Human)	979	SITE 448..449;  /note="Cleavage";  /evidence="ECO:0000250|UniProtKB:P56722"
A1Z1Q3	MACD2_HUMAN	reviewed	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2) (EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2) (EC 3.2.2.-)	MACROD2 C20orf133	Homo sapiens (Human)	425	
Q96MN9	ZN488_HUMAN	reviewed	Zinc finger protein 488	ZNF488	Homo sapiens (Human)	340	
Q8IYJ0	PIANP_HUMAN	reviewed	PILR alpha-associated neural protein (PILR-associating neural protein) (Paired immunoglobin-like type 2 receptor-associating neural protein)	PIANP C12orf53 PANP UNQ828/PRO1755	Homo sapiens (Human)	282	
O94886	CSCL1_HUMAN	reviewed	CSC1-like protein 1 (Transmembrane protein 63A)	TMEM63A KIAA0489 KIAA0792	Homo sapiens (Human)	807	
Q5JUK3	KCNT1_HUMAN	reviewed	Potassium channel subfamily T member 1 (KCa4.1)	KCNT1 KIAA1422	Homo sapiens (Human)	1230	
Q86UP9	LHPL3_HUMAN	reviewed	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	LHFPL3 LHFPL4	Homo sapiens (Human)	236	
Q9UND3	NPIA1_HUMAN	reviewed	Nuclear pore complex-interacting protein family member A1 (Nuclear pore complex-interacting protein) (NPIP)	NPIPA1 NPIP	Homo sapiens (Human)	350	
Q9Y5H6	PCDA8_HUMAN	reviewed	Protocadherin alpha-8 (PCDH-alpha-8)	PCDHA8	Homo sapiens (Human)	950	
Q02930	CREB5_HUMAN	reviewed	Cyclic AMP-responsive element-binding protein 5 (CREB-5) (cAMP-responsive element-binding protein 5) (cAMP-response element-binding protein A) (CRE-BPa)	CREB5 CREBPA	Homo sapiens (Human)	508	
P52954	LBX1_HUMAN	reviewed	Transcription factor LBX1 (Ladybird homeobox protein homolog 1)	LBX1 LBX1H	Homo sapiens (Human)	281	
Q8WXD9	CSKI1_HUMAN	reviewed	Caskin-1 (CASK-interacting protein 1)	CASKIN1 KIAA1306	Homo sapiens (Human)	1431	
P50553	ASCL1_HUMAN	reviewed	Achaete-scute homolog 1 (ASH-1) (hASH1) (Class A basic helix-loop-helix protein 46) (bHLHa46)	ASCL1 ASH1 BHLHA46 HASH1	Homo sapiens (Human)	236	
Q96LR4	TAFA4_HUMAN	reviewed	Chemokine-like protein TAFA-4	TAFA4 FAM19A4	Homo sapiens (Human)	140	
Q6AI12	ANR40_HUMAN	reviewed	Ankyrin repeat domain-containing protein 40	ANKRD40	Homo sapiens (Human)	368	
P28222	5HT1B_HUMAN	reviewed	5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (S12) (Serotonin 1D beta receptor) (5-HT-1D-beta) (Serotonin receptor 1B)	HTR1B HTR1DB	Homo sapiens (Human)	390	SITE 355;  /note="Important for species-specific agonist sensitivity"
P43004	EAA2_HUMAN	reviewed	Excitatory amino acid transporter 2 (Glutamate/aspartate transporter II) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2)	SLC1A2 EAAT2 GLT1	Homo sapiens (Human)	574	
Q9BZC7	ABCA2_HUMAN	reviewed	ATP-binding cassette sub-family A member 2 (EC 7.6.2.-) (ATP-binding cassette transporter 2) (ATP-binding cassette 2)	ABCA2 ABC2 KIAA1062	Homo sapiens (Human)	2435	
Q8TB36	GDAP1_HUMAN	reviewed	Ganglioside-induced differentiation-associated protein 1 (GDAP1)	GDAP1	Homo sapiens (Human)	358	
P50150	GBG4_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	GNG4 GNGT4	Homo sapiens (Human)	75	
Q8N568	DCLK2_HUMAN	reviewed	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)	DCLK2 DCAMKL2 DCDC3B DCK2	Homo sapiens (Human)	766	
Q99758	ABCA3_HUMAN	reviewed	Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form]	ABCA3 ABC3	Homo sapiens (Human)	1704	SITE 174..175;  /note="Cleavage; by CTSL";  /evidence="ECO:0000269|PubMed:27031696"
Q5VZ66	JKIP3_HUMAN	reviewed	Janus kinase and microtubule-interacting protein 3 (Neuroendocrine long coiled-coil protein 2)	JAKMIP3 C10orf14 C10orf39 JAMIP3 NECC2	Homo sapiens (Human)	844	
Q01851	PO4F1_HUMAN	reviewed	POU domain, class 4, transcription factor 1 (Brain-specific homeobox/POU domain protein 3A) (Brain-3A) (Brn-3A) (Homeobox/POU domain protein RDC-1) (Oct-T1)	POU4F1 BRN3A RDC1	Homo sapiens (Human)	419	
Q6PF15	KLH35_HUMAN	reviewed	Kelch-like protein 35	KLHL35	Homo sapiens (Human)	583	
Q9H4D0	CSTN2_HUMAN	reviewed	Calsyntenin-2 (Alcadein-gamma) (Alc-gamma)	CLSTN2 CS2	Homo sapiens (Human)	955	
Q9NU63	ZFP57_HUMAN	reviewed	Zinc finger protein 57 homolog (Zfp-57) (Zinc finger protein 698)	ZFP57 C6orf40 ZNF698	Homo sapiens (Human)	452	SITE 185;  /note="Crucial for 5-methylcytosine recognition";  /evidence="ECO:0000250"
O75110	ATP9A_HUMAN	reviewed	Probable phospholipid-transporting ATPase IIA (EC 7.6.2.1) (ATPase class II type 9A)	ATP9A ATPIIA KIAA0611	Homo sapiens (Human)	1047	
P01303	NPY_HUMAN	reviewed	Pro-neuropeptide Y [Cleaved into: Neuropeptide Y (Neuropeptide tyrosine) (NPY); C-flanking peptide of NPY (CPON)]	NPY	Homo sapiens (Human)	97	SITE 30..31;  /note="Cleavage; by FAP";  /evidence="ECO:0000269|PubMed:21314817"
Q5VV43	K0319_HUMAN	reviewed	Dyslexia-associated protein KIAA0319	KIAA0319	Homo sapiens (Human)	1072	
Q5XKR4	OTP_HUMAN	reviewed	Homeobox protein orthopedia	OTP	Homo sapiens (Human)	325	
O43581	SYT7_HUMAN	reviewed	Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII)	SYT7 PCANAP7	Homo sapiens (Human)	403	
Q4KMZ8	NKAI1_HUMAN	reviewed	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 1 (Na(+)/K(+)-transporting ATPase subunit beta-1-interacting protein 1) (Protein FAM77C)	NKAIN1 FAM77C	Homo sapiens (Human)	207	
Q96LL4	CH048_HUMAN	reviewed	Uncharacterized protein C8orf48	C8orf48	Homo sapiens (Human)	319	
Q9Y2G0	EFR3B_HUMAN	reviewed	Protein EFR3 homolog B	EFR3B KIAA0953	Homo sapiens (Human)	817	
P98161	PKD1_HUMAN	reviewed	Polycystin-1 (PC1) (Autosomal dominant polycystic kidney disease 1 protein)	PKD1	Homo sapiens (Human)	4303	SITE 3048..3049;  /note="Cleavage; by autolysis";  /evidence="ECO:0000269|PubMed:12482949, ECO:0000269|PubMed:17525154"
A6NKN8	PC4L1_HUMAN	reviewed	Purkinje cell protein 4-like protein 1 (PCP4-like protein 1)	PCP4L1 IQM1	Homo sapiens (Human)	68	
Q86YS3	RFIP4_HUMAN	reviewed	Rab11 family-interacting protein 4 (FIP4-Rab11) (Rab11-FIP4) (Arfophilin-2)	RAB11FIP4 ARFO2 KIAA1821	Homo sapiens (Human)	637	
P28676	GRAN_HUMAN	reviewed	Grancalcin	GCA GCL	Homo sapiens (Human)	217	
Q7Z4K8	TRI46_HUMAN	reviewed	Tripartite motif-containing protein 46 (Gene Y protein) (GeneY) (Tripartite, fibronectin type-III and C-terminal SPRY motif protein)	TRIM46 TRIFIC	Homo sapiens (Human)	759	
Q68DX3	FRPD2_HUMAN	reviewed	FERM and PDZ domain-containing protein 2 (PDZ domain-containing protein 4) (PDZ domain-containing protein 5C)	FRMPD2 PDZD5C PDZK4 PDZK5C	Homo sapiens (Human)	1309	
P0DN79	CBSL_HUMAN		Deleted.				
O75335	LIPA4_HUMAN	reviewed	Liprin-alpha-4 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-4) (PTPRF-interacting protein alpha-4)	PPFIA4 KIAA0897	Homo sapiens (Human)	1185	
Q16555	DPYL2_HUMAN	reviewed	Dihydropyrimidinase-related protein 2 (DRP-2) (Collapsin response mediator protein 2) (CRMP-2) (N2A3) (Unc-33-like phosphoprotein 2) (ULIP-2)	DPYSL2 CRMP2 ULIP2	Homo sapiens (Human)	572	
Q96QH2	PRAM_HUMAN	reviewed	PML-RARA-regulated adapter molecule 1 (PRAM) (PRAM-1)	PRAM1	Homo sapiens (Human)	670	
Q86YV5	PRAG1_HUMAN	reviewed	Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)	PRAG1 SGK223	Homo sapiens (Human)	1406	
Q96PX8	SLIK1_HUMAN	reviewed	SLIT and NTRK-like protein 1 (Leucine-rich repeat-containing protein 12)	SLITRK1 KIAA1910 LRRC12 UNQ233/PRO266	Homo sapiens (Human)	696	
P51786	ZN157_HUMAN	reviewed	Zinc finger protein 157 (Zinc finger protein HZF22)	ZNF157	Homo sapiens (Human)	506	
Q9C040	TRIM2_HUMAN	reviewed	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2 KIAA0517 RNF86	Homo sapiens (Human)	744	
O14525	ASTN1_HUMAN	reviewed	Astrotactin-1	ASTN1 ASTN KIAA0289	Homo sapiens (Human)	1302	
Q6ZVF9	GRIN3_HUMAN	reviewed	G protein-regulated inducer of neurite outgrowth 3 (GRIN3)	GPRIN3 KIAA2027	Homo sapiens (Human)	776	
Q9NYW2	TA2R8_HUMAN	reviewed	Taste receptor type 2 member 8 (T2R8) (Taste receptor family B member 5) (TRB5)	TAS2R8	Homo sapiens (Human)	309	
Q8TBF8	FA81A_HUMAN	reviewed	Protein FAM81A	FAM81A	Homo sapiens (Human)	368	
Q9HCI5	MAGE1_HUMAN	reviewed	Melanoma-associated antigen E1 (Alpha-dystrobrevin-associated MAGE Protein) (DAMAGE) (Hepatocellular carcinoma-associated protein 1) (MAGE-E1 antigen)	MAGEE1 HCA1 KIAA1587	Homo sapiens (Human)	957	
Q9Y5L5	LENEP_HUMAN	reviewed	Lens epithelial cell protein LEP503	LENEP LEP503	Homo sapiens (Human)	61	
Q86WK6	AMGO1_HUMAN	reviewed	Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2)	AMIGO1 ALI2 AMIGO KIAA1163	Homo sapiens (Human)	493	
Q9H1K4	GHC2_HUMAN	reviewed	Mitochondrial glutamate carrier 2 (GC-2) (Glutamate/H(+) symporter 2) (Solute carrier family 25 member 18)	SLC25A18 GC2	Homo sapiens (Human)	315	
Q9UPA5	BSN_HUMAN	reviewed	Protein bassoon (Zinc finger protein 231)	BSN KIAA0434 ZNF231	Homo sapiens (Human)	3926	
Q5SZJ8	BEND6_HUMAN	reviewed	BEN domain-containing protein 6	BEND6 C6orf65	Homo sapiens (Human)	279	
P51861	CDR1_HUMAN	reviewed	Cerebellar degeneration-related antigen 1 (CDR34)	CDR1	Homo sapiens (Human)	262	
P01568	IFN21_HUMAN	reviewed	Interferon alpha-21 (IFN-alpha-21) (Interferon alpha-F) (LeIF F)	IFNA21	Homo sapiens (Human)	189	
Q96KR7	PHAR3_HUMAN	reviewed	Phosphatase and actin regulator 3 (Scaffold-associated PP1-inhibiting protein) (Scapinin)	PHACTR3 C20orf101 SCAPIN1	Homo sapiens (Human)	559	
Q9H9H5	MA6D1_HUMAN	reviewed	MAP6 domain-containing protein 1 (21 kDa STOP-like protein) (SL21)	MAP6D1	Homo sapiens (Human)	199	
Q9Y5L2	HLPDA_HUMAN	reviewed	Hypoxia-inducible lipid droplet-associated protein (Hypoxia-inducible gene 2 protein)	HILPDA C7orf68 HIG2	Homo sapiens (Human)	63	
A0MZ66	SHOT1_HUMAN	reviewed	Shootin-1 (Shootin1)	SHTN1 KIAA1598	Homo sapiens (Human)	631	
Q8N7X0	ADGB_HUMAN	reviewed	Androglobin (Calpain-7-like protein)	ADGB C6orf103 CAPN7L	Homo sapiens (Human)	1667	
O95819	M4K4_HUMAN	reviewed	Mitogen-activated protein kinase kinase kinase kinase 4 (EC 2.7.11.1) (HPK/GCK-like kinase HGK) (MAPK/ERK kinase kinase kinase 4) (MEK kinase kinase 4) (MEKKK 4) (Nck-interacting kinase)	MAP4K4 HGK KIAA0687 NIK	Homo sapiens (Human)	1239	
Q8WZA2	RPGF4_HUMAN	reviewed	Rap guanine nucleotide exchange factor 4 (Exchange factor directly activated by cAMP 2) (Exchange protein directly activated by cAMP 2) (EPAC 2) (cAMP-regulated guanine nucleotide exchange factor II) (cAMP-GEFII)	RAPGEF4 CGEF2 EPAC2	Homo sapiens (Human)	1011	
A6NKF7	TM88B_HUMAN	reviewed	Transmembrane protein 88B	TMEM88B	Homo sapiens (Human)	163	
Q5GH73	XKR6_HUMAN	reviewed	XK-related protein 6	XKR6 C8orf21 C8orf5 C8orf7 XRG6	Homo sapiens (Human)	641	
P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614	
P51674	GPM6A_HUMAN	reviewed	Neuronal membrane glycoprotein M6-a (M6a)	GPM6A M6A	Homo sapiens (Human)	278	
Q8IY50	S35F3_HUMAN	reviewed	Putative thiamine transporter SLC35F3 (Solute carrier family 35 member F3)	SLC35F3	Homo sapiens (Human)	421	
Q86YD5	LRAD3_HUMAN	reviewed	Low-density lipoprotein receptor class A domain-containing protein 3 (LDLR class A domain-containing protein 3)	LDLRAD3 LRAD3	Homo sapiens (Human)	345	
A0PK00	T120B_HUMAN	reviewed	Transmembrane protein 120B	TMEM120B	Homo sapiens (Human)	339	
Q9NXD2	MTMRA_HUMAN	reviewed	Myotubularin-related protein 10 (Inactive phosphatidylinositol 3-phosphatase 10)	MTMR10	Homo sapiens (Human)	777	
P10114	RAP2A_HUMAN	reviewed	Ras-related protein Rap-2a (EC 3.6.5.2) (RbBP-30)	RAP2A	Homo sapiens (Human)	183	
P46821	MAP1B_HUMAN	reviewed	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B	Homo sapiens (Human)	2468	
Q9H0B6	KLC2_HUMAN	reviewed	Kinesin light chain 2 (KLC 2)	KLC2	Homo sapiens (Human)	622	
Q5DX21	IGS11_HUMAN	reviewed	Immunoglobulin superfamily member 11 (IgSF11) (Brain and testis-specific immunoglobulin superfamily protein) (Bt-IGSF) (V-set and immunoglobulin domain-containing protein 3)	IGSF11 BTIGSF CXADRL1 VSIG3	Homo sapiens (Human)	431	
Q5VTH2	FLTOP_HUMAN	reviewed	Protein Flattop (Cilia- and flagella-associated protein 126)	CFAP126 C1orf192 FLTP	Homo sapiens (Human)	177	
Q9UHM6	OPN4_HUMAN	reviewed	Melanopsin (Opsin-4)	OPN4 MOP	Homo sapiens (Human)	478	
Q6IC83	CV042_HUMAN	reviewed	Uncharacterized protein C22orf42	C22orf42	Homo sapiens (Human)	251	
Q96PY5	FMNL2_HUMAN	reviewed	Formin-like protein 2 (Formin homology 2 domain-containing protein 2)	FMNL2 FHOD2 KIAA1902	Homo sapiens (Human)	1086	
P42679	MATK_HUMAN	reviewed	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	
Q8NBL3	T178A_HUMAN	reviewed	Transmembrane protein 178A	TMEM178A TMEM178 PSEC0131 UNQ5926/PRO19820	Homo sapiens (Human)	297	
P14416	DRD2_HUMAN	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	443	SITE 194;  /note="Important for receptor activation";  /evidence="ECO:0000250"; SITE 197;  /note="Important for receptor activation";  /evidence="ECO:0000250"
Q8N443	RIBC1_HUMAN	reviewed	RIB43A-like with coiled-coils protein 1	RIBC1	Homo sapiens (Human)	379	
Q8IZD6	S22AF_HUMAN	reviewed	Solute carrier family 22 member 15 (Fly-like putative transporter 1) (Flipt 1)	SLC22A15 FLIPT1 UNQ9429/PRO34686	Homo sapiens (Human)	547	
Q96D05	F241B_HUMAN	reviewed	Protein FAM241B	FAM241B C10orf35	Homo sapiens (Human)	121	
Q08629	TICN1_HUMAN	reviewed	Testican-1 (Protein SPOCK)	SPOCK1 SPOCK TIC1 TICN1	Homo sapiens (Human)	439	
Q96G30	MRAP2_HUMAN	reviewed	Melanocortin-2 receptor accessory protein 2 (MC2R accessory protein 2)	MRAP2 C6orf117	Homo sapiens (Human)	205	
O43566	RGS14_HUMAN	reviewed	Regulator of G-protein signaling 14 (RGS14)	RGS14	Homo sapiens (Human)	566	
Q8N2G6	ZCH24_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 24	ZCCHC24 C10orf56	Homo sapiens (Human)	241	
A0A1B0GTK4	F237A_HUMAN	reviewed	Protein FAM237A	FAM237A	Homo sapiens (Human)	181	
P78559	MAP1A_HUMAN	reviewed	Microtubule-associated protein 1A (MAP-1A) (Proliferation-related protein p80) [Cleaved into: MAP1A heavy chain; MAP1 light chain LC2]	MAP1A MAP1L	Homo sapiens (Human)	2803	
O75689	ADAP1_HUMAN	reviewed	Arf-GAP with dual PH domain-containing protein 1 (Centaurin-alpha-1) (Cnt-a1) (Putative MAPK-activating protein PM25)	ADAP1 CENTA1	Homo sapiens (Human)	374	
O94850	DEND_HUMAN	reviewed	Dendrin	DDN KIAA0749	Homo sapiens (Human)	711	
Q92911	SC5A5_HUMAN	reviewed	Sodium/iodide cotransporter (Na(+)/I(-) cotransporter) (Sodium-iodide symporter) (Na(+)/I(-) symporter) (Solute carrier family 5 member 5)	SLC5A5 NIS	Homo sapiens (Human)	643	
Q6PIU1	KCNV1_HUMAN	reviewed	Potassium voltage-gated channel subfamily V member 1 (Neuronal potassium channel alpha subunit HNKA) (Voltage-gated potassium channel subunit Kv8.1)	KCNV1	Homo sapiens (Human)	500	
Q9C0J1	B3GN4_HUMAN	reviewed	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4)	B3GNT4 UNQ1898/PRO4344	Homo sapiens (Human)	378	
Q6PCE3	PGM2L_HUMAN	reviewed	Glucose 1,6-bisphosphate synthase (EC 2.7.1.106) (PMMLP) (Phosphoglucomutase-2-like 1)	PGM2L1 BM32A	Homo sapiens (Human)	622	
Q9NS61	KCIP2_HUMAN	reviewed	Kv channel-interacting protein 2 (KChIP2) (A-type potassium channel modulatory protein 2) (Cardiac voltage-gated potassium channel modulatory subunit) (Potassium channel-interacting protein 2)	KCNIP2 KCHIP2	Homo sapiens (Human)	270	
Q96QV1	HHIP_HUMAN	reviewed	Hedgehog-interacting protein (HHIP) (HIP)	HHIP HIP UNQ5825/PRO19644	Homo sapiens (Human)	700	
O60688	YPEL1_HUMAN	reviewed	Protein yippee-like 1	YPEL1 FKSG3	Homo sapiens (Human)	119	
Q9BXN2	CLC7A_HUMAN	reviewed	C-type lectin domain family 7 member A (Beta-glucan receptor) (C-type lectin superfamily member 12) (Dendritic cell-associated C-type lectin 1) (DC-associated C-type lectin 1) (Dectin-1) (CD antigen CD369)	CLEC7A BGR CLECSF12 DECTIN1 UNQ539/PRO1082	Homo sapiens (Human)	247	
Q6ZV89	SH2D5_HUMAN	reviewed	SH2 domain-containing protein 5	SH2D5	Homo sapiens (Human)	423	
P48039	MTR1A_HUMAN	reviewed	Melatonin receptor type 1A (Mel-1A-R) (Mel1a receptor)	MTNR1A	Homo sapiens (Human)	350	
Q9Y5Z6	B3GT1_HUMAN	reviewed	Beta-1,3-galactosyltransferase 1 (Beta-1,3-GalTase 1) (Beta3Gal-T1) (Beta3GalT1) (EC 2.4.1.86) (UDP-galactose:beta-N-acetyl-glucosamine-beta-1,3-galactosyltransferase 1)	B3GALT1	Homo sapiens (Human)	326	
