Supplementary Table 2. Spectrum Mill protein summary report of the iTRAQ discovery data. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exp1 numSpectra;Exp1 totalIntensity;Exp1 pct_cov;Exp1 unique_peptides;Exp1 iTRAQ_ratio_1;Exp1 iTRAQ_ratio_2;Exp1 iTRAQ_ratio_3;Exp2 numSpectra;Exp2 totalIntensity;Exp2 pct_cov;Exp2 unique_peptides;Exp2 iTRAQ_ratio_1;Exp2 iTRAQ_ratio_2;Exp2 iTRAQ_ratio_3;Exp3 numSpectra;Exp3 totalIntensity;Exp3 pct_cov;Exp3 unique_peptides;Exp3 iTRAQ_ratio_1;Exp3 iTRAQ_ratio_2;Exp3 iTRAQ_ratio_3;Exp4 numSpectra;Exp4 totalIntensity;Exp4 pct_cov;Exp4 unique_peptides;Exp4 iTRAQ_ratio_1;Exp4 iTRAQ_ratio_2;Exp4 iTRAQ_ratio_3;Exp5 numSpectra;Exp5 totalIntensity;Exp5 pct_cov;Exp5 unique_peptides;Exp5 iTRAQ_ratio_1;Exp5 iTRAQ_ratio_2;Exp5 iTRAQ_ratio_3; accession_number; accession_numbers; coverage_map; coverage_maps; percentCoverage; percentCoverages; numPepsUnique; scoreUnique; scoresUnique;iTRAQ_115_114;iTRAQ_115_114_stddev;iTRAQ_116_114;iTRAQ_116_114_stddev;iTRAQ_117_114;iTRAQ_117_114_stddev;iTRAQ_numRatios; groupNum; subgroupNum; numSubgroups; entry_name;;;
58;8,17E+08;27%;13;1,1;1,55;1,75;32;3,70E+08;25%;11;1,36;1,12;0,91;56;2,61E+09;27%;13;0,88;1,9;1,83;68;2,94E+09;24%;11;1,16;0,85;1,08;65;3,22E+09;27%;13;1,33;1,11;1,56;IPI00925635;IPI00925635|IPI00020996;0+349+14+280;0+173+22+48+16+30+15+3+24+3+12+3+14+7+22+21+8+4+26+39+15+16+10+112|0+135+22+48+16+30+15+3+24+3+12+3+14+7+22+21+8+4+26+39+15+16+10+112;28;28|30;15;281,86;281.86|281.86;1,15;0,39;1,29;0,58;1,47;0,61;249;90;90,1;1;IGFALS insulin-like growth factor-binding protein complex acid labile subunit isoform 1 precursor;;;
365;5,04E+11;73%;14;0,74;0,99;0,46;430;5,86E+11;75%;15;0,58;0,89;1;569;6,53E+11;76%;16;0,76;0,75;1,15;506;4,96E+11;76%;15;0,63;0,85;0,71;484;5,15E+11;73%;14;0,37;0,54;1,08;IPI00013179;IPI00013179|IPI00513767|IPI00514285|IPI00514208;0+108+29+53;0+38+18+2+132|0+65+14+2+132|0+38+18+2+50+63+53|0+38+18+2+50+52;78;78|68|54|42;17;281,58;281.58|270.78|258.08|139.47;0,61;0,31;0,79;0,43;0,91;0,47;1859;91;91,1;1;PTGDS Prostaglandin-H2 D-isomerase;;;
188;3,59E+10;37%;13;1,16;1,1;1,59;181;4,10E+10;37%;13;1,52;1,18;1,12;189;7,99E+10;37%;13;1,06;0,4;0,62;182;1,02E+11;37%;13;0,34;0,28;0,62;224;1,52E+11;47%;15;0,94;0,94;0,98;IPI00022431;IPI00022431|IPI00953689|IPI00795830;0+94+29+310;0+94+71+7+14+4+19+16+6+22+50+74+26+3+21+6|0+28+71+7+14+4+19+16+6+22+50+74+26+3+21+6|0+28+39+38+14+4+19+16+6+22+50+25;47;47|56|49;15;279,95;279.95|279.95|200.25;0,98;0,5;0,77;0,46;0,98;0,51;788;92;92,1;1;AHSG cDNA FLJ55606, highly similar to Alpha-2-HS-glycoprotein;;;
88;2,00E+10;26%;5;1,13;1,04;1,61;70;2,13E+10;26%;5;1,38;1,06;1,04;86;4,70E+10;26%;5;1,04;0,36;0,61;70;5,59E+10;26%;5;0,36;0,29;0,63;100;8,27E+10;44%;7;0,98;0,94;0,96;IPI00922262;IPI00922262;0+67+32+146;0+28+71+7+14+4+19+16+6+80;44;44;7;137,34;137,34;0,98;0,38;0,73;0,39;0,97;0,45;351;92;92,2;1;- cDNA FLJ56822, highly similar to Alpha-2-HS-glycoprotein;;;
53;1,52E+09;25%;13;1,18;1,16;1,15;55;1,48E+09;23%;13;1,26;1,45;1,13;44;2,54E+09;24%;12;0,52;1,03;0,91;40;2,76E+09;21%;10;0,52;0,53;0,53;55;4,58E+09;30%;14;0,48;0,8;1,28;IPI00019581;IPI00019581;0+593+17+5;0+32+23+29+8+42+8+4+14+4+8+7+35+16+18+8+26+63+8+19+9+67+18+110+34+5;33;33;17;279,23;279,23;0,81;0,51;1,01;0,5;1,03;0,5;218;93;93,1;1;F12 Coagulation factor XII;;;
20;5,39E+08;10%;9;0,67;0,93;0,4;28;5,48E+08;14%;12;0,57;0,62;1,04;24;1,06E+09;14%;12;0,63;0,61;1,02;26;5,99E+08;11%;10;0,55;0,53;0,52;25;1,02E+09;13%;12;0,4;0,72;1,01;IPI00935147;IPI00935147|IPI00376427|IPI00922843;0+484+19+334;0+92+7+28+10+48+4+44+13+3+7+4+9+23+16+28+12+43+11+36+6+40+29+22+8+32+17+39+11+195|0+92+7+28+10+48+4+44+13+3+7+4+9+23+16+28+12+43+11+36+6+40+29+22+8+32+17+39+11+195|0+117+7+28+10+48+4+44+13+3+7+4+9+23+16+28+12+51;19;19|19|18;17;274,64;274.64|274.64|124.61;0,56;0,37;0,67;0,31;0,82;0,42;116;94;94,1;1;NCAM2 Neural cell adhesion molecule 2, isoform CRA_a;;;
49;1,06E+09;43%;13;1,35;1,76;0,61;47;1,01E+09;35%;11;0,85;1,41;1,64;54;3,38E+09;35%;12;0,89;0,98;1,27;63;3,37E+09;37%;13;0,76;0,79;0,49;55;3,11E+09;36%;12;0,37;0,81;1,48;IPI00295542;IPI00295542|IPI00893190|IPI00892657|IPI00892782|IPI00892540|IPI00953072|IPI00893068;0+246+25+190;0+53+16+2+10+6+10+21+59+41+11+17+25+26+5+8+38+39+52+22|0+53+16+2+10+6+10+21+18+62+11+17+25+26+5+8+38+39+52+22|0+53+16+2+10+6+10+25+25+41+11+17+25+26+5+8+13+2|0+53+16+2+10+6+10+21+59+41+11+39|0+53+16+2+10+6+10+25+25+41+11+35+5+8+13+2|0+53+16+2+10+6+10+27|0+53+16+2+10+6+10+14;49;49|41|38|39|34|29|32;16;270,8;270.8|215.03|156.86|141.93|133.26|52.55|52.55;0,83;0,45;1,12;0,6;1,05;0,58;229;95;95,1;1;NUCB1 Nucleobindin-1;;;
68;3,48E+09;37%;15;0,95;1,43;0,43;65;2,92E+09;37%;15;0,4;0,86;1,17;61;9,13E+09;34%;12;0,59;0,56;1,21;59;8,22E+09;30%;12;0,5;0,47;0,21;58;8,75E+09;34%;14;0,22;0,75;0,8;IPI00220562;IPI00220562|IPI00791196;0+400+22+10;0+29+26+7+7+11+5+38+18+2+9+11+12+5+8+12+17+3+22+60+9+73+45+3|0+64+9+73+45+3;41;41|27;17;269,57;269.57|70.16;0,54;0,34;0,83;0,47;0,76;0,5;280;96;96,1;1;NPTX1 Neuronal pentraxin-1;;;
86;7,32E+09;18%;14;0,77;1,54;0,41;79;7,73E+09;15%;14;0,64;1,02;1,18;79;1,17E+10;14%;13;0,73;0,71;1;71;1,74E+10;15%;15;0,42;0,46;0,27;79;2,76E+10;18%;15;0,31;0,69;2,79;IPI00456623;IPI00456623|IPI00456624|IPI00217423|IPI00513878|IPI00647472;0+38+30+843;0+38+30+1+7+2+6+2+8+5+6+31+17+2+7+19+40+46+13+32+18+17+7+97+7+420+11+22|0+38+30+1+7+2+6+2+8+5+6+31+17+2+7+19+40+46+13+32+18+17+7+97+7+213|0+38+30+1+7+2+6+2+8+5+6+50+7+46+13+32+18+17+7+96+7+118|0+34+17+2+7+19+40+46+13+32+18+3|0+38+30+1+7+2+6+2+8+5+6+31+17+2+7+51;19;19|24|21|41|38;16;268,48;268.48|249.33|189.27|134.35|124.21;0,58;0,28;0,9;0,6;1,13;6,32;355;97;97,1;1;BCAN Isoform 1 of Brevican core protein;;;
56;6,71E+09;18%;11;1,26;2,3;0,76;64;6,53E+09;21%;13;0,87;1,46;1,29;59;8,05E+09;18%;11;0,83;1,04;1,2;63;1,63E+10;18%;12;0,98;1,15;0,68;62;2,32E+10;20%;12;0,3;0,55;1,29;IPI00744835;IPI00744835|IPI00873020|IPI00873201|IPI00012503|IPI00219825|IPI00556640;0+432+9+86;0+46+21+40+15+21+9+141+20+26+12+44+29+8+20+29+16+26+4|0+46+21+40+15+21+9+141+20+26+12+44+29+8+20+29+16+26+4|0+46+21+40+15+21+9+140+20+26+12+44+29+8+20+29+16+26+4|0+46+21+40+15+21+9+138+20+26+12+44+29+8+20+29+16+26+4|0+46+21+40+15+21+9+138+20+26+12+44+29+8+20+29+16+65|0+46+21+41+29+8+20+29+16+26+4;27;27|27|27|27|25|37;17;268,23;268.23|268.23|268.23|268.23|260.39|163.34;0,84;0,55;1,28;0,95;1,05;0,56;295;98;98,1;1;PSAP Isoform Sap-mu-9 of Proactivator polypeptide;;;
87;5,36E+09;38%;13;0,89;0,99;0,55;102;8,68E+09;39%;14;2,23;1,44;1,5;71;9,14E+09;37%;13;0,83;0,67;1,33;78;1,05E+10;42%;15;0,23;0,22;0,55;58;8,86E+09;31%;11;0,34;0,45;1,07;IPI00029260;IPI00029260|IPI00967977;0+92+19+264;0+71+16+5+19+8+29+10+72+32+9+22+5+2+8+67|0+71+16+5+19+8+29+10+52+3;42;42|54;15;267,03;267.03|166.26;0,97;0,89;0,79;0,56;0,98;0,53;334;99;99,1;1;CD14 Monocyte differentiation antigen CD14;;;
112;1,02E+10;47%;15;0,52;0,22;0,73;102;9,19E+09;47%;15;0,6;0,38;0,36;112;2,59E+10;47%;15;0,49;0,57;0,27;107;2,74E+10;39%;13;0,25;0,26;0,26;107;3,56E+10;47%;15;0,51;0,35;0,36;IPI00022417;IPI00022417;0+148+16+183;0+41+6+72+56+16+48+11+10+31+27+10+17+2;47;47;15;266,97;266,97;0,47;0,18;0,36;0,17;0,4;0,22;507;100;100,1;1;LRG1 Leucine-rich alpha-2-glycoprotein;;;
50;1,12E+09;20%;15;1,42;1,78;1,49;59;1,97E+09;19%;14;1,36;1,07;0,83;36;1,84E+09;12%;8;1,06;0,61;0,72;54;3,64E+09;16%;12;0,42;0,37;0,57;54;5,04E+09;16%;12;0,63;0,9;0,84;IPI00294004;IPI00294004|IPI00878131|IPI00795619|IPI00879470|IPI00794924;0+561+17+98;0+84+17+173+6+42+8+94+21+6+19+3+8+65+32+3+28+53+9+5|1+4+139+6+42+8+94+21+6+19+3+8+65+32+3+28+53+9+5|1+4+139+6+42+8+94+21+6+19+3+8+17|0+116+17+98|0+116+17+65;21;21|24|17|7|8;16;260,06;260.06|235.5|128.24|31.77|31.77;0,97;0,47;0,96;0,56;0,89;0,39;249;101;101,1;1;PROS1 Vitamin K-dependent protein S;;;
30;5,22E+08;40%;12;0,83;0,92;0,37;39;6,81E+08;42%;13;0,62;0,77;0,91;36;1,93E+09;43%;14;0,6;0,67;1,19;27;1,19E+09;39%;12;0,45;0,52;0,44;27;1,48E+09;30%;9;0,3;0,73;0,94;IPI00219029;IPI00219029|IPI00922421;0+60+21+332;0+32+23+5+21+5+11+17+8+94+20+31+23+3+32+16+28+9+33+2|0+32+10+25+8+94+20+31+23+3+32+16+28+9+33+2;48;48|42;15;258,55;258.55|199.67;0,57;0,31;0,72;0,38;0,79;0,47;140;102;102,1;1;GOT1 Aspartate aminotransferase, cytoplasmic;;;
106;5,58E+09;42%;13;1,04;0,65;0,84;117;6,70E+09;43%;14;1,28;1,06;0,98;98;1,37E+10;43%;14;0,91;0,62;0,93;102;1,68E+10;43%;14;0,55;0,38;0,67;89;1,79E+10;43%;14;0,68;0,85;0,88;IPI00020986;IPI00020986|IPI00794403|IPI00796888;0+184+14+140;0+59+25+26+4+23+11+22+11+3+51+32+21+8+9+10+15+8|0+9+25+26+4+23+11+22+11+3+51+17|0+59+25+26+4+23+11+22+11+3+42+6;43;43|50|40;14;252,84;252.84|194.74|159.85;0,9;0,38;0,71;0,37;0,86;0,27;486;103;103,1;1;LUM Lumican;;;
65;2,03E+09;39%;13;0,63;0,85;0,35;62;2,79E+09;39%;12;0,51;0,8;0,96;71;1,40E+10;38%;13;0,63;0,62;1,11;64;7,77E+09;41%;13;0,46;0,49;0,45;66;1,31E+10;42%;14;0,27;0,65;0,92;IPI00013303;IPI00013303|IPI00921923|IPI00947205;0+173+16+149;0+36+22+3+16+6+5+1+8+3+33+33+23+5+15+3+13+8+20+85|0+33+22+3+16+6+5+1+8+3+33+33+23+5+4+14+13+8+20+108|0+70+22+3+16+6+5+1+8+3+33+38;45;45|40|40;16;251,62;251.62|231.02|137.1;0,5;0,19;0,68;0,22;0,76;0,36;316;104;104,1;1;LSAMP Limbic system-associated membrane protein;;;
129;1,57E+10;31%;15;1,14;1,13;1,19;133;1,31E+10;31%;15;1,22;1,1;0,89;156;5,28E+10;31%;15;1,01;1,45;1,84;129;3,44E+10;31%;15;0,63;0,41;0,51;134;5,21E+10;31%;15;0,81;0,76;1,33;IPI00298971;IPI00298971|IPI00956475;0+176+10+292;0+27+9+140+18+3+44+29+5+55+23+68+22+3+4+2+26|0+107+18+3+44+29+5+8;31;31|31;15;247,46;247.46|129.6;0,96;0,32;0,97;0,44;1,16;0,56;617;105;105,1;1;VTN Vitronectin;;;
70;5,26E+09;53%;11;0,75;0,85;0,42;82;7,70E+09;62%;13;0,84;0,99;1,35;80;1,48E+10;49%;12;0,82;0,8;1,19;73;1,25E+10;48%;10;0,44;0,46;0,44;77;2,07E+10;46%;10;0,41;0,69;1,07;IPI00009028;IPI00009028;0+62+11+129;0+29+19+2+23+7+89+14+4+1+14;73;73;15;245,92;245,92;0,66;0,26;0,76;0,25;0,91;0,45;377;106;106,1;1;CLEC3B Tetranectin;;;
60;5,27E+09;73%;9;0,78;0,91;0,45;77;7,74E+09;84%;11;0,93;0,96;1,39;76;1,51E+10;66%;10;0,86;0,81;1,25;67;1,25E+10;52%;7;0,46;0,47;0,44;72;2,08E+10;63%;9;0,43;0,69;1,08;IPI00792115;IPI00792115|IPI00791350;0+20+11+129;1+6+2+23+7+89+14+4+1+14|0+29+6+12+42+7;84;84|50;11;194,28;194.28|83.31;0,68;0,31;0,77;0,27;0,95;0,48;347;106;106,2;1;CLEC3B Putative uncharacterized protein DKFZp686H17246;;;
28;7,05E+08;23%;8;0,64;0,89;0,37;32;8,92E+08;27%;11;0,5;0,81;1,04;31;2,36E+09;22%;10;0,66;0,61;1,09;31;1,85E+09;18%;8;0,4;0,45;0,39;31;2,17E+09;18%;9;0,3;0,63;0,86;IPI00015102;IPI00015102|IPI00791964|IPI00807403|IPI00944977|IPI00795504|IPI00945338|IPI00748835;0+175+14+394;0+44+27+39+19+3+20+23+14+1+18+23+26+55+6+1+25+30+29+2+14+3+9+152|0+44+27+39+19+3+20+23+14+1+18+23+26+55+6+1+25+30+29+2+14+3+9+139|0+44+27+39+19+3+20+23+14+1+18+23+26+55+6+1+25+30+29+2+14+3+9+139|0+44+27+39+19+3+20+23+14+1+18+23+26+55+6+1+25+30+29+2+14+3+9+139|0+44+27+39+19+3+20+23+14+1+18+23+26+55+6+1+25+30+29+2+14+3+9+124|0+23+14+1+18+79+29+2+14+3+9+152|0+96+29+2+14+3+9+152;35;35|36|36|36|37|24|17;14;245,53;245.53|245.53|245.53|245.53|245.53|85.72|47.79;0,49;0,23;0,66;0,25;0,76;0,39;141;107;107,1;1;ALCAM Isoform 1 of CD166 antigen;;;
20;2,99E+08;19%;7;0,9;0,8;0,38;33;5,96E+08;27%;12;0,64;0,7;0,73;26;1,34E+09;26%;10;0,58;0,65;1,14;27;1,14E+09;28%;11;0,48;0,5;0,48;28;1,80E+09;27%;11;0,27;0,62;0,89;IPI00796333;IPI00796333|IPI00465439;0+207+20+191;0+67+15+41+30+2+7+31+8+6+20+28+14+28+15+31+23+10+8+34|0+13+15+41+30+2+7+31+8+6+20+28+14+28+15+31+23+10+8+34;33;33|38;15;244,55;244.55|244.55;0,56;0,27;0,65;0,21;0,74;0,33;133;108;108,1;1;ALDOA 45 kDa protein;;;
26;9,10E+08;0%;12;0,73;0,84;0,76;32;1,15E+09;0%;12;0,77;0,91;1,01;21;1,15E+09;0%;10;0,64;0,77;1,06;27;2,01E+09;0%;7;0,94;0,7;2,06;32;4,45E+09;0%;9;0,5;0,64;0,96;IPI00940872;IPI00940872|IPI00759542|IPI00759754|IPI00023283|IPI00179357|IPI00759637|IPI00759613|IPI00375499|IPI00375498|IPI00455173;0+24364+6+10572;0+1605+5+98+5+2291+5+986+7+531+5+2713+4+863+7+266+4+3753+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1605+5+98+5+2415+5+986+7+531+5+2713+4+863+7+266+4+3161+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1605+5+98+5+2291+5+986+7+531+5+2713+4+863+7+266+4+3161+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1513+5+98+5+2291+5+986+7+531+5+2713+4+863+7+266+4+3161+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1605+5+98+5+2547+7+531+5+2713+4+863+7+266+4+3161+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1605+5+98+5+2355+7+531+5+2713+4+863+7+266+4+3183+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1605+5+98+5+2355+7+531+5+2713+4+863+7+266+4+3161+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1559+5+98+5+2483+5+1169+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1559+5+98+5+2416+5+1169+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764|0+1559+5+98+5+2291+5+1169+4+607+4+2188+4+430+5+529+4+84+14+171+4+854+12+432+5+3665+22+2178+6+4082+4+597+4+1574+17+456+5+1704+11+206+4+125+19+1764;0;0|0|0|0|0|0|0|0|0|0;26;244,27;244.27|244.27|244.27|244.27|234.07|234.07|234.07|201.93|201.93|201.93;0,71;0,5;0,77;0,38;1,16;1,1;136;109;109,1;1;TTN Titin, isoform CRA_a;;;
48;1,62E+09;26%;11;0,69;0,81;0,48;47;1,66E+09;28%;11;0,51;0,72;0,68;64;7,98E+09;30%;13;0,83;0,92;1,18;55;6,32E+09;24%;11;0,64;0,54;0,49;64;8,81E+09;28%;13;0,51;0,75;1,09;IPI00744685;IPI00744685|IPI00927683|IPI00218413|IPI00926737|IPI00789424;0+266+22+257;0+81+24+19+26+9+19+35+28+25+22+43+10+24+22+140+17+1|0+81+24+19+26+9+19+35+28+25+22+43+10+24+22+140+17+1|0+79+24+19+26+9+19+35+28+25+22+43+10+24+22+140+17+1|0+59+24+19+26+9+19+35+28+32|0+59+24;30;30|30|30|38|28;14;243,41;243.41|243.41|243.41|130.37|22.1;0,64;0,27;0,75;0,25;0,82;0,41;244;110;110,1;1;BTD cDNA FLJ59679, highly similar to Biotinidase;;;
59;2,53E+09;40%;13;0,59;0,82;0,33;62;3,05E+09;24%;10;0,54;0,78;0,93;60;1,30E+10;34%;12;0,57;0,61;1,15;60;1,02E+10;22%;9;0,5;0,48;0,36;66;1,54E+10;26%;11;0,24;0,65;0,88;IPI00969455;IPI00969455|IPI00969498|IPI00442294|IPI00964977|IPI00853129|IPI00442298|IPI00964466|IPI00791044|IPI00852877;0+175+18+162;0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+35+8+33|0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+35+8+33|0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+35+8+33|0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+65|0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+65|0+32+30+3+16+46+10+38+38+3+41+4+5+4+9+37|0+7+14+3+16+46+10+79+41+4+5+4+9+65|0+23+30+3+16+46+10+38+18+7|0+13+5+4+9+47+8+33;44;44|44|44|43|43|47|31|38|18;15;241,85;241.85|241.85|241.85|227.56|227.56|227.56|158.54|131.39|45.22;0,48;0,17;0,67;0,18;0,74;0,35;307;111;111,1;1;OPCML cDNA, FLJ78863, highly similar to Neurotrimin;;;
37;5,62E+08;22%;8;0,52;0,81;0,27;33;6,37E+08;12%;5;0,51;0,81;0,97;20;8,65E+08;22%;8;0,55;0,52;1,03;35;2,54E+09;24%;9;0,41;0,41;0,29;36;2,75E+09;26%;10;0,21;0,57;0,79;IPI00001662;IPI00001662|IPI00552450;0+217+11+126;0+32+30+3+16+136+11+2+28+4+9+83|0+25+30+3+16+136+11+2+28+4+9+74;26;26|27;10;155,22;155.22|155.22;0,43;0,18;0,63;0,22;0,63;0,36;160;111;111,2;1;OPCML OPCML protein;;;
81;1,17E+10;37%;12;1,43;2,6;0,72;81;1,03E+10;38%;12;0,76;1,48;1,25;117;5,31E+10;42%;13;0,87;2,26;1,74;98;4,02E+10;32%;11;1,54;1,67;0,81;95;4,32E+10;42%;13;0,43;1;1,68;IPI00016915;IPI00016915;0+262+13+7;0+65+24+8+17+32+21+31+23+5+14+22+20;42;42;13;240,76;240,76;1;0,67;1,81;1,54;1,27;0,77;459;112;112,1;1;IGFBP7 Insulin-like growth factor-binding protein 7;;;
15;1,22E+08;12%;7;1,13;1,27;0,37;19;2,26E+08;15%;9;1,16;1,39;1,5;14;4,54E+08;11%;6;0,73;0,97;1,4;16;1,61E+08;12%;7;0,5;0,38;0,46;22;6,15E+08;13%;9;0,37;0,68;1,42;IPI00003590;IPI00003590|IPI00465016|IPI00872013|IPI00015916;0+466+17+264;0+51+7+23+7+37+4+43+22+7+10+6+25+50+4+2+33+89+11+9+10+16+17+33+16+82+16+117|0+51+7+23+7+37+4+43+22+7+10+6+25+50+4+2+33+89+11+9+10+16+17+33+16+72|0+51+7+23+7+37+4+43+22+7+10+6+25+50+4+2+33+89+11+9+10+16+17+33+16+72|0+53+7+23+7+37+4+43+22+7+10+16+15+50+4+2+15+153+17+308;24;24|27|27|12;16;239,44;239.44|220.5|220.5|148.67;0,73;0,52;0,9;0,55;1,06;0,67;79;113;113,1;1;QSOX1 Isoform 1 of Sulfhydryl oxidase 1;;;
97;2,08E+10;37%;9;1,03;1,49;0,34;106;2,29E+10;44%;10;0,54;0,99;1,29;104;4,47E+10;44%;10;0,71;0,61;1,27;88;3,91E+10;44%;10;0,41;0,52;0,5;90;7,45E+10;46%;11;0,31;0,82;2;IPI00940990;IPI00940990|IPI00910436|IPI00383937|IPI00386812;0+66+14+270;0+52+12+2+14+33+4+63+17+15+138|0+52+12+2+14+33+4+35+17+15+138|0+15+52+30+12+2+14+33+4+53|0+24+17+15+52+28+10+25;52;52|57|38|46;12;239,03;239.03|239.03|118.45|100.24;0,61;0,82;0,9;0,9;1,09;1,34;380;114;114,1;1;DKK3 Dickkopf-related protein 3;;;
92;2,06E+10;35%;9;1,02;1,45;0,33;103;2,28E+10;42%;10;0,54;0,96;1,28;106;4,47E+10;42%;10;0,71;0,61;1,27;86;3,89E+10;42%;10;0,4;0,52;0,49;85;7,33E+10;43%;11;0,31;0,81;1,61;IPI00002714;IPI00002714;0+66+14+284;0+52+12+2+14+33+4+63+17+15+52+16+84;50;50;12;237,43;237,43;0,61;0,81;0,88;0,87;1;1,13;382;114;114,2;1;DKK3 cDNA FLJ52545, highly similar to Dickkopf-related protein 3;;;
60;2,36E+09;31%;11;1;0,94;1,17;57;2,14E+09;28%;10;0,69;0,99;0,84;67;7,94E+09;33%;12;1,08;1,43;1,28;46;4,53E+09;31%;10;0,71;0,59;0,74;54;8,88E+09;34%;11;1,09;0,83;1,15;IPI00292946;IPI00292946;0+123+15+277;0+55+9+59+15+32+12+2+34+45+10+25+24+23+53+3+7+7;39;39;13;238,38;238,38;0,93;0,32;0,98;0,36;1,06;0,37;269;115;115,1;1;SERPINA7 Thyroxine-binding globulin;;;
53;3,10E+09;45%;13;1,04;1,23;0,53;57;4,12E+09;46%;13;1,24;1,4;1,97;50;6,92E+09;45%;13;1,01;1,08;1,25;40;6,45E+09;22%;7;0,53;0,59;0,52;52;1,05E+10;44%;12;0,56;0,71;1,47;IPI00297284;IPI00297284|IPI00927165|IPI00556442|IPI00926948;0+113+23+192;0+52+31+12+41+53+6+25+53+22+25+8|0+42+6+25+53+22+25+8|0+83+31+12+41+53+6+25+7+34|0+20+6+25+25+2;47;47|46|29|39;14;237,32;237.32|144.56|123.46|62.66;0,89;0,36;1,02;0,4;1,18;0,65;233;116;116,1;1;IGFBP2 insulin-like growth factor-binding protein 2 precursor;;;
34;7,26E+08;10%;10;0,78;1,46;0,45;37;7,06E+08;10%;10;0,54;0,84;1,01;39;1,17E+09;11%;12;0,55;0,57;1,04;37;1,48E+09;12%;13;0,32;0,46;0,29;40;2,25E+09;12%;12;0,22;0,69;0,79;IPI00157417;IPI00157417|IPI00879665|IPI00554736|IPI00220334|IPI00220333|IPI00163788|IPI00908808;0+705+23+296;0+54+11+45+6+1+6+12+9+217+11+125+8+10+49+93+7+41+36+15+9+86+10+163|0+54+11+45+6+1+6+12+9+217+11+125+8+10+49+93+7+41+36+15+9+86+10+162|0+54+11+45+6+1+6+12+9+217+11+125+8+10+49+93+7+41+36+15+9+86+10+87|0+54+11+45+6+1+6+12+9+217+11+125+8+10+49+93+7+41+36+15+9+184|0+134+11+125+8+10+49+93+7+41+36+15+9+86+10+162|0+134+11+125+8+10+49+93+7+41+36+15+9+86+10+86|0+48+10+81;15;15|15|17|16|16|18|7;16;236,23;236.23|236.23|236.23|222.55|182.36|182.36|13.68;0,47;0,29;0,78;0,61;0,72;0,46;172;117;117,1;1;SEZ6L Isoform 4 of Seizure 6-like protein;;;
25;4,47E+08;19%;7;1,07;1,03;2,48;22;4,01E+08;20%;8;0,59;0,76;0,95;30;1,02E+09;28%;10;0,67;0,88;0,73;20;9,02E+08;19%;6;0,26;0,37;0,31;32;1,82E+09;22%;8;0,74;0,47;0,77;IPI00553177;IPI00553177|IPI00790784|IPI00869004|IPI00305457|IPI00747859|IPI00063827|IPI00910706|IPI00167615|IPI00908954;0+283+15+120;0+34+29+86+10+39+17+2+24+6+20+16+15+16+20+55+15+7+7|0+34+29+86+10+39+17+2+24+6+20+16+15+16+20+25|0+34+29+86+10+39+17+2+24+6+20+16+15+8|0+16+20+55+15+7+7|0+171+11+26|0+173+11+26|0+148+11+26|0+135+11+26|0+93+11+26;37;37|37|37|35|5|5|5|6|8;15;235,67;235.67|203.27|167.95|67.72|14.71|14.71|14.71|14.71|14.71;0,69;0,34;0,71;0,35;1,05;0,84;128;118;118,1;1;SERPINA1 Isoform 1 of Alpha-1-antitrypsin;;;
