Supplementary Table 3. A summary of the protein quantitation in AD and control CSF samples;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sathe et al., 2018. Quantitative proteomic profiling of cerebrospinal fluid to identify candidate biomarkers for Alzheimer’s disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Significant;LOG(Pvalue);Log(Fold change);Gene Symbol;Description;emPAI;Score Sequest HT;# Peptides Sequest HT;Sum PEP Score;Coverage;# Peptides;# PSMs;# Unique Peptides;# Protein Groups;MW [kDa];calc. pI;Symbol color;Symbol type;Symbol size;Show label;Abundances (Grouped): 126;Abundances (Grouped): 127N;Abundances (Grouped): 127C;Abundances (Grouped): 128N;Abundances (Grouped): 128C;Abundances (Grouped): 129N;Abundances (Grouped): 129C;Abundances (Grouped): 130N;Abundances (Grouped): 130C;Abundances (Grouped): 131
;1,380995088;-0,305660892;FSTL5;follistatin-related protein 5 isoform a precursor [Homo sapiens];6,252;198,66;32;123,002;41,2042503;32;57;30;1;95,7;5,95;Color2 [DarkGray];1;4;;0,06498364;0,2495508;0,2143405;-0,1371608;0,1573209;-0,51862;-0,1398875;-0,01496572;-0,3511197;0,0453234
;0,067973949;0,022843877;LRP1B;low-density lipoprotein receptor-related protein 1B precursor [Homo sapiens];0,558;176,88;32;122,256;7,632093933;32;51;30;1;515,2;5,3;Color2 [DarkGray];1;4;;0,1720322;0,2086571;-0,1754506;-0,06966258;-0,09102996;-0,01904488;0,1514084;-0,1964327;-0,1067137;0,3295484
;0,720325301;0,519653121;KLKB1;plasma kallikrein isoform X1 [Homo sapiens];12,01;316,82;32;143,66;50,53929122;32;87;32;1;72,4;8,18;Color2 [DarkGray];1;4;;-0,2139506;-0,1800114;-0,1308028;-0,6462168;0,623444;-0,4689002;1,297582;0,2410689;0,1780106;0,8029667
;1,019124212;0,147317926;TMEM132C;transmembrane protein 132C precursor [Homo sapiens];4,08;250,3;32;146,696;31,94945848;32;62;31;1;121,7;6,35;Color2 [DarkGray];1;4;;0,1961605;-0,1052781;-0,01015287;-0,1693066;-0,2281417;0,004136438;0,05448061;0,1243582;0,1090627;0,127833
;0,148935362;0,054059933;TNC;tenascin isoform X1 [Homo sapiens];1,137;169,97;32;125,733;17,96772787;32;44;32;1;250,5;4,92;Color2 [DarkGray];1;4;;0,0357727;-0,3148302;-0,003396697;0,3002183;0,1247718;0,3651339;-0,05326235;0,2039428;0,09278617;-0,195765
;0,650169547;-0,18553631;HSP90B1;endoplasmin precursor [Homo sapiens];7,414;246,8;32;131,907;43,08841843;32;65;31;1;92,4;4,84;Color2 [DarkGray];1;4;;-0,1827599;0,2681018;-0,006863618;0,5096251;0,2361915;0,1923202;0,1252763;-0,1568275;-0,1099816;-0,1541741
;0,780672173;0,292142053;C2;complement C2 isoform 1 preproprotein [Homo sapiens];17,33;450,57;32;193,262;45,61170213;32;121;32;1;83,2;7,42;Color2 [DarkGray];1;4;;-0,3340788;-0,3230765;-0,005752665;-0,681829;0,1881649;-0,3662337;0,2890548;-0,02889547;0,2247689;0,1854435
;2,089595634;0,398404407;PLXNB2;plexin-B2 isoform X2 [Homo sapiens];2,395;387,11;32;202,178;21,46238822;32;85;32;1;211,7;6,19;Color2 [DarkGray];1;4;;-0,2288225;-0,03619673;-0,2444545;-0,05709163;-0,5124001;0,02436511;0,03414994;0,1790755;0,2422734;0,4331927
;1,273058936;-0,325327268;APLP2;amyloid-like protein 2 isoform 1 precursor [Homo sapiens];28,552;526,6;31;197,526;40,62909567;31;143;29;1;86,9;4,79;Color2 [DarkGray];1;4;;0,4081316;0,4836874;0,06257553;0,2329146;-0,1779609;-0,07026238;-0,3576651;-0,2199174;-0,08624316;0,1167999
;0,219065732;0,086530045;NID2;nidogen-2 isoform X1 [Homo sapiens];3,054;205,54;31;117,867;25,03566334;31;54;1;1;154,2;5,26;Color2 [DarkGray];1;4;;-0,04481208;0,1303283;0,2279072;-0,4416581;-0,2773266;-0,2723542;-0,07310485;0,06311838;0,3446852;-0,03525558
;1,351978394;0,324954753;CNTNAP4;contactin-associated protein-like 4 isoform X1 [Homo sapiens];5,19;323,45;31;139,37;27,45995423;31;89;29;1;145,5;6,6;Color2 [DarkGray];1;4;;-0,09720142;0,08029154;-0,2859308;-0,2647559;-0,4230604;-0,02678603;0,1779686;0,2513768;-0,1842724;0,4158298
;0;NaN;NID2;nidogen-2 precursor [Homo sapiens];3,054;207,53;31;120,802;26,10909091;31;53;1;1;151,2;5,29;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;0,387481281;-0,092168088;L1CAM;neural cell adhesion molecule L1 isoform 1 precursor [Homo sapiens];6,044;312,14;31;146,302;28,32140016;31;78;31;1;139,9;6,24;Color2 [DarkGray];1;4;;0,2306859;0,1456595;-0,01248304;-0,05006431;-0,1551423;0,1297103;-0,2029366;-0,2221518;-0,1436241;0,1368173
;1,279894004;-0,195672681;HSPA8;heat shock cognate 71 kDa protein isoform X1 [Homo sapiens];14,615;263,99;31;123,369;50,15479876;31;71;18;1;70,9;5,52;Color2 [DarkGray];1;4;;0,2308428;-0,05753256;0,2565879;0,3129364;0,1538207;0,002027626;-0,101742;0,1982772;-0,08101396;-0,0992569
;0,5052724;0,222120398;SEMA7A;semaphorin-7A isoform 1 preproprotein [Homo sapiens];31,745;594,55;31;215,549;49,84984985;31;150;31;1;74,8;7,64;Color2 [DarkGray];1;4;;0,2356466;0,3567666;-0,3001767;-0,2330046;-0,5940482;-0,02469857;0,1167534;0,01384111;-0,05445999;0,5243497
;2,050520761;0,649570812;LTBP1;latent-transforming growth factor beta-binding protein 1 isoform X1 [Homo sapiens];2,335;235,83;31;138,865;22,99651568;31;60;2;1;186,7;5,96;Color2 [DarkGray];1;4;;-0,165008;-0,4964702;-0,04903134;-0,1036087;0,1105689;0,5320365;0,7995987;0,9171838;0,1095023;0,1859833
;1,013726724;0,391701639;CACHD1;VWFA and cache domain-containing protein 1 isoform 1 [Homo sapiens];5,551;250,42;31;158,591;29,19051513;31;66;31;1;136,6;6,55;Color2 [DarkGray];1;4;;-0,08480106;0,2039369;-0,474692;-0,2436874;-0,858156;0,1220859;-0,0696605;-0,1448182;0,1288963;0,4646051
;0,489834504;0,196491556;PAPLN;papilin isoform X1 [Homo sapiens];3,262;230,4;31;135,805;27,9342723;31;61;31;1;137,6;6,89;Color2 [DarkGray];1;4;;-0,0722799;-0,05694393;-0,1324362;0,0430156;-0,2433595;0,3887221;0,3860324;0,4033948;-0,4491303;-0,2085651
;0,391937374;0,142186684;CD109;CD109 antigen isoform 1 preproprotein [Homo sapiens];2,793;184,51;30;119,606;24,77508651;30;53;30;1;161,6;5,85;Color2 [DarkGray];1;4;;0,1003906;0,05528723;-0,2081614;-0,152615;0,03623282;0,1702643;-0,2194816;-0,2198954;0,5690793;0,2421011
;0,949872337;-0,234286708;GOLM1;Golgi membrane protein 1 [Homo sapiens];33,807;294,31;30;150,097;57,35660848;30;74;30;1;45,3;4,97;Color2 [DarkGray];1;4;;0,22485;-0,0969127;0,2244603;0,1064244;0,03502156;0,1387041;-0,3710251;-0,3460236;0,1516624;-0,2509077
;0,587123132;-0,279208153;LTBP1;latent-transforming growth factor beta-binding protein 1 isoform X7 [Homo sapiens];2,548;235,81;30;136,069;22,76812463;30;59;1;1;181;5,63;Color2 [DarkGray];1;4;;-0,2035483;-0,1925327;0,0398687;0,3013409;0,7593663;-0,09430607;-0,6656057;-0,1515497;0,150148;0,06976753
;0,807054726;-0,27914531;MMP2;72 kDa type IV collagenase isoform 1 preproprotein [Homo sapiens];24,483;538,26;30;193,322;52,12121212;30;127;30;1;73,8;5,47;Color2 [DarkGray];1;4;;-0,04538265;0,2965502;-0,02680338;0,1867437;-0,1238716;0,1838748;-0,1026181;-0,08519746;-0,3342993;-0,7702501
;0,715426032;0,360767915;HPX;hemopexin isoform X1 [Homo sapiens];427,133;2244,37;30;182,15;56,92640693;30;599;29;1;51,6;7,02;Color2 [DarkGray];1;4;;-0,4550007;-0,2000003;0,03649862;-0,5156587;0,3919653;-0,3131299;0,486923;-0,148046;0,3451031;0,6907936
;0,12490567;0,049492538;MANBA;beta-mannosidase precursor [Homo sapiens];9;244,98;30;131,576;37,99772469;30;67;29;1;100,8;5,52;Color2 [DarkGray];1;4;;-0,1444699;0,3255728;0,1027462;-0,1456296;0,1342798;-0,1343158;-0,1632852;0,2996036;0,4515911;0,06636828
;1,254854957;-0,162188027;GALNT2;polypeptide N-acetylgalactosaminyltransferase 2 precursor [Homo sapiens];13,33;216,4;30;120,185;49,91243433;30;65;28;1;64,7;8,35;Color2 [DarkGray];1;4;;0,1464806;0,01094668;0,03084256;0,09682291;0,08835962;0,09119663;-0,1960238;-0,1460067;0,05838354;-0,2450374
;1,100644123;-0,701933117;KRT14;keratin, type I cytoskeletal 14 [Homo sapiens];18,953;275,99;30;144,969;62,71186441;30;80;10;1;51,6;5,16;Color2 [DarkGray];1;4;;0,3321064;0,8518252;0,4634972;-0,4936325;0,3164667;-0,3056263;-0,05208836;-1,26463;0,3048237;-0,7218817
;0,060352211;-0,029558575;DCC;netrin receptor DCC [Homo sapiens];3,711;256,72;29;149,091;23,84243262;29;66;29;1;158,4;6,77;Color2 [DarkGray];1;4;;0,4756232;0,4873803;-0,1252541;-0,1693697;-0,2111004;-0,02077457;-0,05838414;-0,02826526;0,08376854;0,3331418
;2,26031906;-0,436602063;APLP1;amyloid-like protein 1 isoform 2 precursor [Homo sapiens];90,825;1392,04;29;196,239;39,69230769;29;376;2;1;72,1;5,8;Color2 [DarkGray];1;4;;0,5439784;0,3848337;0,3402309;0,1996157;0,04057702;-0,01197024;-0,007755902;-0,1256192;-0,09363251;-0,4347968
;0,346259872;-0,067318492;NPEPPS;puromycin-sensitive aminopeptidase [Homo sapiens];4,259;169,3;29;106,263;34,27638738;29;47;29;1;103,2;5,72;Color2 [DarkGray];1;4;;0,1547372;0,03914748;-0,1103002;0,1263338;-0,1700568;0,08392384;-0,2593593;-0,05302816;-0,03660258;-0,03166481
;0,349261898;-0,160443562;LCP1;plastin-2 [Homo sapiens];8,397;229,76;29;147,341;55,82137161;29;60;23;1;70,2;5,43;Color2 [DarkGray];1;4;;-0,07425371;-0,201012;0,2008221;-0,1069155;0,6710505;0,04595692;-0,1762093;-0,4330963;0,3178655;-0,06704324
;0,77861259;-0,224651445;APLP1;amyloid-like protein 1 isoform 1 precursor [Homo sapiens];76,426;1314,72;29;190,447;39,78494624;29;353;2;1;72,2;5,8;Color2 [DarkGray];1;4;;0,3316205;0,3214392;0,09264924;-0,09536878;-0,3014981;0,08929271;-0,1314454;-0,09902515;-0,2104363;-0,422801
;0,531534931;-0,698975003;KRT16;keratin, type I cytoskeletal 16 [Homo sapiens];10,602;279,82;29;126,018;62,57928118;29;79;17;1;51,2;5,05;Color2 [DarkGray];1;4;;0,04644644;1,803139;0,8394689;-0,6212977;0,3799264;-0,1888402;1,509633;-1,213716;-0,2412042;-0,913065
;0,251900694;0,085258961;TMEM132D;transmembrane protein 132D precursor [Homo sapiens];3,796;190,31;29;127,955;30,30027298;29;49;28;1;122,2;5,73;Color2 [DarkGray];1;4;;0,3489145;0,0565332;0,003457349;-0,3047432;-0,4305508;0,004485036;0,01373141;0,09444179;-0,05025057;0,03749819
;0,121694105;0,12933609;ERAP1;endoplasmic reticulum aminopeptidase 1 isoform X3 [Homo sapiens];4,179;209,98;29;111,867;33,64879075;29;53;29;1;108,3;6,57;Color2 [DarkGray];1;4;;0,2811388;0,1829124;0,1554784;-0,2850768;-1,571753;-0,05532859;-0,1473018;-0,08328616;0,4933818;-0,7980847
;0,411294387;0,139454108;COL1A1;collagen alpha-1(I) chain preproprotein [Homo sapiens];3,698;465,56;29;169,393;20,15027322;29;125;28;1;138,8;5,8;Color2 [DarkGray];1;4;;-0,1691286;-0,1367223;0,3977887;-0,08037458;-0,1449677;-0,008368911;0,4472896;-0,06533621;0,2928146;-0,1025329
;0;NaN;VCAN;versican core protein isoform 3 precursor [Homo sapiens];2,107;275,98;29;113,679;11,78912412;29;68;1;1;264,9;4,54;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;1,1636712;0,169942445;LAMA4;laminin subunit alpha-4 isoform 1 precursor [Homo sapiens];1,214;167,47;29;100,366;19,25397696;29;46;29;1;202,4;6,25;Color2 [DarkGray];1;4;;0,004810066;-0,2149642;-0,139122;-0,1207183;0,07159542;0,03046256;-0,0635699;0,04985104;0,1281213;0,3064482
;0,176519538;0,069509242;SORCS3;VPS10 domain-containing receptor SorCS3 precursor [Homo sapiens];3,87;193,45;29;104,292;23,40425532;29;54;27;1;135,7;6,6;Color2 [DarkGray];1;4;;0,1034023;0,2167242;-0,06472126;-0,1664446;-0,3090091;-0,05646687;0,1474747;0,222601;-0,4227987;0,2366877
;1,528508841;-0,44665548;CHRD;chordin isoform 1 precursor [Homo sapiens];5,469;198,85;29;116,998;35,39267016;29;53;29;1;102;7,75;Color2 [DarkGray];1;4;;0,4043156;0,1519289;0,02092214;0,1715395;-0,06257688;-0,02495428;-0,06964877;-0,1126767;-0,7344049;-0,6054635
;0,547846426;-0,097287141;ADGRL3;latrophilin-3 isoform X3 [Homo sapiens];2,391;222,35;29;141,501;20,25396825;29;55;29;1;175,4;6,89;Color2 [DarkGray];1;4;;0,1126756;0,1947741;0,1213672;-0,07408089;-0,2373556;-0,08202168;-0,1557086;-0,0976847;-0,06573467;0,03209434
;0,204378157;-0,058653264;POMGNT1;protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1 isoform 1 [Homo sapiens];8,326;258,26;28;129,447;53,48484848;28;67;28;1;75,2;6,83;Color2 [DarkGray];1;4;;0,02913555;0,003800107;0,1011126;0,1886332;-0,3697748;-0,2261413;-0,05727504;0,1260391;-0,1888232;0,005840902
;0,256628007;-0,03828669;PDIA3;protein disulfide-isomerase A3 precursor [Homo sapiens];9,89;201,32;28;104,468;53,86138614;28;51;28;1;56,7;6,35;Color2 [DarkGray];1;4;;0,0405006;-0,03271296;-0,04115182;0,09361405;-0,09583591;0,06768874;-0,134275;-0,09111377;0,09120131;-0,1605207
;2,077867597;-0,304077346;ECM1;extracellular matrix protein 1 isoform 3 precursor [Homo sapiens];12,594;548,68;28;141,186;56,9664903;28;133;28;1;63,5;6,89;Color2 [DarkGray];1;4;;0,5419164;0,07811415;0,2002572;0,1314461;0,2030536;-0,06345398;0,03505614;-0,1529862;-0,05743529;-0,12678
;0,627558555;0,115740449;CNTN6;contactin-6 isoform X1 [Homo sapiens];4,471;231,24;28;139,055;33,17120623;28;54;27;1;113,9;6;Color2 [DarkGray];1;4;;-0,08936404;-0,03920216;-0,08544014;-0,002369199;-0,08092974;0,262897;0,06378461;0,03779643;-0,259586;0,1765049
;0;NaN;GALNT7;N-acetylgalactosaminyltransferase 7 [Homo sapiens];12,594;242,11;28;116,346;47,33637747;28;65;1;1;75,3;7,11;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;0;NaN;CNTN4;contactin-4 isoform X2 [Homo sapiens];3,806;175,37;28;118,303;34,14634146;28;46;1;1;113,3;7,47;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;0,379457147;0,09185316;VCAM1;vascular cell adhesion protein 1 isoform a precursor [Homo sapiens];9,661;319,1;28;157,39;40,86603518;28;77;28;1;81,2;5,22;Color2 [DarkGray];1;4;;-0,1449713;-0,2360876;0,1949495;-0,06371046;0,0803501;0,08896708;0,2018906;-0,130384;0,2290168;-0,09969442
;0,679475785;0,189339793;ADAM22;disintegrin and metalloproteinase domain-containing protein 22 isoform X1 [Homo sapiens];3,095;236,44;28;113,321;31,93359375;28;68;28;1;113,3;7,37;Color2 [DarkGray];1;4;;-0,1144667;0,2095532;-0,2228985;-0,06593529;-0,4871923;0,1335129;0,07300822;0,09085367;-0,2513372;0,2197217
;0,030474623;0,015372886;ANPEP;aminopeptidase N isoform X1 [Homo sapiens];4,179;143,42;28;107,22;33,91933816;28;38;28;1;109,5;5,48;Color2 [DarkGray];1;4;;-0,2268526;0,1410056;0,04227023;-0,2108672;0,3001699;-0,1980601;0,07562587;-0,3737874;0,180031;0,4387809
;0,013932126;-0,003961677;C1S;complement C1s subcomponent precursor [Homo sapiens];81,54;801,38;28;204,647;46,0755814;28;190;27;1;76,6;4,96;Color2 [DarkGray];1;4;;-0,1059091;0,09646584;-0,04392761;0,02227722;0,08760819;0,1272445;0,0565084;-0,1233404;0,2368069;-0,2605132
;0;NaN;CNTN4;contactin-4 isoform a precursor [Homo sapiens];3,806;182,23;28;119,334;34,21052632;28;47;1;1;113,4;7,47;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;0;NaN;GALNT7;N-acetylgalactosaminyltransferase 7 isoform X1 [Homo sapiens];13,874;238,68;28;116,008;47,48858447;28;64;1;1;75,4;7,05;Color2 [DarkGray];1;4;;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
;2,613083679;-0,543885591;CHGA;chromogranin-A isoform 1 preproprotein [Homo sapiens];232,572;1122,7;27;219,108;55,14223195;27;236;27;1;50,7;4,6;Color2 [DarkGray];1;4;;0,7856529;0,4164094;0,6113772;0,1737791;0,1638089;-0,02357546;-0,1568559;-0,11404;-0,08615608;-0,1877729
;0,693344926;0,346119005;SERPINA3;alpha-1-antichymotrypsin precursor [Homo sapiens];182,298;1517,56;27;189,517;65,48463357;27;379;27;1;47,6;5,52;Color2 [DarkGray];1;4;;-0,4962328;-0,1012477;-0,2140983;-0,333549;0,6104749;0,06031283;0,4037487;-0,2993146;0,4351709;0,5960243
;1,128639058;0,153487258;C1R;complement C1r subcomponent precursor [Homo sapiens];16,113;638,07;27;157,779;43,12056738;27;161;25;1;80,1;6,29;Color2 [DarkGray];1;4;;-0,08074712;-0,05917707;-0,1112275;0,0160086;-0,0707173;0,02151139;0,08066629;0,2087936;0,2799283;-0,1293236
;0,312949409;0,172386314;CACNA2D2;voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X1 [Homo sapiens];3,566;209,89;27;126,582;27,05984389;27;53;1;1;130;5,8;Color2 [DarkGray];1;4;;0,314016;-0,2086679;0,1741055;-0,1805411;-0,1081239;-0,1111398;0,9523644;0,1758395;-0,2840875;0,1197438
;2,49688968;-0,50468803;NRP2;neuropilin-2 isoform X1 [Homo sapiens];3,566;173,77;27;110,822;32,43823845;27;51;27;1;104,8;5,17;Color2 [DarkGray];1;4;;0,4685408;0,1767387;0,3121691;0,1853333;0,1229558;0,03149845;-0,08119617;-0,283537;-0,365253;-0,5592149
;0,150582227;0,108182826;PRG4;proteoglycan 4 isoform A preproprotein [Homo sapiens];0,956;196,77;27;96,703;22,15099715;27;54;2;1;151;9,51;Color2 [DarkGray];1;4;;-0,1387529;-0,4468031;0,04070443;-0,2509193;0,91934;-0,1079654;0,2055223;-0,2866496;0,4735976;0,3799784
;0,774659007;-0,24368118;MRC2;C-type mannose receptor 2 precursor [Homo sapiens];3,095;177,45;27;109,786;24,34077079;27;48;27;1;166,6;5,83;Color2 [DarkGray];1;4;;0,07833717;0,02447688;0,1571822;0,1437161;-0,1127595;0,2534695;-0,4649602;-0,1679228;0,02777036;-0,5758099
;0,744517549;0,213751238;CACNA2D2;voltage-dependent calcium channel subunit alpha-2/delta-2 isoform X2 [Homo sapiens];3,566;209,21;27;129,314;26,93310165;27;52;1;1;129,9;5,8;Color2 [DarkGray];1;4;;0,2288781;-0,04544344;-0,305816;-0,2768636;-0,1931448;0,03243725;0,1327076;0,1926892;-0,2681534;0,3866857
;0,038018724;-0,019599541;CRTAC1;cartilage acidic protein 1 isoform A precursor [Homo sapiens];39,616;513,12;27;175,498;42,36006051;27;116;27;1;71,4;5,12;Color2 [DarkGray];1;4;;0,2683738;0,1195727;-0,0803273;-0,08791544;-0,02044589;0,1109059;0,1233973;0,5460333;-0,2946358;-0,3844405
;0,688992446;-0,199547913;PROS1;vitamin K-dependent protein S isoform 1 precursor [Homo sapiens];15,819;479,35;27;158,89;40,96045198;27;121;27;1;78,8;5,74;Color2 [DarkGray];1;4;;-0,2328311;0,03201007;0,1405399;0,2300193;0,1582574;-0,002311061;-0,3293573;-0,2372652;0,2705695;-0,37138
;0,238420724;0,217803274;C8B;complement component C8 beta chain isoform 1 preproprotein [Homo sapiens];15,681;331,51;26;140,393;48,05414552;26;84;26;1;67;8,13;Color2 [DarkGray];1;4;;-0,3327694;-0,01390504;0,3892439;-0,5595608;0,6152192;-0,4084371;1,144876;-0,3542292;0,07246483;0,7325702
;1,256630195;-0,371423813;XYLT1;xylosyltransferase 1 precursor [Homo sapiens];3,561;206,77;26;98,337;28,25860271;26;56;26;1;107,5;9,22;Color2 [DarkGray];1;4;;0,4027108;0,5459638;0,06439625;0,4752206;-0,2151919;0,1583175;-0,1721391;-0,3021894;-0,2425004;-0,02550812
;0,13417427;0,05227453;CPE;carboxypeptidase E preproprotein [Homo sapiens];33,807;606,62;26;148,429;54,62184874;26;149;26;1;53,1;5,14;Color2 [DarkGray];1;4;;0,1014654;0,2065242;-0,1808222;-0,007899684;-0,3725668;-0,3207777;0,04050612;-0,00346393;-0,05817453;0,3499836
;0,041018858;0,007036773;PSAP;prosaposin isoform b preproprotein [Homo sapiens];24,551;460,96;26;150,46;53,51043643;26;131;26;1;58,4;5,14;Color2 [DarkGray];1;4;;0,01275223;0,08283951;-0,07176746;-0,0607796;-0,1311709;-0,06006287;-0,1171761;-0,1122129;0,1352167;0,0212928
;1,183913706;-0,287404437;CACNA2D3;voltage-dependent calcium channel subunit alpha-2/delta-3 precursor [Homo sapiens];3,642;181,73;26;113,687;28,13932172;26;47;26;1;122,9;5,78;Color2 [DarkGray];1;4;;0,5502672;0,1873161;0,2158907;-0,0356824;-0,116477;-0,05398785;-0,3909946;-0,04277589;-0,1210111;-0,02693821
;0,393923126;-0,180093543;SORCS1;VPS10 domain-containing receptor SorCS1 isoform b precursor [Homo sapiens];3,14;157,87;26;103,162;25,12520868;26;41;24;1;133,3;6,98;Color2 [DarkGray];1;4;;0,5003806;0,4906516;-0,1663733;0,1839393;-0,4147141;0,1083278;-0,1470319;-0,257662;-0,2282513;0,2180339
;0,729604977;0,234314024;SNED1;sushi, nidogen and EGF-like domain-containing protein 1 precursor [Homo sapiens];2,375;149,92;26;99,481;20,94833687;26;41;26;1;152,1;6,98;Color2 [DarkGray];1;4;;-0,3917694;-0,000377465;-0,06733765;0,1604062;0,0814259;-0,03656615;0,5431201;0,284941;-0,1796057;0,3420284
;0,020914244;0,007652128;DPP6;dipeptidyl aminopeptidase-like protein 6 isoform 1 [Homo sapiens];4,391;199,66;26;112,69;32,83236994;26;51;24;1;97,5;6,37;Color2 [DarkGray];1;4;;0,1225083;0,2268583;-0,2930543;-0,07510614;-0,1674931;0,1914239;0,03316217;-0,1014198;-0,3043096;0,03311713
;0,319986726;-0,08033234;ROBO2;roundabout homolog 2 isoform X1 [Homo sapiens];1,546;166,41;26;104,966;20,35065748;26;44;23;1;174,7;6,62;Color2 [DarkGray];1;4;;0,2010927;0,2373106;-0,0413441;-0,1331233;0,09388303;-0,07960843;0,1581697;0,06871498;-0,295999;0,1048799
;1,583160714;0,198651827;CDH2;cadherin-2 isoform 1 preproprotein [Homo sapiens];16,433;384,92;26;152,32;30,13245033;26;100;26;1;99,7;4,81;Color2 [DarkGray];1;4;;-0,003789709;0,012608;-0,09485147;-0,138402;-0,1824952;-0,05004526;0,01075943;0,2298926;0,1175791;0,278143
;0,07013158;0,0460437;GDA;guanine deaminase isoform X2 [Homo sapiens];12,594;271,07;26;136,024;53,6345776;26;66;26;1;57,1;6,25;Color2 [DarkGray];1;4;;0,3684729;0,3124504;-0,2874941;0,2299618;-0,7332865;0,424342;-0,0927764;-0,1348716;-0,1202582;0,04388721
;0,47266686;-0,094698078;BCAN;brevican core protein isoform X1 [Homo sapiens];10,548;539,24;26;134,549;31,064764;26;148;25;1;99,1;4,64;Color2 [DarkGray];1;4;;0,2412043;0,3496952;0,001164368;-0,05194973;-0,09704855;-0,0246613;0,02658423;-0,1129663;0,01468848;0,06593016
;0,081761048;0,028034713;SLC38A10;putative sodium-coupled neutral amino acid transporter 10 isoform X3 [Homo sapiens];2,384;172,72;26;109,128;27,08703375;26;45;1;1;120,4;5,68;Color2 [DarkGray];1;4;;0,002876807;-0,03043114;-0,04658637;0,02585785;0,02347874;-0,006294173;-0,3569691;0,09481867;-0,03361266;0,4174267
;0,349685638;0,144102448;SLC38A10;putative sodium-coupled neutral amino acid transporter 10 isoform X1 [Homo sapiens];2,305;168,64;26;103,696;26,19047619;26;45;1;1;121,2;5,73;Color2 [DarkGray];1;4;;-0,06524038;-0,2660143;-0,03953373;-0,02812838;0,1283574;-0,215792;0,3128428;0,5773204;-0,3444397;0,1200212
;0,095669915;0,086523852;MST1;hepatocyte growth factor-like protein precursor [Homo sapiens];6,197;172,66;26;106,915;44,55172414;26;50;26;1;81,9;7,8;Color2 [DarkGray];1;4;;-0,3837832;0,1543532;-0,07157966;-0,7802494;0,7482804;-0,6702577;0,3755535;-0,249129;0,1566915;0,4867823
;0,195487823;0,100298668;COMP;cartilage oligomeric matrix protein precursor [Homo sapiens];9,857;205,83;26;112,927;42,9326288;26;50;23;1;82,8;4,6;Color2 [DarkGray];1;4;;-0,123201;0,1526003;-0,4373773;-0,2949743;0,5636242;-0,2246683;0,3171718;0,2803185;-0,05650255;0,0458458
;0,468498359;-0,440140884;PRG4;proteoglycan 4 isoform C preproprotein [Homo sapiens];0,982;183,92;26;93,767;23,72234935;26;52;1;1;141;9,41;Color2 [DarkGray];1;4;;-0,1137632;0,2052566;-0,3011414;-0,0666327;0,9914283;0,4225693;-0,9651482;-0,870396;0,7712901;-0,843872
;1,225198194;1,160394033;;;3,024;144,62;25;97,639;40;25;38;25;1;78,1;8,12;Color2 [DarkGray];1;4;;-0,1706494;-1,281338;-0,1679456;0,04031213;-1,662439;0,8409612;-0,8513401;1,120769;1,358688;0,09083219
;1,508222883;0,215816802;ECM2;extracellular matrix protein 2 isoform 2 precursor [Homo sapiens];10,602;267,32;25;126,494;48,15361891;25;73;25;1;77,4;5,5;Color2 [DarkGray];1;4;;-0,1592176;-0,1697372;-0,03089203;0,03813767;-0,1072071;0,02401537;-0,0456504;0,1053387;0,3715666;0,1948975
;0,23057551;0,145089519;CFI;complement factor I isoform X1 [Homo sapiens];30,623;505,36;25;171,204;42,97800338;25;123;25;1;66,6;7,59;Color2 [DarkGray];1;4;;-0,4937646;-0,2178912;0,2708756;-0,517053;0,50624;-0,2474019;0,3333211;-0,3795156;0,3632776;0,2041732
;0,121224517;0,043198409;QSOX2;sulfhydryl oxidase 2 precursor [Homo sapiens];4,712;191,34;25;97,261;40,25787966;25;54;25;1;77,5;7,72;Color2 [DarkGray];1;4;;-0,006675276;0,07241527;-0,09164009;0,04701405;-0,2490863;-0,0450878;0,06262262;0,3308147;-0,4193248;0,058995
;0,476688905;-0,123340553;ADGRL1;latrophilin-1 isoform X1 [Homo sapiens];3,514;262,56;25;162,22;21,9269103;25;60;25;1;166;6,4;Color2 [DarkGray];1;4;;0,2151036;0,2563017;0,04259838;-0,1067591;-0,2557629;-0,03799761;-0,3132603;-0,09990656;0,1254221;-0,1394787
